config,n_features,model,accuracy,macro_f1,within_1
full,18,Logistic Regression,0.6063788409179308,0.4288117826801507,0.9867755737067289
full,18,XGBoost,0.7444574095682613,0.7433461190452443,0.9953325554259043
full,18,Random Forest,0.7487359004278491,0.7305542746190552,0.9953325554259043
-landuse,15,Logistic Regression,0.604045118630883,0.41445729483136945,0.9867755737067289
-landuse,15,XGBoost,0.7491248541423571,0.7438429791885648,0.9941656942823804
-landuse,15,Random Forest,0.7456242707117853,0.7281078994777138,0.9953325554259043
-centrality,14,Logistic Regression,0.5912096460521198,0.30542951982691424,0.9848308051341891
-centrality,14,XGBoost,0.7277323998444185,0.7018732186411508,0.9926098794243485
-centrality,14,Random Forest,0.733955659276546,0.7158406046897892,0.9953325554259043
-points,15,Logistic Regression,0.5896538311940879,0.3292637140865075,0.9848308051341891
-points,15,XGBoost,0.7390120575651498,0.7375079214981796,0.9953325554259043
-points,15,Random Forest,0.7448463632827693,0.7250220971816483,0.9945546479968884
-distances,12,Logistic Regression,0.6048230260598989,0.37888753147212145,0.9828860365616492
-distances,12,XGBoost,0.7075068066900039,0.6968911490873316,0.9929988331388565
-distances,12,Random Forest,0.7238428626993387,0.6865944320183113,0.9929988331388565
-core,16,Logistic Regression,0.6098794243485025,0.4136686912220037,0.9859976662777129
-core,16,XGBoost,0.7436795021392454,0.7257321524323599,0.9953325554259043
-core,16,Random Forest,0.7483469467133411,0.7270995987516367,0.9953325554259043
-distances-centrality,8,Logistic Regression,0.5635939323220537,0.24351639676568748,0.9681057954103461
-distances-centrality,8,XGBoost,0.6390509529366005,0.4431297614928245,0.9786075457020614
-distances-centrality,8,Random Forest,0.6581096849474912,0.5105976119954635,0.9747180085569818
only-landuse,3,Logistic Regression,0.5457020614546869,0.1412179164569703,0.9455464799688837
only-landuse,3,XGBoost,0.5499805523142746,0.18578937439873866,0.9443796188253598
only-landuse,3,Random Forest,0.5472578763127188,0.3861646438040546,0.9303772851030727
only-centrality,4,Logistic Regression,0.5678724231816414,0.2584568570193152,0.9747180085569818
only-centrality,4,XGBoost,0.6662777129521587,0.6336164331223199,0.9844418514196811
only-centrality,4,Random Forest,0.7012835472578763,0.6827557425106664,0.9879424348502528
only-points,3,Logistic Regression,0.5950991831971996,0.24432405523941947,0.97121742512641
only-points,3,XGBoost,0.6021003500583431,0.3269377893575859,0.9661610268378062
only-points,3,Random Forest,0.6079346557759626,0.38380644225626065,0.9572150914041229
only-distances,6,Logistic Regression,0.5624270711785297,0.22323688722713886,0.970828471411902
only-distances,6,XGBoost,0.7133411124076235,0.6799946854068619,0.9918319719953326
only-distances,6,Random Forest,0.7401789187086737,0.7326257371226411,0.9933877868533645
only-core,2,Logistic Regression,0.5320886814469078,0.19182168605438338,0.9517697394010113
only-core,2,XGBoost,0.5371450797355115,0.23987601274340892,0.9494360171139634
only-core,2,Random Forest,0.5033061065733178,0.2967262378003553,0.9159859976662778
only-distances+centrality,10,Logistic Regression,0.5818747569039284,0.2846574357083778,0.9809412679891093
only-distances+centrality,10,XGBoost,0.7417347335667056,0.7405418919086971,0.9961104628549202
only-distances+centrality,10,Random Forest,0.751069622714897,0.7347025620200758,0.9945546479968884
