config,n_features,model,r2,mae,rmse
full,18,Linear Regression,0.46097661496973474,4.098656723441641,5.1905188224663945
full,18,XGBoost,0.681067539131704,3.0650531096664304,3.992604837966969
full,18,Random Forest,0.7041026552235494,2.894063593932322,3.8457185824710716
-landuse,15,Linear Regression,0.4511157045293732,4.134024498440928,5.237781402103836
-landuse,15,XGBoost,0.6818256736102757,3.041944712249744,3.9878566032625757
-landuse,15,Random Forest,0.7028929597986047,2.8980225870978495,3.8535716490705054
-centrality,14,Linear Regression,0.42955079391105466,4.219977787423339,5.339682774427727
-centrality,14,XGBoost,0.6485466020490451,3.2056980674621984,4.19122368821296
-centrality,14,Random Forest,0.690232404966185,3.0041692596914302,3.9348208025396088
-points,15,Linear Regression,0.43982494344242906,4.206751637461478,5.2913787646511645
-points,15,XGBoost,0.6769572645481989,3.0959508087977228,4.018250027047615
-points,15,Random Forest,0.696958669164806,2.9096526272897334,3.891866181683017
-distances,12,Linear Regression,0.4375435297708422,4.182955120461323,5.302142861973099
-distances,12,XGBoost,0.6256780662283972,3.3323393235267806,4.325433152910994
-distances,12,Random Forest,0.6660443564260752,3.103181965512771,4.085557811923261
-core,16,Linear Regression,0.42232581212405196,4.240923326815875,5.37339105439033
-core,16,XGBoost,0.6872834544836801,3.0431731056026425,3.953505949667283
-core,16,Random Forest,0.70432673933678,2.8828813367042656,3.8442621184817334
-distances-centrality,8,Linear Regression,0.3047524561149695,4.616451107778084,5.894903477378084
-distances-centrality,8,XGBoost,0.4594787344213268,4.017065105341789,5.197725729993385
-distances-centrality,8,Random Forest,0.49047804910198933,3.830773908756045,5.046478369691801
only-landuse,3,Linear Regression,0.05601558490658376,5.390677118171248,6.868934559817016
only-landuse,3,XGBoost,0.0658841924611876,5.359436462473563,6.832935598977131
only-landuse,3,Random Forest,-0.01984412048391504,5.500763090693045,7.139599738775708
only-centrality,4,Linear Regression,0.3012400780942377,4.685649866632918,5.909775191024081
only-centrality,4,XGBoost,0.5296445614226386,3.8244485161453774,4.84864124778926
only-centrality,4,Random Forest,0.594832162239157,3.420992688596248,4.500123666104719
only-points,3,Linear Regression,0.18380122356954565,5.033915925385747,6.387117952156359
only-points,3,XGBoost,0.3337336500233504,4.412370148357924,5.770732012667309
only-points,3,Random Forest,0.2880498655121545,4.469695536999788,5.965292656203443
only-distances,6,Linear Regression,0.2457809732523989,4.878346317536556,6.1398209845703455
only-distances,6,XGBoost,0.6319957377625045,3.337953744811893,4.288776268488669
only-distances,6,Random Forest,0.681174365009455,2.97508165712804,3.991936123913621
only-core,2,Linear Regression,0.1763212680863656,4.98872868273471,6.416318191207681
only-core,2,XGBoost,0.18377156519047233,4.96775080006858,6.387233996096915
only-core,2,Random Forest,-0.03799704993165531,5.459017572253959,7.202860874905955
only-distances+centrality,10,Linear Regression,0.3619910165414705,4.491506843563377,5.64703349399746
only-distances+centrality,10,XGBoost,0.6786894399719989,3.0927204813117046,4.007462492322342
only-distances+centrality,10,Random Forest,0.6956511720180538,2.9230108721824006,3.9002530359142056
