street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
0,residential,5,2,2,1,8,6,4,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1,pedestrian,1,4,4,1,5,15,130,1,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A)
2,residential,1,1,1,2,1,1,1,3,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3,living_street,3,5,1,1,8,22,1,1,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A)
4,residential,1,1,1,5,2,4,1,7,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
5,residential,1,1,1,1,1,2,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
6,residential,1,1,1,1,1,3,19,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
7,residential,1,10,1,1,5,29,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
8,residential,1,1,1,4,1,1,1,5,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
9,residential,3,1,1,1,3,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
10,residential,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
11,living_street,1,3,1,1,1,5,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
12,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13,living_street,2,5,1,1,3,23,1,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
14,residential,1,1,1,1,1,1,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
15,living_street,1,13,1,1,2,41,17,3,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A)
16,residential,2,1,1,2,2,1,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
17,residential,6,1,1,8,14,3,1,10,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
18,pedestrian,1,12,6,1,2,31,6,1,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A)
19,residential,8,3,1,1,8,10,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
20,living_street,3,3,72,1,3,9,146,1,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
21,tertiary,1,1,4,6,1,2,9,8,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
22,living_street,1,24,1,1,1,59,14,1,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A)
23,living_street,1,3,1,1,1,9,21,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
24,living_street,1,6,1,1,1,19,5,3,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A)
