fid,street_id,noise_day,noise_evening,noise_night,commercial_pct_50m,green_pct_50m,industrial_pct_50m,recreational_pct_50m,residential_pct_50m,commercial_pct_100m,green_pct_100m,industrial_pct_100m,recreational_pct_100m,residential_pct_100m,osm_commercial_pct_50m,osm_green_pct_50m,osm_industrial_pct_50m,osm_other_pct_50m,osm_residential_pct_50m,road_length,road_category,one_way,distance_to_road,signal_count_50,poi_count_50,tree_count_50,transport_count_50,street_tree_count_10m,park_tree_count_10m,street_tree_count_20m,park_tree_count_20m,total_tree_count_10m,total_tree_count_20m,slope_pct,bldg_h_mean_50m,bldg_h_max_50m,bldg_h_mean_100m,bldg_h_max_100m,lidar_true_h_mean_50m,lidar_true_h_max_50m,lidar_true_h_mean_100m,lidar_true_h_max_100m,catastral_bldg_floors_mean_50m,catastral_bldg_floors_max_50m,catastral_bldg_floors_mean_100m,catastral_bldg_floors_max_100m
0,T04719W,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,0.0,24.722236080957785,36.13013668398165,0.0,2.2154181010989014,0.1842303135123976,24.465891824570736,41.263371494928734,0.0,1.8099297056960135,0.0,0.0,0.0,48.66109456426394,4.0,0.0,0.5697981284991888,5,2,2,1,12,0,16,11,12,27,0.9042181343150096,9.940666666666669,12.09,10.376666666666669,15.0,17.463000565550495,31.320163807970417,17.09132879537251,31.320163807970417,3.6875,9.0,3.198501872659176,9.0
1,T19941Z,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A),0.0,30.721298772902493,0.0,13.0918718337102,38.20494371620037,0.0,17.10383114745568,0.0,14.549478276874694,39.35073541848163,0.0,10.295492140235044,0.0,0.0,0.2415912354803112,87.20269276016559,6.0,0.0,0.0062963584775793,1,4,4,1,11,0,18,0,11,18,0.4931041154197331,17.076923076923077,24.0,18.571428571428573,39.0,26.4143020487382,43.9048220192966,27.012403159844062,44.65273857116699,3.1323529411764706,8.0,3.811224489795918,13.0
2,T18111R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,17.325855165808772,0.0,5.252444007525023,46.989258950046256,0.0,19.671078264711237,0.1622943579816619,22.25477887838517,37.25761660295044,0.0,7.545176709239354,0.0,0.0,0.0,79.93456184616348,5.0,0.0,0.0,1,1,1,2,5,0,8,0,5,8,1.738921634828667,25.33333333333333,30.0,22.375,45.0,28.815210304423303,35.77644465519832,27.20010788883816,51.25710739007518,4.055555555555555,10.0,3.84,15.0
3,T03222Y,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A),0.0,13.772162282119789,0.0,0.0,55.9231400528303,0.0,25.261810283621568,0.0,0.0,44.50848364800871,0.0,1.7064654630582967,0.0,0.0,0.0,77.36771064543494,4.0,1.0,2.494738771474334,3,5,1,1,1,0,1,0,1,1,5.751754479763741,11.754098360655735,30.0,12.454545454545457,36.0,18.73165791796356,49.05708026123047,19.094532748360827,49.05708026123047,2.372448979591837,10.0,2.623157894736842,12.0
4,T17625I,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,0.0,0.0,38.761534107685776,0.0,0.3769389920702057,0.0,0.0,50.40458903963175,0.0,0.0,0.0,0.0,0.0,107.67964858873744,1.0,1.0,1.4859739218156107,1,1,1,5,24,0,28,0,24,28,3.575420640695154,30.0,30.0,29.4,54.0,29.500411441315244,30.37416661580404,31.817997739834038,57.733387408870286,5.555555555555555,10.0,4.391304347826087,16.0
5,T05360P,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,4.299892442145612,17.12045520234265,59.38120546228159,0.0,0.0,3.05304141795482,21.69145891226335,55.21477700534414,0.0,0.0,0.0,0.0,0.0,91.75975789993736,5.0,1.0,0.0,1,1,1,1,1,0,11,0,1,11,1.318659848462266,12.0,12.0,12.0,12.0,11.238446453870887,21.24696988837664,12.83012041395763,28.942186046782,1.8285714285714283,5.0,2.1871657754010694,8.0
6,T08863T,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.0,0.0,0.0,0.0,60.24955531660103,0.0,2.966376258341267,0.8727120055851143,2.157991902170039,62.13446811029245,0.0,0.0,0.0,0.0,1.4365721507743092,86.86928428808099,5.0,1.0,0.0,1,1,1,1,1,0,2,0,1,2,3.131140466559241,12.814814814814817,33.0,11.573529411764708,33.0,20.37817017215316,35.83242869154315,18.5547180695791,35.83242869154315,3.0037593984962405,11.0,2.748231966053748,11.0
7,T00236S,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,6.33224778428935,0.567755545220669,8.379009909584267,44.00336695981093,0.0,14.859117491233969,6.22812429494216,7.812867193174204,33.84785979958122,0.0,0.0,0.0,0.0,0.0,57.15852858788088,5.0,1.0,0.0,1,10,1,1,4,0,5,0,4,5,0.1749518525110721,14.5625,22.0,15.555555555555555,22.0,24.76584283279973,32.21775481280159,24.13215081702312,32.21775481280159,4.107296137339056,10.0,3.9240986717267554,10.0
8,T13009A,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0276546571408803,0.0,0.0,88.32414172517036,0.0,7.262873083065173,0.0637549388715933,0.9203318731062328,78.33989919824587,0.0,0.0,0.0,0.0,0.0,147.70034302562112,5.0,1.0,0.0,1,1,1,4,0,0,1,0,0,1,4.989834549878858,26.142857142857142,33.0,23.58620689655172,51.0,27.70739012803261,32.140581877335265,26.03084354142661,50.029567586964575,4.088888888888889,11.0,3.824074074074074,17.0
9,T11921P,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,17.63477651102419,0.0,0.0,50.9353514019754,0.0,9.513814076640266,0.0,5.822406959566077,57.494330614805136,0.0,8.39554055347729,0.0,0.0,0.0,61.57641865231825,5.0,1.0,0.0,3,1,1,1,12,0,27,0,12,27,6.317352445605384,12.0,12.0,11.928571428571429,12.0,19.827940525911146,29.08461479773888,18.880488660297782,29.08461479773888,3.1020408163265305,8.0,3.081993569131833,9.0
