street_id,noise_day,noise_evening,noise_night,road_length,road_category,one_way,distance_to_road,fid,osm_commercial_pct_50m,osm_green_pct_50m,osm_industrial_pct_50m,osm_other_pct_50m,osm_residential_pct_50m,slope_pct,catastral_bldg_floors_mean_50m,catastral_bldg_floors_max_50m,catastral_bldg_floors_mean_100m,catastral_bldg_floors_max_100m,signal_count_50,poi_count_50,tree_count_50,transport_count_50,street_tree_count_10m,park_tree_count_10m,street_tree_count_20m,park_tree_count_20m,total_tree_count_10m,total_tree_count_20m,road_width,openness,edge_betweenness
T05360P,55,55,50,91.75975789993736,5,1,0.0,5,0.0,0.0,0.0,0.0,0.0,1.318659848462266,1.8285714285714283,5.0,2.1871657754010694,8.0,1,1,1,1,1,0,11,0,1,11,15.404320416623085,0.4545454545454545,0.000943014588175
T08863T,50,50,45,86.86928428808099,5,1,0.0,6,0.0,0.0,0.0,0.0,1.4365721507743092,3.131140466559241,3.0037593984962405,11.0,2.748231966053748,11.0,1,1,1,1,1,0,2,0,1,2,9.38271516086349,0.2,0.0010850669268155
T13009A,55,55,50,147.70034302562112,5,1,0.0,8,0.0,0.0,0.0,0.0,0.0,4.989834549878858,4.088888888888889,11.0,3.824074074074074,17.0,1,1,1,4,0,0,1,0,0,1,36.72221218562672,0.7105263157894737,0.0031899815058251
T16868V,45,45,40,153.2506325827349,5,1,0.0,10,0.0,3.706673797427929,0.0,0.0,0.0,1.5595363943167782,1.851063829787234,4.0,1.9063829787234043,5.0,1,1,1,1,10,0,11,0,10,11,33.14538252488717,0.675,0.0008342404644511
T04571U,60,55,50,94.09029667255506,5,1,0.0,12,0.0,0.0,0.0,0.0,40.09207221827074,5.292783532046896,3.7611940298507465,7.0,3.141573033707865,8.0,1,1,1,1,9,0,13,0,9,13,30.47912270719475,0.5909090909090909,0.001827489400063
T07536D,45,45,40,54.73233300059147,5,0,0.0,14,0.0,0.0,0.0,0.0,0.0,14.726236532427206,1.795275590551181,4.0,1.8355263157894737,4.0,1,1,1,1,1,0,1,0,1,1,14.390499317890102,0.3125,0.0001100987234876
T01076Y,60,55,55,110.48779886945276,5,1,1.0518616951690174,15,0.0,0.0,0.0,0.0,85.90621395096747,1.312362361219222,3.863636363636364,8.0,3.6818181818181817,8.0,1,13,1,1,2,0,7,0,2,7,10.853613926898426,0.1923076923076923,0.0
T20087H,60,60,55,168.10846750333565,4,0,0.5040309119008641,17,0.0,0.0,0.0,0.0,0.0,6.858666282867694,3.411764705882353,9.0,3.169491525423729,9.0,6,1,1,8,6,0,13,0,6,13,34.40216514972191,0.8,0.0041182371648793
T02457L,60,60,55,132.73473866162203,5,1,0.0,19,0.0,11.1356861389324,0.0,0.0,0.0,0.1205410497850105,5.466321243523316,12.0,5.059160305343512,12.0,8,3,1,1,6,0,13,0,6,13,23.35703241271849,0.4333333333333333,0.0007049130723557
T02457L,60,60,55,132.73473866162203,5,1,0.0,19,0.0,11.1356861389324,0.0,0.0,0.0,0.1205410497850105,5.466321243523316,12.0,5.059160305343512,12.0,8,3,1,1,6,0,13,0,6,13,23.35703241271849,0.4333333333333333,0.0007049130723557
T20348J,60,60,55,731.3666751129622,4,0,0.0,21,0.0,119.5163898552423,0.0,0.0,0.0,3.1119823900528565,1.8888888888888888,3.0,1.565217391304348,3.0,1,1,4,6,126,0,174,0,126,174,49.302393999208434,0.9939024390243902,0.0043251572255975
T20348J,60,60,55,731.3666751129622,4,0,0.0,21,0.0,119.5163898552423,0.0,0.0,0.0,3.1119823900528565,1.8888888888888888,3.0,1.565217391304348,3.0,1,1,4,6,126,0,174,0,126,174,49.302393999208434,0.9939024390243902,0.0043251572255975
T07895X,65,60,60,97.51347021838576,5,1,1.6025050816600992,22,0.0,0.0,0.0,0.0,0.0,1.2511104547616632,2.523076923076923,8.0,2.810966810966811,8.0,1,24,1,1,7,0,12,0,7,12,7.382430586444355,0.1818181818181818,0.0002729617171835
T08413X,60,60,55,105.87193849799876,5,1,0.0,23,0.0,0.0,0.0,0.0,0.0,5.232737771805382,3.2850877192982457,8.0,3.0619195046439627,8.0,1,3,1,1,3,0,3,0,3,3,8.67792945483993,0.1666666666666666,0.0015401956389906
T06230K,50,50,45,45.05832734558625,5,1,0.0,25,0.0,0.0,0.0,0.0,0.0,0.4438665777734678,2.0730593607305936,8.0,2.358407079646017,9.0,1,1,1,1,3,0,9,0,3,9,7.130803666093287,0.3333333333333333,0.0039723993586677
T02118V,65,65,60,132.6205419187682,2,1,1.5844714493971148,26,0.0,0.0,0.0,0.0,0.0,1.8926179855449872,4.863354037267081,11.0,4.534403669724771,12.0,6,15,1,1,18,0,28,0,18,28,22.523271134282822,0.2666666666666666,0.000469272424344
T14659G,65,60,60,90.931229465113,4,1,0.0,28,0.0,0.0,0.0,0.0,69.7066902156109,1.4296515306619355,3.2975206611570247,7.0,3.542936288088643,13.0,1,29,1,2,18,0,43,0,18,43,50.0,1.0,0.0015723626967595
T19836Z,65,65,60,38.26557273450764,3,0,0.0,29,0.0,0.0,0.0,0.0,53.47539988077416,6.742357808035783,2.16,5.0,2.127906976744186,5.0,6,1,1,3,1,0,4,0,1,4,50.0,1.0,0.0026591748308467
T18426H,55,55,50,24.38618006771878,5,1,0.0,32,0.0,4.54487216674698,0.0,0.0,0.0,0.0,4.211267605633803,8.0,4.086956521739131,8.0,1,1,18,1,4,0,5,0,4,5,26.96755691550665,0.75,0.0003296872312349
T02391K,65,65,60,158.85640297716628,3,1,0.0,34,0.0,3.6286726492461647,0.0,0.0,94.11767243116948,0.3965846529531913,4.318965517241379,11.0,4.328089887640449,12.0,12,12,21,1,25,0,34,0,25,34,25.016540833837592,0.4722222222222222,0.0093743683040226
T03284M,60,60,55,109.20888468553872,5,1,0.0,36,0.0,0.0,0.0,0.0,0.0,0.3662702166422186,3.5041322314049586,11.0,3.6,20.0,1,3,1,1,3,0,6,0,3,6,10.644019773658655,0.1666666666666666,0.0049843998558634
T03284M,60,60,55,109.20888468553872,5,1,0.0,36,0.0,0.0,0.0,0.0,0.0,0.3662702166422186,3.5041322314049586,11.0,3.6,20.0,1,3,1,1,3,0,6,0,3,6,10.644019773658655,0.1666666666666666,0.0049843998558634
T09386P,65,65,60,49.57953649106672,3,1,0.6513325982357177,39,7.3448217710899,0.0,6.138347236685631,0.0,0.0,0.7059362176482461,4.162162162162162,12.0,3.68,13.0,4,1,1,1,0,0,10,0,0,10,30.18694326373993,0.5,0.0
T06296C,55,55,50,55.51124723194806,5,1,0.0,41,0.0,0.0,0.0,0.0,0.0,2.846273340703032,2.728506787330317,10.0,2.588317107093185,11.0,1,1,1,1,1,0,5,0,1,5,16.5423520377689,0.2857142857142857,0.000617903817735
T03163E,60,55,50,54.794251517751306,5,1,0.0,42,0.0,0.0,0.0,0.0,10.41129351553748,1.0037535358656509,2.2182539682539684,7.0,2.477064220183486,12.0,1,4,1,1,0,0,4,0,0,4,7.619917645899896,0.2857142857142857,0.0012888544032583
T10101J,60,60,55,66.88154815531155,4,1,0.5255243207751892,45,0.0,0.0,0.0,0.0,0.0,0.089710756455891,2.2528735632183907,7.0,2.934497816593886,12.0,3,1,41,1,13,0,17,0,13,17,22.13009186114372,0.5,0.0
T08632G,60,60,55,105.78026403859153,4,1,0.0,46,0.0,0.3853670532179785,0.0,0.0,0.0,1.219502804097925,2.066666666666667,5.0,2.5675675675675675,8.0,1,1,1,1,10,0,15,0,10,15,14.793983173308884,0.375,0.0299472859515836
T09652O,60,55,50,135.99365083370114,4,1,0.0,47,0.0,5.234947550350535,0.0,0.0,66.6904453981748,0.5367901305946411,3.4953271028037385,12.0,3.144278606965174,12.0,1,3,1,1,36,0,73,0,36,73,28.40915119192332,0.3333333333333333,0.013284781415928
T03020Q,60,60,55,118.15504065880192,5,0,0.0,48,0.0,1.073351918404273,0.0,0.0,0.0,1.1256395971685331,3.659259259259259,11.0,4.009740259740259,12.0,1,1,1,1,28,0,36,0,28,36,21.472136165827017,0.1923076923076923,0.000762580245007
T16362A,70,70,65,105.50461868232556,2,1,3.415352958294888,52,0.0,0.5494927396615756,0.0,0.0,20.47347072794668,0.2559134008878259,3.5657894736842106,11.0,3.960339943342776,13.0,9,4,40,4,0,0,20,0,0,20,48.82873202044061,0.7916666666666666,0.0
T11026T,65,65,60,75.7123563389527,4,1,2.810981440437521,53,0.0,14.65193157379498,0.0,0.0,0.0,6.53790849604033,4.177777777777778,8.0,3.547945205479452,8.0,2,1,1,1,22,0,28,0,22,28,19.801140798277302,0.6111111111111112,0.0
T01155W,60,55,50,80.46261802501019,5,1,0.5092189750177193,54,0.0,4.185430425031663,0.0,0.0,99.99999999999996,0.6711184625486846,3.3041666666666667,7.0,3.2507462686567163,8.0,1,4,1,1,0,0,0,0,0,0,5.34090075634728,0.1818181818181818,0.0
T17230T,50,50,45,155.2030480580991,5,1,0.0,55,0.0,7.575363275297799,0.0,0.0,94.8530371256758,5.141651302652944,3.225988700564972,10.0,3.3793939393939394,10.0,2,16,1,1,2,0,6,0,2,6,5.835781717369835,0.1470588235294117,0.000920176228268
