fid,street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
0,T04719W,residential,5,2,2,1,8,6,4,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1,T19941Z,pedestrian,1,4,4,1,5,15,130,1,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A)
2,T18111R,residential,1,1,1,2,1,1,1,3,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3,T03222Y,living_street,3,5,1,1,8,22,1,1,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A)
4,T17625I,residential,1,1,1,5,2,4,1,7,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
5,T05360P,residential,1,1,1,1,1,2,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
6,T08863T,residential,1,1,1,1,1,3,19,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
7,T00236S,residential,1,10,1,1,5,29,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
8,T13009A,residential,1,1,1,4,1,1,1,5,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
9,T11921P,residential,3,1,1,1,3,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
10,T16868V,residential,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
11,T02762R,living_street,1,3,1,1,1,5,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
12,T04571U,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13,T08170X,living_street,2,5,1,1,3,23,1,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
14,T07536D,residential,1,1,1,1,1,1,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
15,T01076Y,living_street,1,13,1,1,2,41,17,3,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A)
16,T21401B,residential,2,1,1,2,2,1,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
17,T20087H,residential,6,1,1,8,14,3,1,10,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
18,T00497L,pedestrian,1,12,6,1,2,31,6,1,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A)
19,T02457L,residential,8,3,1,1,8,10,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
20,T10161V,living_street,3,3,72,1,3,9,146,1,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
21,T20348J,tertiary,1,1,4,6,1,2,9,8,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
22,T07895X,living_street,1,24,1,1,1,59,14,1,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A)
23,T08413X,living_street,1,3,1,1,1,9,21,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
24,T15540W,living_street,1,6,1,1,1,19,5,3,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A)
25,T06230K,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
26,T02118V,residential,6,15,1,1,6,22,1,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
27,T08980X,residential,6,10,1,1,6,17,1,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
28,T14659G,tertiary,1,29,1,2,1,38,1,2,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A)
29,T19836Z,residential,6,1,1,3,8,1,25,8,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
30,T01784T,residential,8,10,1,1,8,14,2,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
31,T11818R,track,1,1,1,1,1,1,1,1,< 40 dB(A),< 40 dB(A),< 40 dB(A)
32,T18426H,residential,1,1,18,1,1,7,49,3,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
33,T02648Q,secondary,2,11,136,1,12,35,316,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
34,T02391K,residential,12,12,21,1,12,40,46,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
35,T08305U,living_street,1,3,1,1,5,10,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
36,T03284M,residential,1,3,1,1,3,8,76,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
37,T15812B,tertiary,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
38,T08289L,residential,1,3,1,1,4,8,8,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
39,T09386P,residential,4,1,1,1,7,1,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
40,T09155C,residential,6,14,38,1,7,30,97,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
41,T06296C,residential,1,1,1,1,1,2,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
42,T03163E,residential,1,4,1,1,1,20,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
43,T09255F,secondary,4,5,1,1,4,7,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
44,T08817N,living_street,1,1,1,1,1,1,37,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
45,T10101J,residential,3,1,41,1,5,3,97,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
46,T08632G,residential,1,1,1,1,5,3,14,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
47,T09652O,tertiary,1,3,1,1,10,8,37,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
48,T03020Q,residential,1,1,1,1,5,14,106,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
49,T12919Z,trunk,1,1,1,2,2,1,1,6,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
50,T00954P,pedestrian,1,3,1,1,1,12,1,1,55 - 60 dB(A),55 - 60 dB(A),40 - 45 dB(A)
51,T17527H,residential,1,1,1,1,1,3,1,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
52,T16362A,secondary,9,4,40,4,15,11,57,11,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
53,T11026T,residential,2,1,1,1,4,4,1,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
54,T01155W,pedestrian,1,4,1,1,1,15,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
55,T17230T,residential,2,16,1,1,3,31,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
56,T01946T,residential,3,23,1,1,12,35,6,4,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
57,T07889Z,residential,1,8,34,3,2,13,52,6,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
58,T10349F,residential,6,12,64,1,7,23,159,4,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
59,T04856E,residential,1,4,1,4,1,10,10,7,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
60,T01430W,residential,1,2,1,1,1,12,8,1,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A)
61,T17265E,pedestrian,1,12,1,1,2,44,1,1,45 - 50 dB(A),45 - 50 dB(A),55 - 60 dB(A)
62,T02561K,secondary,4,15,1,1,5,25,30,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
63,T04729Y,tertiary,4,1,1,3,10,3,2,4,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
64,T01633F,secondary,5,4,1,1,8,8,12,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
65,T17606F,residential,1,1,1,1,2,2,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
66,T09207X,pedestrian,2,3,2,1,4,9,3,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
67,T12907V,track,1,1,1,1,1,1,1,2,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
68,T04597E,residential,1,2,1,3,1,2,1,4,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
69,T08203P,living_street,1,4,1,1,1,25,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
70,T06595K,residential,1,1,1,2,1,1,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
71,T01915M,living_street,4,15,70,1,10,40,179,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
72,T08416A,residential,1,3,3,1,1,4,7,1,50 - 55 dB(A),45 - 50 dB(A),< 40 dB(A)
73,T12083G,residential,2,1,4,1,2,4,16,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
74,T13003U,residential,4,2,1,4,8,5,1,9,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
75,T19295S,tertiary,2,1,1,5,2,1,1,5,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
76,T11305X,residential,1,4,1,1,1,5,1,5,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
77,T02656Q,secondary,6,3,33,1,9,11,101,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
78,T01496O,pedestrian,1,10,28,1,1,25,33,1,50 - 55 dB(A),45 - 50 dB(A),< 40 dB(A)
79,T14865K,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
80,T18074D,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
81,T09798F,residential,1,1,1,1,1,1,19,3,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
82,T15984U,tertiary,1,1,1,1,10,2,1,2,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
83,T05334N,residential,1,3,1,1,1,3,1,2,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
84,T15621W,pedestrian,1,14,1,1,5,31,2,2,45 - 50 dB(A),45 - 50 dB(A),45 - 50 dB(A)
85,T17971X,residential,1,1,1,1,1,2,1,2,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
86,T01863R,secondary,4,23,56,1,5,42,79,2,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
87,T10276F,residential,3,1,4,2,4,1,4,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
88,T21256K,residential,1,1,1,1,1,1,24,3,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
89,T09532H,residential,4,3,1,1,7,7,2,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
90,T05538X,secondary,1,1,1,3,1,1,1,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
91,T19562S,residential,1,1,1,1,1,3,2,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
92,T03360H,residential,1,8,1,1,1,24,1,3,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
93,T03707O,residential,1,13,8,3,7,29,36,10,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
94,T02977E,living_street,4,2,58,1,5,7,115,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
95,T13859I,residential,1,1,1,3,1,1,1,9,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
96,T12035Y,residential,1,1,1,1,1,3,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
97,RD0129Y,trunk,11,1,22,4,14,1,32,7,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
98,T08313U,residential,1,2,1,1,4,9,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
99,T02155A,tertiary,3,10,1,1,3,27,1,1,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A)
100,T07338Z,residential,1,1,1,1,2,9,1,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
101,T20016S,pedestrian,1,3,1,1,1,4,13,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
102,T01346B,residential,1,6,1,1,3,16,1,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
103,T20218A,primary,7,1,44,3,13,1,70,7,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
104,T09490O,residential,2,1,12,1,4,1,38,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
105,T04836A,pedestrian,1,5,1,1,1,11,1,5,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
106,T03700H,tertiary,1,2,1,1,1,4,1,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
107,T16869W,living_street,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
108,T12574U,pedestrian,1,1,1,1,1,1,1,2,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
109,T05832A,residential,1,3,53,2,1,4,136,8,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
110,T04793G,living_street,1,7,1,1,1,13,1,5,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
111,T06025H,living_street,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
112,T17868Z,residential,1,1,1,1,4,3,3,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
113,T20171C,pedestrian,1,12,1,1,1,32,1,1,55 - 60 dB(A),50 - 55 dB(A),40 - 45 dB(A)
114,T05043F,residential,3,3,1,1,5,6,1,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
115,T20906R,pedestrian,1,1,66,1,2,3,126,1,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
116,T08793W,residential,2,4,17,1,10,5,146,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
117,T21272K,residential,2,1,1,1,2,3,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
118,T20352F,residential,1,1,7,1,1,3,18,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
119,T07990V,residential,1,5,24,2,1,12,24,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
120,T01527E,pedestrian,2,2,4,1,4,23,5,3,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
121,T18597Z,residential,1,1,1,1,4,2,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
122,T02171A,tertiary,4,15,1,2,4,25,2,2,70 - 75 dB(A),65 - 70 dB(A),65 - 70 dB(A)
123,T10206R,living_street,1,1,34,1,6,11,103,3,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
124,T00885T,pedestrian,9,4,1,3,12,23,1,3,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
125,T20930R,tertiary,3,1,11,2,8,1,31,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
126,T05082M,residential,5,8,3,3,5,13,3,5,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
127,T02838U,residential,1,1,2,1,1,5,95,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
128,T12098N,residential,2,4,36,1,9,12,66,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
129,T02407B,primary,12,3,11,11,23,8,39,24,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
130,T01783S,tertiary,8,9,1,2,8,9,1,2,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
131,T01530Z,residential,1,12,1,1,1,28,5,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
132,T10897C,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
133,T20369O,residential,2,1,3,1,2,2,16,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
134,T19184M,secondary,5,3,31,2,9,7,71,6,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
135,T19376S,secondary,3,1,27,1,5,8,90,6,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
136,T18622J,residential,1,3,1,1,1,4,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
137,T00271V,tertiary,9,3,1,3,12,22,1,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
138,T10470F,tertiary,2,2,1,1,7,7,1,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
139,T09103Q,tertiary,3,5,70,1,4,5,163,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
140,T08860Q,living_street,1,2,1,1,1,3,11,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
141,T10372E,residential,1,4,14,1,1,12,38,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
142,T10680N,residential,2,1,1,3,2,3,1,8,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
143,T20427H,pedestrian,1,1,1,2,3,2,1,6,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
144,T19924Y,tertiary,19,1,16,1,21,1,44,7,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
145,T10740I,living_street,1,1,1,2,1,3,1,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
146,T07261V,pedestrian,4,4,1,1,4,7,38,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
147,T18813O,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
148,T12205Y,residential,1,1,1,1,3,1,1,1,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A)
149,T20069F,residential,1,1,1,1,1,2,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
150,T00389I,residential,1,24,1,1,1,56,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
151,T07531Y,residential,1,1,1,1,1,1,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
152,T16582K,pedestrian,1,22,18,1,1,41,37,1,50 - 55 dB(A),55 - 60 dB(A),60 - 65 dB(A)
153,T17601A,secondary,3,1,34,1,9,1,60,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
154,T13813U,motorway,1,2,1,2,1,2,1,3,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
155,T15618B,residential,1,10,1,1,1,25,3,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
156,T09280G,secondary,3,2,1,1,6,16,1,5,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
157,T03795E,residential,16,1,1,1,19,4,1,1,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
158,T05113C,residential,1,1,1,1,1,1,14,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
159,T15784O,residential,2,2,1,1,11,16,1,1,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
160,T17159D,residential,1,2,1,1,2,4,61,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
161,T06081P,living_street,1,1,21,1,2,1,36,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
162,T21146F,secondary,6,1,14,4,10,14,27,8,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
163,T04168N,secondary,1,1,1,1,1,1,1,1,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A)
164,T06928L,residential,1,1,1,1,1,3,1,7,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
165,T17200N,pedestrian,1,1,1,1,4,3,1,1,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
166,T14863I,pedestrian,1,23,1,1,1,63,1,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
167,T04920V,pedestrian,1,2,1,1,1,8,1,3,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
168,T10196G,tertiary,8,6,127,1,10,11,233,5,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
169,T09663R,tertiary,6,1,3,1,8,5,17,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
170,T05506P,residential,1,1,1,1,1,3,28,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
171,T03213X,residential,1,9,1,1,5,25,20,4,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A)
172,T11178I,residential,1,2,1,1,1,4,1,5,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
173,T02194H,tertiary,6,18,2,7,6,41,2,9,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
174,T12009W,residential,1,1,1,1,1,2,1,4,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
175,T03411B,residential,1,5,1,1,3,10,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
