fid,street_id,catastral_bldg_floors_mean_50m,catastral_bldg_floors_max_50m,catastral_bldg_floors_mean_100m,catastral_bldg_floors_max_100m
0,T04719W,3.6875,9.0,3.198501872659176,9.0
1,T19941Z,3.1323529411764706,8.0,3.811224489795918,13.0
2,T18111R,4.055555555555555,10.0,3.84,15.0
3,T03222Y,2.372448979591837,10.0,2.623157894736842,12.0
4,T17625I,5.555555555555555,10.0,4.391304347826087,16.0
5,T05360P,1.8285714285714285,5.0,2.1871657754010694,8.0
6,T08863T,3.0037593984962405,11.0,2.748231966053748,11.0
7,T00236S,4.1072961373390555,10.0,3.9240986717267554,10.0
8,T13009A,4.088888888888889,11.0,3.824074074074074,17.0
9,T11921P,3.1020408163265305,8.0,3.081993569131833,9.0
10,T16868V,1.851063829787234,4.0,1.9063829787234043,5.0
11,T02762R,3.65748031496063,12.0,3.406940063091483,12.0
12,T04571U,3.7611940298507465,7.0,3.141573033707865,8.0
13,T08170X,3.7142857142857144,11.0,3.2091503267973858,11.0
14,T07536D,1.795275590551181,4.0,1.8355263157894737,4.0
15,T01076Y,3.8636363636363638,8.0,3.6818181818181817,8.0
16,T21401B,4.7894736842105265,10.0,4.147540983606557,10.0
17,T20087H,3.411764705882353,9.0,3.169491525423729,9.0
18,T00497L,4.061538461538461,8.0,3.8595041322314048,9.0
19,T02457L,5.466321243523316,12.0,5.059160305343512,12.0
20,T10161V,2.515625,8.0,3.678391959798995,11.0
21,T20348J,1.8888888888888888,3.0,1.565217391304348,3.0
22,T07895X,2.523076923076923,8.0,2.810966810966811,8.0
23,T08413X,3.2850877192982457,8.0,3.0619195046439627,8.0
24,T15540W,2.5989583333333335,11.0,3.188911704312115,11.0
25,T06230K,2.0730593607305936,8.0,2.3584070796460175,9.0
26,T02118V,4.863354037267081,11.0,4.534403669724771,12.0
27,T08980X,4.451612903225806,11.0,4.461805555555555,11.0
28,T14659G,3.2975206611570247,7.0,3.542936288088643,13.0
29,T19836Z,2.16,5.0,2.127906976744186,5.0
30,T01784T,3.819095477386935,11.0,3.7794759825327513,12.0
31,T11818R,1.125,2.0,1.5128205128205128,4.0
32,T18426H,4.211267605633803,8.0,4.086956521739131,8.0
33,T02648Q,3.876543209876543,11.0,4.1380670611439845,11.0
34,T02391K,4.318965517241379,11.0,4.328089887640449,12.0
35,T08305U,4.82,14.0,4.241071428571429,14.0
36,T03284M,3.5041322314049586,11.0,3.6,20.0
37,T15812B,1.0,1.0,1.0833333333333333,2.0
38,T08289L,3.812121212121212,11.0,4.450704225352113,12.0
39,T09386P,4.162162162162162,12.0,3.68,13.0
