fid,street_id,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m
0,T04719W,5,2,2,1,8,6,4,3
1,T19941Z,1,4,4,1,5,15,130,1
2,T18111R,1,1,1,2,1,1,1,3
3,T03222Y,3,5,1,1,8,22,1,1
4,T17625I,1,1,1,5,2,4,1,7
5,T05360P,1,1,1,1,1,2,1,2
6,T08863T,1,1,1,1,1,3,19,1
7,T00236S,1,10,1,1,5,29,1,2
8,T13009A,1,1,1,4,1,1,1,5
9,T11921P,3,1,1,1,3,1,1,1
10,T16868V,1,1,1,1,1,1,1,1
11,T02762R,1,3,1,1,1,5,1,1
12,T04571U,1,1,1,1,1,1,1,1
13,T08170X,2,5,1,1,3,23,1,3
14,T07536D,1,1,1,1,1,1,1,2
15,T01076Y,1,13,1,1,2,41,17,3
16,T21401B,2,1,1,2,2,1,1,2
17,T20087H,6,1,1,8,14,3,1,10
18,T00497L,1,12,6,1,2,31,6,1
19,T02457L,8,3,1,1,8,10,1,1
20,T10161V,3,3,72,1,3,9,146,1
21,T20348J,1,1,4,6,1,2,9,8
22,T07895X,1,24,1,1,1,59,14,1
23,T08413X,1,3,1,1,1,9,21,2
24,T15540W,1,6,1,1,1,19,5,3
25,T06230K,1,1,1,1,1,1,1,1
26,T02118V,6,15,1,1,6,22,1,1
27,T08980X,6,10,1,1,6,17,1,2
28,T14659G,1,29,1,2,1,38,1,2
29,T19836Z,6,1,1,3,8,1,25,8
30,T01784T,8,10,1,1,8,14,2,1
31,T11818R,1,1,1,1,1,1,1,1
32,T18426H,1,1,18,1,1,7,49,3
33,T02648Q,2,11,136,1,12,35,316,1
34,T02391K,12,12,21,1,12,40,46,1
35,T08305U,1,3,1,1,5,10,1,1
36,T03284M,1,3,1,1,3,8,76,4
37,T15812B,1,1,1,1,1,1,1,1
38,T08289L,1,3,1,1,4,8,8,1
39,T09386P,4,1,1,1,7,1,1,2
40,T09155C,6,14,38,1,7,30,97,1
41,T06296C,1,1,1,1,1,2,1,1
42,T03163E,1,4,1,1,1,20,1,1
43,T09255F,4,5,1,1,4,7,1,2
44,T08817N,1,1,1,1,1,1,37,1
45,T10101J,3,1,41,1,5,3,97,2
46,T08632G,1,1,1,1,5,3,14,1
47,T09652O,1,3,1,1,10,8,37,2
48,T03020Q,1,1,1,1,5,14,106,1
49,T12919Z,1,1,1,2,2,1,1,6
50,T00954P,1,3,1,1,1,12,1,1
51,T17527H,1,1,1,1,1,3,1,1
52,T16362A,9,4,40,4,15,11,57,11
53,T11026T,2,1,1,1,4,4,1,1
54,T01155W,1,4,1,1,1,15,1,1
55,T17230T,2,16,1,1,3,31,1,2
56,T01946T,3,23,1,1,12,35,6,4
57,T07889Z,1,8,34,3,2,13,52,6
58,T10349F,6,12,64,1,7,23,159,4
59,T04856E,1,4,1,4,1,10,10,7
60,T01430W,1,2,1,1,1,12,8,1
61,T17265E,1,12,1,1,2,44,1,1
62,T02561K,4,15,1,1,5,25,30,3
63,T04729Y,4,1,1,3,10,3,2,4
64,T01633F,5,4,1,1,8,8,12,1
65,T17606F,1,1,1,1,2,2,1,2
66,T09207X,2,3,2,1,4,9,3,2
67,T12907V,1,1,1,1,1,1,1,2
68,T04597E,1,2,1,3,1,2,1,4
69,T08203P,1,4,1,1,1,25,1,2
70,T06595K,1,1,1,2,1,1,1,2
71,T01915M,4,15,70,1,10,40,179,1
72,T08416A,1,3,3,1,1,4,7,1
73,T12083G,2,1,4,1,2,4,16,1
74,T13003U,4,2,1,4,8,5,1,9
75,T19295S,2,1,1,5,2,1,1,5
76,T11305X,1,4,1,1,1,5,1,5
77,T02656Q,6,3,33,1,9,11,101,3
78,T01496O,1,10,28,1,1,25,33,1
79,T14865K,1,1,1,1,1,1,1,1
80,T18074D,1,1,1,1,1,1,1,1
81,T09798F,1,1,1,1,1,1,19,3
82,T15984U,1,1,1,1,10,2,1,2
83,T05334N,1,3,1,1,1,3,1,2
84,T15621W,1,14,1,1,5,31,2,2
85,T17971X,1,1,1,1,1,2,1,2
86,T01863R,4,23,56,1,5,42,79,2
87,T10276F,3,1,4,2,4,1,4,2
88,T21256K,1,1,1,1,1,1,24,3
89,T09532H,4,3,1,1,7,7,2,1
90,T05538X,1,1,1,3,1,1,1,4
91,T19562S,1,1,1,1,1,3,2,1
92,T03360H,1,8,1,1,1,24,1,3
93,T03707O,1,13,8,3,7,29,36,10
94,T02977E,4,2,58,1,5,7,115,2
95,T13859I,1,1,1,3,1,1,1,9
96,T12035Y,1,1,1,1,1,3,1,1
97,RD0129Y,11,1,22,4,14,1,32,7
98,T08313U,1,2,1,1,4,9,1,1
99,T02155A,3,10,1,1,3,27,1,1
100,T07338Z,1,1,1,1,2,9,1,2
101,T20016S,1,3,1,1,1,4,13,2
102,T01346B,1,6,1,1,3,16,1,3
103,T20218A,7,1,44,3,13,1,70,7
104,T09490O,2,1,12,1,4,1,38,2
105,T04836A,1,5,1,1,1,11,1,5
106,T03700H,1,2,1,1,1,4,1,2
107,T16869W,1,1,1,1,1,1,1,1
108,T12574U,1,1,1,1,1,1,1,2
109,T05832A,1,3,53,2,1,4,136,8
110,T04793G,1,7,1,1,1,13,1,5
111,T06025H,1,1,1,1,1,1,1,1
112,T17868Z,1,1,1,1,4,3,3,1
113,T20171C,1,12,1,1,1,32,1,1
114,T05043F,3,3,1,1,5,6,1,1
115,T20906R,1,1,66,1,2,3,126,1
116,T08793W,2,4,17,1,10,5,146,2
117,T21272K,2,1,1,1,2,3,1,3
118,T20352F,1,1,7,1,1,3,18,1
119,T07990V,1,5,24,2,1,12,24,2
120,T01527E,2,2,4,1,4,23,5,3
121,T18597Z,1,1,1,1,4,2,1,1
122,T02171A,4,15,1,2,4,25,2,2
123,T10206R,1,1,34,1,6,11,103,3
124,T00885T,9,4,1,3,12,23,1,3
125,T20930R,3,1,11,2,8,1,31,3
126,T05082M,5,8,3,3,5,13,3,5
127,T02838U,1,1,2,1,1,5,95,1
128,T12098N,2,4,36,1,9,12,66,1
129,T02407B,12,3,11,11,23,8,39,24
130,T01783S,8,9,1,2,8,9,1,2
131,T01530Z,1,12,1,1,1,28,5,2
132,T10897C,1,1,1,1,1,1,1,1
133,T20369O,2,1,3,1,2,2,16,2
134,T19184M,5,3,31,2,9,7,71,6
135,T19376S,3,1,27,1,5,8,90,6
136,T18622J,1,3,1,1,1,4,1,3
137,T00271V,9,3,1,3,12,22,1,4
138,T10470F,2,2,1,1,7,7,1,2
139,T09103Q,3,5,70,1,4,5,163,1
140,T08860Q,1,2,1,1,1,3,11,1
141,T10372E,1,4,14,1,1,12,38,1
142,T10680N,2,1,1,3,2,3,1,8
143,T20427H,1,1,1,2,3,2,1,6
144,T19924Y,19,1,16,1,21,1,44,7
145,T10740I,1,1,1,2,1,3,1,2
146,T07261V,4,4,1,1,4,7,38,3
147,T18813O,1,1,1,1,1,1,1,1
148,T12205Y,1,1,1,1,3,1,1,1
149,T20069F,1,1,1,1,1,2,1,1
150,T00389I,1,24,1,1,1,56,1,1
151,T07531Y,1,1,1,1,1,1,1,2
152,T16582K,1,22,18,1,1,41,37,1
153,T17601A,3,1,34,1,9,1,60,1
154,T13813U,1,2,1,2,1,2,1,3
155,T15618B,1,10,1,1,1,25,3,2
156,T09280G,3,2,1,1,6,16,1,5
157,T03795E,16,1,1,1,19,4,1,1
158,T05113C,1,1,1,1,1,1,14,1
159,T15784O,2,2,1,1,11,16,1,1
160,T17159D,1,2,1,1,2,4,61,1
161,T06081P,1,1,21,1,2,1,36,1
162,T21146F,6,1,14,4,10,14,27,8
163,T04168N,1,1,1,1,1,1,1,1
164,T06928L,1,1,1,1,1,3,1,7
165,T17200N,1,1,1,1,4,3,1,1
166,T14863I,1,23,1,1,1,63,1,1
167,T04920V,1,2,1,1,1,8,1,3
168,T10196G,8,6,127,1,10,11,233,5
169,T09663R,6,1,3,1,8,5,17,1
170,T05506P,1,1,1,1,1,3,28,1
171,T03213X,1,9,1,1,5,25,20,4
172,T11178I,1,2,1,1,1,4,1,5
173,T02194H,6,18,2,7,6,41,2,9
174,T12009W,1,1,1,1,1,2,1,4
175,T03411B,1,5,1,1,3,10,1,1
176,T16202L,2,3,34,1,8,4,86,1
177,T21163G,1,1,1,2,1,1,1,2
178,T20976F,1,1,1,1,2,1,1,2
179,T18547P,1,3,1,1,1,15,7,1
180,T05001V,1,4,15,1,1,11,30,3
181,T00887V,7,9,1,1,15,26,2,3
182,RL0028B,1,1,1,1,1,1,1,1
183,T01825L,5,8,1,1,5,12,1,1
184,T10879A,1,1,1,1,1,1,1,1
185,T12228F,1,1,1,1,1,3,5,1
186,T01146V,1,5,1,1,1,12,1,1
187,T09084E,6,6,93,1,10,8,258,4
188,RD0103Y,1,1,1,1,7,1,1,4
189,T11932S,3,1,1,1,3,1,1,1
190,T07510T,1,1,35,1,1,3,116,1
191,T07958V,1,8,1,1,1,30,20,1
192,T05306J,1,1,1,2,1,6,1,2
