street_id,signal_count_50,poi_count_50,tree_count_50,transport_count_50
T04719W,5,2,2,1
T19941Z,1,4,4,1
T18111R,1,1,1,2
T03222Y,3,5,1,1
T17625I,1,1,1,5
T05360P,1,1,1,1
T08863T,1,1,1,1
T00236S,1,10,1,1
T13009A,1,1,1,4
T11921P,3,1,1,1
T16868V,1,1,1,1
T02762R,1,3,1,1
T04571U,1,1,1,1
T08170X,2,5,1,1
T07536D,1,1,1,1
T01076Y,1,13,1,1
T21401B,2,1,1,2
T20087H,6,1,1,8
T00497L,1,12,6,1
T02457L,8,3,1,1
T10161V,3,3,72,1
T20348J,1,1,4,6
T07895X,1,24,1,1
T08413X,1,3,1,1
T15540W,1,6,1,1
T06230K,1,1,1,1
T02118V,6,15,1,1
T08980X,6,10,1,1
T14659G,1,29,1,2
T19836Z,6,1,1,3
T01784T,8,10,1,1
T11818R,1,1,1,1
T18426H,1,1,18,1
T02648Q,2,11,136,1
T02391K,12,12,21,1
T08305U,1,3,1,1
T03284M,1,3,1,1
T15812B,1,1,1,1
T08289L,1,3,1,1
T09386P,4,1,1,1
T09155C,6,14,38,1
T06296C,1,1,1,1
T03163E,1,4,1,1
T09255F,4,5,1,1
T08817N,1,1,1,1
T10101J,3,1,41,1
T08632G,1,1,1,1
T09652O,1,3,1,1
T03020Q,1,1,1,1
T12919Z,1,1,1,2
T00954P,1,3,1,1
T17527H,1,1,1,1
T16362A,9,4,40,4
T11026T,2,1,1,1
T01155W,1,4,1,1
T17230T,2,16,1,1
T01946T,3,23,1,1
T07889Z,1,8,34,3
T10349F,6,12,64,1
T04856E,1,4,1,4
T01430W,1,2,1,1
T17265E,1,12,1,1
T02561K,4,15,1,1
T04729Y,4,1,1,3
T01633F,5,4,1,1
T17606F,1,1,1,1
T09207X,2,3,2,1
T12907V,1,1,1,1
T04597E,1,2,1,3
T08203P,1,4,1,1
T06595K,1,1,1,2
T01915M,4,15,70,1
T08416A,1,3,3,1
T12083G,2,1,4,1
T13003U,4,2,1,4
T19295S,2,1,1,5
T11305X,1,4,1,1
T02656Q,6,3,33,1
T01496O,1,10,28,1
T14865K,1,1,1,1
T18074D,1,1,1,1
T09798F,1,1,1,1
T15984U,1,1,1,1
T05334N,1,3,1,1
T15621W,1,14,1,1
T17971X,1,1,1,1
T01863R,4,23,56,1
T10276F,3,1,4,2
T21256K,1,1,1,1
T09532H,4,3,1,1
T05538X,1,1,1,3
T19562S,1,1,1,1
T03360H,1,8,1,1
T03707O,1,13,8,3
T02977E,4,2,58,1
T13859I,1,1,1,3
T12035Y,1,1,1,1
RD0129Y,11,1,22,4
T08313U,1,2,1,1
T02155A,3,10,1,1
T07338Z,1,1,1,1
T20016S,1,3,1,1
T01346B,1,6,1,1
T20218A,7,1,44,3
T09490O,2,1,12,1
T04836A,1,5,1,1
T03700H,1,2,1,1
T16869W,1,1,1,1
T12574U,1,1,1,1
T05832A,1,3,53,2
T04793G,1,7,1,1
T06025H,1,1,1,1
T17868Z,1,1,1,1
T20171C,1,12,1,1
T05043F,3,3,1,1
T20906R,1,1,66,1
T08793W,2,4,17,1
T21272K,2,1,1,1
T20352F,1,1,7,1
T07990V,1,5,24,2
T01527E,2,2,4,1
T18597Z,1,1,1,1
T02171A,4,15,1,2
T10206R,1,1,34,1
T00885T,9,4,1,3
T20930R,3,1,11,2
T05082M,5,8,3,3
T02838U,1,1,2,1
T12098N,2,4,36,1
T02407B,12,3,11,11
T01783S,8,9,1,2
T01530Z,1,12,1,1
T10897C,1,1,1,1
T20369O,2,1,3,1
T19184M,5,3,31,2
T19376S,3,1,27,1
T18622J,1,3,1,1
T00271V,9,3,1,3
T10470F,2,2,1,1
T09103Q,3,5,70,1
T08860Q,1,2,1,1
T10372E,1,4,14,1
T10680N,2,1,1,3
T20427H,1,1,1,2
T19924Y,19,1,16,1
T10740I,1,1,1,2
T07261V,4,4,1,1
T18813O,1,1,1,1
T12205Y,1,1,1,1
T20069F,1,1,1,1
T00389I,1,24,1,1
T07531Y,1,1,1,1
T16582K,1,22,18,1
T17601A,3,1,34,1
T13813U,1,2,1,2
T15618B,1,10,1,1
T09280G,3,2,1,1
T03795E,16,1,1,1
T05113C,1,1,1,1
T15784O,2,2,1,1
T17159D,1,2,1,1
T06081P,1,1,21,1
T21146F,6,1,14,4
T04168N,1,1,1,1
T06928L,1,1,1,1
T17200N,1,1,1,1
T14863I,1,23,1,1
T04920V,1,2,1,1
T10196G,8,6,127,1
T09663R,6,1,3,1
T05506P,1,1,1,1
T03213X,1,9,1,1
T11178I,1,2,1,1
T02194H,6,18,2,7
T12009W,1,1,1,1
T03411B,1,5,1,1
T16202L,2,3,34,1
T21163G,1,1,1,2
T20976F,1,1,1,1
T18547P,1,3,1,1
T05001V,1,4,15,1
T00887V,7,9,1,1
RL0028B,1,1,1,1
T01825L,5,8,1,1
T10879A,1,1,1,1
T12228F,1,1,1,1
T01146V,1,5,1,1
T09084E,6,6,93,1
RD0103Y,1,1,1,1
T11932S,3,1,1,1
T07510T,1,1,35,1
T07958V,1,8,1,1
T05306J,1,1,1,2
T08647N,1,1,1,1
T13627U,2,2,18,2
T07336X,2,8,1,1
T05251L,1,1,1,1
T06673H,1,1,1,5
T09839X,10,4,43,1
T00099B,1,5,1,1
T09574R,5,1,1,1
T19280L,3,3,1,1
T20933U,1,1,1,1
T15832F,1,1,1,4
T21310Z,1,1,1,1
T14932E,1,1,1,1
T20053X,4,1,18,5
T20295N,1,1,1,1
T19850X,1,4,1,1
T11101N,1,1,1,1
T12601G,1,1,1,1
T00461Z,1,19,1,1
T20494S,1,1,1,1
T12218D,3,1,1,1
T09928X,6,1,57,1
T07139U,2,6,32,1
T04471R,1,1,1,1
T13774E,1,1,1,1
T11566Q,1,1,1,1
T03232A,1,9,1,1
T15677M,1,5,1,1
T11702G,1,1,1,1
P72700,6,8,52,3
T03860W,1,1,1,2
T20748V,7,6,86,8
T04551Q,1,1,1,2
T03494U,1,5,1,1
T15587L,1,14,2,1
T19635S,1,5,8,1
T05428S,1,1,1,2
T15942K,1,1,1,1
T17274F,4,1,1,1
T14732Y,13,7,29,1
T02049Z,6,13,63,1
T15841G,9,7,17,1
T02306X,9,6,1,1
