TRAM,fid,street_id,street_length_m,daytime_count_150m,nighttime_count_150m,continuous_count_150m,discontinuous_count_150m,transport_related_count_150m,noise_sensitive_count_150m,recreation_green_count_150m,support_infrastructure_count_150m,daytime_count_per_meter_150m,nighttime_count_per_meter_150m,continuous_count_per_meter_150m,discontinuous_count_per_meter_150m,transport_related_count_per_meter_150m,noise_sensitive_count_per_meter_150m,recreation_green_count_per_meter_150m,support_infrastructure_count_per_meter_150m
T04719W,0,T04719W,48.66109456426394,7,1,8,7,6,1,8,0,0.14385208681969736,0.020550298117099623,0.16440238493679699,0.14385208681969736,0.12330178870259774,0.020550298117099623,0.16440238493679699,0.0
T19941Z,1,T19941Z,87.20269276016559,33,4,38,30,40,5,25,7,0.37842868098993476,0.045870143150295126,0.4357663599278037,0.34402607362721344,0.4587014315029513,0.05733767893786891,0.28668839468934454,0.08027275051301647
T18111R,2,T18111R,79.93456184616348,1,0,3,0,2,1,2,2,0.012510233081961853,0.0,0.037530699245885556,0.0,0.025020466163923706,0.012510233081961853,0.025020466163923706,0.025020466163923706
T03222Y,3,T03222Y,77.36771064543494,39,12,42,46,9,1,15,3,0.5040862612405759,0.15510346499710026,0.542862127489851,0.5945632824888843,0.1163275987478252,0.012925288749758356,0.19387933124637532,0.038775866249275065
T17625I,4,T17625I,107.67964858873744,5,0,10,2,3,2,12,5,0.04643402969391717,0.0,0.09286805938783434,0.018573611877566867,0.027860417816350302,0.018573611877566867,0.11144167126540121,0.04643402969391717
T05360P,5,T05360P,91.75975789993737,0,0,2,0,0,2,2,0,0.0,0.0,0.021796047044729237,0.0,0.0,0.021796047044729237,0.021796047044729237,0.0
T08863T,6,T08863T,86.86928428808099,4,0,5,2,1,2,5,2,0.04604619495580241,0.0,0.05755774369475301,0.023023097477901204,0.011511548738950602,0.023023097477901204,0.05755774369475301,0.023023097477901204
T00236S,7,T00236S,57.15852858788088,51,6,196,48,26,3,12,143,0.8922552987274299,0.10497121161499176,3.4290595794230643,0.8397696929199341,0.45487525033163095,0.05248560580749588,0.20994242322998352,2.50181387682397
T13009A,8,T13009A,147.70034302562112,1,0,4,0,2,0,11,3,0.0067704649800747795,0.0,0.027081859920299118,0.0,0.013540929960149559,0.0,0.07447511478082257,0.02031139494022434
T11921P,9,T11921P,61.57641865231825,1,0,2,0,6,0,4,1,0.016239983128059878,0.0,0.032479966256119756,0.0,0.09743989876835926,0.0,0.06495993251223951,0.016239983128059878
T16868V,10,T16868V,153.2506325827349,0,0,1,0,0,0,2,1,0.0,0.0,0.0065252585463889245,0.0,0.0,0.0,0.013050517092777849,0.0065252585463889245
T02762R,11,T02762R,72.52021889927474,10,3,9,11,5,2,3,0,0.13789257881156242,0.041367773643468726,0.12410332093040617,0.15168183669271865,0.06894628940578121,0.027578515762312482,0.041367773643468726,0.0
T04571U,12,T04571U,94.09029667255506,2,0,2,0,0,0,1,0,0.021256176999422456,0.0,0.021256176999422456,0.0,0.0,0.0,0.010628088499711228,0.0
T08170X,13,T08170X,95.54827816215008,39,9,58,45,20,9,44,16,0.40817062065540416,0.09419322015124712,0.607022974308037,0.4709661007562356,0.20931826700277137,0.09419322015124712,0.460500187406097,0.16745461360221708
T07536D,14,T07536D,54.73233300059147,0,0,1,0,0,0,3,1,0.0,0.0,0.018270735873604976,0.0,0.0,0.0,0.05481220762081493,0.018270735873604976
T01076Y,15,T01076Y,110.48779886945276,65,22,106,78,12,1,4,46,0.588300252743753,0.19911700862096254,0.959381950628274,0.7059603032925036,0.10860927742961593,0.00905077311913466,0.03620309247653864,0.4163355634801944
T21401B,16,T21401B,27.861082253156816,0,0,30,0,2,0,4,30,0.0,0.0,1.0767708062238261,0.0,0.07178472041492175,0.0,0.1435694408298435,1.0767708062238261
T20087H,17,T20087H,168.10846750333565,1,0,4,1,1,3,3,2,0.005948540337387572,0.0,0.02379416134955029,0.005948540337387572,0.005948540337387572,0.017845621012162718,0.017845621012162718,0.011897080674775145
T00497L,18,T00497L,21.12946011252169,60,17,75,71,18,1,9,16,2.839637154971269,0.8045638605751928,3.549546443714086,3.360237300049335,0.8518911464913806,0.04732728591618781,0.4259455732456903,0.757236574659005
T02457L,19,T02457L,132.73473866162203,15,1,23,9,10,7,4,5,0.1130073419456469,0.00753382279637646,0.1732779243166586,0.06780440516738814,0.0753382279637646,0.05273675957463522,0.03013529118550584,0.0376691139818823
T10161V,20,T10161V,133.3349627459439,8,7,13,15,43,2,3,4,0.059999266773285716,0.052499358426624995,0.09749880850658928,0.1124986251999107,0.3224960589064107,0.014999816693321429,0.02249972503998214,0.029999633386642858
T20348J,21,T20348J,731.3666751129622,2,0,19,2,16,0,38,17,0.00273460641297485,0.0,0.025978760923261075,0.00273460641297485,0.0218768513037988,0.0,0.05195752184652215,0.023244154510286226
T07895X,22,T07895X,97.51347021838576,87,25,100,105,13,6,10,19,0.8921844315986255,0.2563748366662717,1.0254993466650868,1.0767743139983412,0.1333149150664613,0.061529960799905206,0.10254993466650868,0.1948448758663665
T08413X,23,T08413X,105.87193849799876,16,5,21,16,9,4,17,5,0.15112597565503574,0.04722686739219867,0.19835284304723438,0.15112597565503574,0.0850083613059576,0.037781493913758936,0.16057134913347546,0.04722686739219867
T15540W,24,T15540W,64.83445900017642,34,5,61,37,21,6,39,26,0.5244124887339229,0.0771194836373416,0.9408577003755674,0.5706841789163278,0.3239018312768347,0.09254338036480991,0.6015319723712644,0.4010213149141763
T06230K,25,T06230K,45.05832734558625,2,0,3,0,3,0,5,1,0.04438691176129317,0.0,0.06658036764193975,0.0,0.06658036764193975,0.0,0.11096727940323292,0.022193455880646584
T02118V,26,T02118V,132.6205419187682,41,3,55,41,24,6,7,8,0.30915271048366727,0.022620930035390285,0.4147170506488219,0.30915271048366727,0.18096744028312228,0.04524186007078057,0.05278217008257734,0.0603224800943741
T08980X,27,T08980X,132.77281851873363,30,2,41,29,12,5,4,8,0.22594986183687243,0.015063324122458161,0.30879814451039234,0.21841819977564333,0.09037994473474897,0.0376583103061454,0.030126648244916322,0.060253296489832645
T14659G,28,T14659G,90.931229465113,39,9,79,45,28,10,7,37,0.42889555358935155,0.09897589698215806,0.8687884290656096,0.49487948491079026,0.30792501283338064,0.10997321886906451,0.07698125320834516,0.40690090981553867
T19836Z,29,T19836Z,38.265572734507636,0,0,2,0,0,1,6,1,0.0,0.0,0.05226630250320057,0.0,0.0,0.026133151251600286,0.1567989075096017,0.026133151251600286
T01784T,30,T01784T,137.70733257615464,16,5,21,16,13,3,8,5,0.11618843892101179,0.03630888716281618,0.15249732608382796,0.11618843892101179,0.09440310662332208,0.02178533229768971,0.05809421946050589,0.03630888716281618
T11818R,31,T11818R,82.79028973296636,0,0,3,0,0,0,0,3,0.0,0.0,0.03623613360547797,0.0,0.0,0.0,0.0,0.03623613360547797
T18426H,32,T18426H,24.38618006771878,10,5,68,14,17,2,13,58,0.41006832444567676,0.20503416222283838,2.788464606230602,0.5740956542239475,0.6971161515576505,0.08201366488913535,0.5330888217793798,2.378396281784925
T02648Q,33,T02648Q,134.39316529282362,47,5,62,46,16,3,46,15,0.34972016543842593,0.037204272918981485,0.4613329841953704,0.34227931085462965,0.11905367334074074,0.02232256375138889,0.34227931085462965,0.11161281875694444
T02391K,34,T02391K,158.85640297716628,61,22,161,75,21,8,10,97,0.383994594217068,0.13848985365205732,1.0134939289991467,0.472124501086559,0.13219486030423652,0.05035994678256629,0.06294993347820788,0.6106143547386164
T08305U,35,T08305U,78.4444917254179,11,2,16,11,8,5,11,1,0.14022654437616472,0.02549573534112086,0.20396588272896687,0.14022654437616472,0.10198294136448344,0.06373933835280214,0.14022654437616472,0.01274786767056043
T03284M,36,T03284M,109.20888468553873,16,2,23,12,12,1,11,6,0.14650822637802008,0.01831352829725251,0.21060557541840388,0.10988116978351506,0.10988116978351506,0.009156764148626255,0.10072440563488881,0.05494058489175753
T15812B,37,T15812B,58.07772616576858,0,1,2,1,0,0,22,2,0.0,0.017218304951294856,0.03443660990258971,0.017218304951294856,0.0,0.0,0.37880270892848683,0.03443660990258971
T08289L,38,T08289L,74.03133882122259,13,5,19,16,7,5,1,3,0.17560130894557435,0.06753896497906706,0.25664806692045483,0.2161246879330146,0.09455455097069387,0.06753896497906706,0.013507792995813412,0.04052337898744023
T09386P,39,T09386P,49.57953649106672,1,0,10,0,9,1,10,8,0.020169611714304366,0.0,0.20169611714304364,0.0,0.18152650542873927,0.020169611714304366,0.20169611714304364,0.16135689371443493
T09155C,40,T09155C,63.79617811626474,36,10,38,42,21,6,17,4,0.5642971266145778,0.15674920183738272,0.5956469669820543,0.6583466477170073,0.3291733238585037,0.09404952110242963,0.2664736431235506,0.06269968073495309
T06296C,41,T06296C,55.51124723194806,3,1,4,1,4,0,2,1,0.05404310206659215,0.018014367355530716,0.07205746942212286,0.018014367355530716,0.07205746942212286,0.0,0.03602873471106143,0.018014367355530716
T03163E,42,T03163E,54.794251517751306,26,9,34,32,1,3,1,7,0.47450232971203127,0.16425080643878007,0.6205030465465025,0.5840028673378846,0.018250089604308895,0.05475026881292668,0.018250089604308895,0.12775062723016226
