road_id,noise_day,noise_evening,noise_night,road_length,road_category,one_way
13845167536_847716886_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),401.48362949476683,residential,0
21638869_30343583_0,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A),90.28954369756111,residential,0
21638869_242318729_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),15.055893713334878,tertiary,0
21638869_30343672_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),15.404960256267946,tertiary,0
3055187877_431100338_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),46.14216010914838,residential,0
3109574424_3109574426_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),75.75731645583858,living_street,0
21638867_30343414_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),91.03774505311254,residential,0
21638867_30343414_0,50 - 55 dB(A),50 - 55 dB(A),50 - 55 dB(A),91.03774505311254,residential,0
21638878_242317164_0,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A),14.63680137575669,residential,0
21638877_30343573_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),59.18819196844728,residential,0
21638877_1636238506_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),14.928692153163578,residential,0
21638891_190971702_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),19.172372260582886,tertiary,0
21638891_190971702_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),19.172372260582886,tertiary,0
3109574422_2560087403_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),74.61069767383364,residential,0
26057050_168319807_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),57.52720389383005,primary,0
26057050_168319807_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),57.52720389383005,primary,0
26057050_178518958_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),116.04263954334672,primary,0
21639537_4471971376_0,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A),51.82254353154021,secondary,0
13508611893_1947682000_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),233.20019319459,residential,0
13508611893_1947682000_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),233.20019319459,residential,0
13859746847_13859746858_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),13.12781594826775,residential,0
13845167536_253790691_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),20.05960443784206,residential,0
13845167536_847716886_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),401.48362949476683,residential,0
21638891_533663031_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),163.49809195418092,tertiary,0
13845167536_847716886_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),401.48362949476683,residential,0
13845167536_847716886_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),401.48362949476683,residential,0
13798851565_8465472214_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),280.1067366069329,residential,0
21638921_2984928319_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),164.9514344076624,secondary,0
21638920_21638918_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),60.69940204567045,secondary,0
26057342_26057341_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),153.0494553241129,secondary,0
26057342_26057345_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),109.04971731672407,residential,0
26057342_26057345_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),109.04971731672407,residential,0
26057341_30242757_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),47.2587168538915,secondary,0
26057341_26057131_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),125.29099065606975,secondary,0
26057304_3218700096_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),150.71579083132033,secondary,0
26057304_3218700096_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),150.71579083132033,secondary,0
26057131_1362899977_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),196.01135214054617,secondary,0
26057131_1362899977_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),196.01135214054617,secondary,0
26057125_11466476297_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),144.05561621625267,residential,0
26057125_26057304_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),209.55789025618992,secondary,0
26198844_2510589068_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),135.21822486289173,primary,0
26198833_30246781_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),148.32264857602,residential,0
26198831_30685338_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),267.30543327536856,primary,0
26198831_30685338_0,65 - 70 dB(A),65 - 70 dB(A),55 - 60 dB(A),267.30543327536856,primary,0
26057389_3314271774_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),134.58462876366326,primary,0
