fid,street_id,noise_day,noise_evening,noise_night,slope_pct
0,T04719W,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.9042181343150096
1,T19941Z,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A),0.4931041154197331
2,T18111R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.7389216348286667
3,T03222Y,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A),5.751754479763741
4,T17625I,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),3.575420640695154
5,T05360P,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.318659848462266
6,T08863T,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),3.131140466559241
7,T00236S,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.17495185251107215
8,T13009A,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),4.989834549878858
9,T11921P,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),6.317352445605384
10,T16868V,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),1.5595363943167782
11,T02762R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.8825142928567068
12,T04571U,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),5.2927835320468954
13,T08170X,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.5384905400476827
14,T07536D,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),14.726236532427206
15,T01076Y,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),1.312362361219222
16,T21401B,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.2871386078227103
17,T20087H,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),6.858666282867694
18,T00497L,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A),0.4732735361841338
19,T02457L,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.1205410497850105
20,T10161V,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),0.12749849911299185
21,T20348J,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),3.1119823900528565
22,T07895X,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),1.2511104547616632
23,T08413X,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),5.232737771805382
24,T15540W,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),2.1593478953454315
25,T06230K,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.44386657777346783
26,T02118V,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.8926179855449872
27,T08980X,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),3.615198651320279
28,T14659G,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),1.4296515306619355
29,T19836Z,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),6.742357808035783
30,T01784T,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),11.647890281592886
31,T11818R,< 40 dB(A),< 40 dB(A),< 40 dB(A),14.16830464850907
32,T18426H,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0
33,T02648Q,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),2.0536760354354233
34,T02391K,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.39658465295319134
35,T08305U,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),4.194049630716524
36,T03284M,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.36627021664221865
37,T15812B,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),4.993297926656178
38,T08289L,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),3.984794811513676
39,T09386P,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.7059362176482461
40,T09155C,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.003195056195706
41,T06296C,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),2.846273340703032
42,T03163E,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.0037535358656509
43,T09255F,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.40271899719929943
44,T08817N,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),1.3738274176022744
45,T10101J,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.08971075645589102
46,T08632G,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.219502804097925
47,T09652O,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.5367901305946411
48,T03020Q,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.1256395971685333
49,T12919Z,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),17.248847527911945
50,T00954P,55 - 60 dB(A),55 - 60 dB(A),40 - 45 dB(A),1.1237260288996938
51,T17527H,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),3.887932501286831
52,T16362A,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),0.2559134008878259
53,T11026T,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),6.53790849604033
54,T01155W,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.6711184625486846
55,T17230T,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),5.141651302652944
56,T01946T,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),2.288699944187884
57,T07889Z,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),3.027205245569776
58,T10349F,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),0.6050534857673787
59,T04856E,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),5.51053952776546
60,T01430W,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),1.9802479513260192
61,T17265E,45 - 50 dB(A),45 - 50 dB(A),55 - 60 dB(A),0.8468526458341886
62,T02561K,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.36759558884139276
63,T04729Y,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),0.3443972334918965
64,T01633F,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.09566717513703343
65,T17606F,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.0958815014874574
66,T09207X,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.36233461362325237
67,T12907V,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A),5.754569667670195
68,T04597E,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),4.554858813897969
69,T08203P,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.46547739154688356
70,T06595K,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.4311601377234082
71,T01915M,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.526154098969423
72,T08416A,50 - 55 dB(A),45 - 50 dB(A),< 40 dB(A),21.47287920587938
73,T12083G,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.620077603089376
74,T13003U,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),6.0160629772831005
75,T19295S,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.0251431528610255
76,T11305X,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.4283189910103165
77,T02656Q,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.6266099091191268
78,T01496O,50 - 55 dB(A),45 - 50 dB(A),< 40 dB(A),2.7515456920227965
