fid,TRAM,street_tree_count_10m,park_tree_count_10m,street_tree_count_20m,park_tree_count_20m
0,T04719W,12,0,16,11
1,T19941Z,11,0,18,0
2,T18111R,5,0,8,0
3,T03222Y,1,0,1,0
4,T17625I,24,0,28,0
5,T05360P,1,0,11,0
6,T08863T,1,0,2,0
7,T00236S,4,0,5,0
8,T13009A,0,0,1,0
9,T11921P,12,0,27,0
10,T16868V,10,0,11,0
11,T02762R,9,0,20,0
12,T04571U,9,0,13,0
13,T08170X,7,0,13,0
14,T07536D,1,0,1,0
15,T01076Y,2,0,7,0
16,T21401B,4,0,12,0
17,T20087H,6,0,13,0
18,T00497L,3,0,5,0
19,T02457L,6,0,13,0
20,T10161V,13,0,30,0
21,T20348J,126,0,174,0
22,T07895X,7,0,12,0
23,T08413X,3,0,3,0
24,T15540W,0,0,0,0
25,T06230K,3,0,9,0
26,T02118V,18,0,28,0
27,T08980X,17,0,24,0
28,T14659G,18,0,43,0
29,T19836Z,1,0,4,0
30,T01784T,20,0,21,0
31,T11818R,0,0,0,0
32,T18426H,4,0,5,0
33,T02648Q,39,0,51,0
34,T02391K,25,0,34,0
35,T08305U,3,0,11,0
36,T03284M,3,0,6,0
37,T15812B,3,5,13,13
38,T08289L,4,0,8,0
39,T09386P,0,0,10,0
40,T09155C,22,0,32,0
41,T06296C,1,0,5,0
42,T03163E,0,0,4,0
43,T09255F,18,0,25,0
44,T08817N,0,0,0,0
45,T10101J,13,0,17,0
46,T08632G,10,0,15,0
47,T09652O,36,0,73,0
48,T03020Q,28,0,36,0
49,T12919Z,0,0,0,0
50,T00954P,2,0,3,0
51,T17527H,14,0,27,0
52,T16362A,0,0,20,0
53,T11026T,22,0,28,0
54,T01155W,0,0,0,0
55,T17230T,2,0,6,0
56,T01946T,24,0,31,0
57,T07889Z,8,0,17,0
58,T10349F,20,0,28,0
59,T04856E,2,0,4,0
60,T01430W,0,0,2,0
61,T17265E,0,0,1,0
62,T02561K,20,0,25,0
63,T04729Y,1,0,5,0
64,T01633F,6,0,10,0
65,T17606F,3,0,7,0
