road_id,width,openness,betweenness,closeness_global,closeness_400,straightness
172539_172562_0,28.9408208858288,0.7280701754385965,0.004091063422619281,6.947644619513903e-05,2.8192452255232483e-06,0.8524158647013476
172539_34694336_0,43.648847061709965,0.9244186046511628,0.0009111227966796418,6.862375717955484e-05,6.748056006489243e-07,0.8378458987891606
172539_34694265_0,37.13263991139012,0.7972972972972973,0.003290871207703199,6.913112157963313e-05,7.868623629363168e-07,0.8427491922316779
172545_271370539_0,50.0,1.0,4.96742452681356e-06,6.858577116043155e-05,1.8283016962872286e-06,0.8339556071482892
172545_34694336_0,49.24484310135286,0.9333333333333333,0.000774296334441845,6.844180802270542e-05,1.4319516987542211e-06,0.8323646809638865
172545_28345515_0,42.80754261359546,0.7391304347826086,0.000552540532738626,6.822204043964325e-05,1.4290512540101131e-06,0.8318576608574486
172546_28345850_0,34.81354897662676,0.4375,0.0007248996276366665,6.962854772847303e-05,3.896279002373222e-06,0.8452762089203101
172546_530313_0,29.568841873731678,0.42857142857142855,0.0010271570024009107,6.965701815410548e-05,3.5427444229861924e-06,0.8452220733394036
172547_28346151_0,37.841944618460595,0.9,0.00038316754611795605,6.95468169603206e-05,9.999322595695595e-07,0.8393399070791459
172547_172549_0,37.71431062303017,0.7241379310344828,0.003366526136864809,6.979234845692717e-05,1.1280428320752093e-06,0.8406525300807095
172547_34694265_0,35.39148584461856,0.8181818181818182,0.0033604125812780063,6.943120751786222e-05,1.2774283711124317e-06,0.8406732914438535
172549_29687949_0,31.65524595562055,0.6944444444444444,0.00034149052026391454,7.006430926105987e-05,8.610923284272733e-07,0.8387622645964414
172549_34694257_0,37.50259528689047,0.8181818181818182,0.00366383407570632,7.000876081736111e-05,1.0922180003089264e-06,0.8376455848728538
172549_172547_0,37.714390907927616,0.7241379310344828,0.003366526136864809,6.979234845692717e-05,1.1280428320752093e-06,0.8406525300807095
172558_530225_0,50.0,1.0,0.00054961096007408,7.152802908394644e-05,4.373495128221138e-06,0.8523157216009191
172558_29688040_0,38.282378866701826,0.22413793103448276,0.009335224634607958,7.117422751793751e-05,3.831953059889174e-06,0.8523003450035158
