road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main
172539_172562_0,2,2,1,3,19406.495888967587,0.0,0.0,0.0,130.3673481401639,845.3365385806916,0.0
172539_34694336_0,2,2,1,3,19015.01960642405,435.70351387240584,0.0,0.0,0.0,867.7013616617025,0.0
172539_34694265_0,2,2,1,4,19175.649430609854,431.8945501135761,0.0,0.0,0.0,867.7013616617025,0.0
172545_271370539_0,3,3,2,4,18944.230853972847,800.614365321599,0.0,0.0,101.22833307240978,996.5523671978355,0.0
172545_34694336_0,2,2,1,3,18957.026756275827,800.614365321599,0.0,0.0,0.0,996.5523671978355,0.0
172545_28345515_0,2,2,1,4,18957.026756275827,631.3241617397546,0.0,0.0,0.0,839.3838113901567,0.0
172546_28345850_0,3,3,2,3,18724.937643903388,654.3255657369818,0.0,314.31826306713083,44.75275809619398,823.3262193800296,0.0
172546_530313_0,3,3,2,3,18707.19287433111,609.4206629389838,0.0,364.88069183891463,0.0,802.0705759539944,0.0
172547_28346151_0,1,1,0,5,19076.03013618323,433.2991105053767,245.06221573294914,0.0,0.0,1165.853671322217,245.06221573294914
172547_172549_0,2,2,1,4,18888.99908433513,531.9792586145206,245.06221573294914,0.0,0.0,1165.853671322217,245.06221573294914
172547_34694265_0,2,2,1,4,19113.384294697844,504.89881144008046,205.0175650944279,0.0,0.0,1101.6732717138489,205.0175650944279
172549_29687949_0,2,2,1,5,18852.377152881836,524.6170430735482,352.04689857379356,0.0,0.0,1399.2372957403873,352.04689857379356
172549_34694257_0,2,2,1,4,18759.845046214537,630.6170178888699,352.04689857379356,0.0,0.0,1399.2372957403873,352.04689857379356
172549_172547_0,2,2,1,4,18888.99908433513,531.9792586145206,245.06221573294914,0.0,0.0,1165.853671322217,245.06221573294914
172558_530225_0,3,3,3,5,18865.501600617758,0.0,621.2777547216366,220.36905793683155,0.0,1463.807394821584,0.0
172558_29688040_0,3,3,2,2,18865.501600617758,0.0,388.39530302270765,93.76329030103999,0.0,1252.706124403922,0.0
172562_530351_0,4,4,3,2,19486.740138834426,0.0,0.0,252.70602200306408,126.97735606824155,881.1201027203729,0.0
172562_172539_0,2,2,1,3,19406.495888967587,0.0,0.0,0.0,130.3673481401639,845.3365385806917,0.0
172562_29690632_0,2,2,1,3,19486.740138834426,0.0,0.0,252.70602200306408,0.0,761.7945633998531,0.0
172564_21509247_0,4,4,3,3,19724.419040454166,162.39244298677818,0.0,490.1667368541179,107.01422945481777,662.0106306850803,0.0
172564_29690346_0,4,4,3,3,19729.568500829035,72.3797031311104,0.0,498.11629550525754,0.0,662.0106306850803,0.0
172566_530318_0,3,3,3,3,20270.997774932897,569.472579236635,0.0,740.2177129769129,0.0,482.35234974244725,0.0
172566_29690840_0,2,2,1,3,20165.988980219412,468.56241737545685,0.0,683.924341422012,8.758779499288977,491.0349339362046,0.0
172586_29691250_0,2,2,2,4,19545.20918079116,113.29085772207387,0.0,0.0,23.895952634706678,388.94299564495884,0.0
172586_10758633910_0,3,3,2,3,19551.47180530948,113.29085772207387,0.0,0.0,0.0,388.94299564495884,0.0
172587_530205_0,3,3,2,3,19173.0500681162,0.0,0.0,302.59583721659004,109.99316120646111,157.12994149274115,0.0
172587_29493004_0,2,2,1,2,18868.708633995495,0.0,0.0,302.59583721659004,0.0,161.27317677392668,0.0
172589_530202_0,4,4,3,3,18802.937902466238,0.0,0.0,338.34609451688647,85.89330974783077,394.95115867785864,0.0
172589_13381080693_0,3,3,2,2,18650.76672641686,0.0,0.0,177.24010841021135,29.75645055311165,407.192956057498,0.0
172594_223826118_0,4,4,3,3,18485.957893078325,0.0,0.0,0.0,152.2899810741184,739.6711127281288,0.0
172594_29492993_0,2,2,1,3,18488.700749598356,0.0,0.0,11.784737282816135,0.0,702.977156462785,0.0
