road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
143403_21714981_0,4,4,3,5,4001.051496088367,0.0,366.15062510164296,98.0734879649102,0.0,213.54954348803247
143403_21718288_0,4,4,3,5,4005.447822299099,0.0,373.3425346467763,98.50122701348161,0.0,215.06845735173616
143403_143408_0,4,4,3,2,3902.9009372128426,0.0,323.5833273067634,98.50122701348161,0.0,215.06845735173616
143408_21718264_0,3,3,1,5,3812.8864439235913,0.0,323.5833273067634,0.0,0.0,293.1114259598009
143408_932576340_0,4,4,3,2,3809.626884985148,0.0,274.8000443343081,108.50112266488144,0.0,293.1114259598009
143412_8752289484_0,3,3,2,5,2746.3831634688127,0.0,132.49023246676356,230.52298660616586,0.0,406.26856230726685
143412_8752289487_0,4,4,2,2,2750.137306622473,0.0,149.92443534174208,215.26408471182015,0.0,406.26856230726685
143413_21852320_0,2,2,1,5,2920.512385549658,0.0,254.17267742425298,57.972570869749326,0.0,430.76441962686454
143413_8168938341_0,4,4,3,2,2923.2104463710234,0.0,254.17267742425298,0.0,0.0,513.7809270608284
143415_143435_0,4,4,3,2,2676.4700613939663,0.0,292.93211732332793,264.4664406839697,0.0,147.44495959068385
143415_21852322_0,2,2,1,5,2748.3950756915915,0.0,228.28202071694676,243.54278408407978,0.0,207.9019567754255
143416_18232186_0,2,2,1,5,2600.2750383070274,193.66543330741578,321.5827358109955,309.3398946911693,0.0,90.38356286288484
143416_18232178_0,2,2,1,5,2756.8618816532685,75.26592237787915,321.5827358109955,281.9388408457276,0.0,167.93453846103515
143417_18232187_0,2,2,1,5,2619.2776146684823,312.27944825495956,200.76278405037837,329.0765811053513,0.0,209.87186153145865
143417_143416_0,2,2,1,5,2771.8815132089053,214.07135891640115,200.76278405037837,309.3398946911693,0.0,191.37748607469038
143418_25334276_0,4,4,3,3,2830.738742704661,199.66221887759778,0.0,203.85898347165184,0.0,359.46738456535826
143418_21696193_0,3,3,2,5,2811.3801046420526,216.5084812046149,0.0,343.1935691804592,0.0,365.2735422021705
143421_25334263_0,3,3,2,5,3000.2498147390734,107.43898492473896,0.0,177.31227652352086,0.0,332.8432308459044
143421_195279_0,4,4,3,3,3000.2498147390734,176.08801239084156,0.0,0.0,0.0,155.33960679570623
143435_21600355_0,4,4,3,2,2578.4194269862232,0.0,256.99946622222603,339.7482146252172,0.0,104.1100447167525
143439_15925442_0,4,4,3,2,1902.8571494466053,0.0,252.3480781484535,507.7357904739055,98.57807444446412,139.7367904221731
143439_195246_0,4,4,3,2,1742.7750437366974,0.0,143.17724757103852,382.8744815041953,8.791801042272173,13.739881933350496
195222_249717499_0,4,4,3,2,1123.8520553470864,0.0,202.1722138804009,435.9148329874734,28.798627865265576,126.51310435049443
195222_26480401_0,4,4,3,2,1117.1666081057738,0.0,193.07572624563204,452.0392055078123,0.0,96.91425312689746
195222_1468553185_0,4,4,3,2,1123.8520553470864,0.0,202.1722138804009,444.28199804017066,28.798627865265576,125.65377771216129
195228_26336566_0,4,4,3,2,1009.4646308455855,0.0,194.09285395624744,784.7820723194277,0.0,78.95030140335652
195228_958040717_0,4,4,3,2,1021.7163488901668,0.0,174.49471218271077,826.7863484115968,35.34779146300735,78.95030140335652
195231_829528479_0,4,4,3,2,594.454299399095,0.0,120.49003654923506,405.7262950673113,0.0,178.0139949182155
195232_829528479_0,4,4,3,2,594.454299399095,0.0,141.35293122951438,405.17628476462824,0.0,195.7246927493889
195232_1037257423_0,4,4,3,2,615.5120393518032,0.0,124.49712775973958,405.17628476462824,25.207991264459054,197.07607378603078
195234_26058153_0,3,3,2,5,761.8983530759582,0.0,397.20059176853465,80.51578605285636,0.0,70.64997054818613
195234_26108120_0,4,4,3,2,725.5061809474616,0.0,403.73675804012913,81.26676752470058,0.0,135.7801570859443
195235_21674905_0,4,4,3,2,797.0449391018159,0.0,341.33025900795934,0.0,0.0,74.60755756552624
195235_26731434_0,3,3,2,5,754.6424462967215,0.0,341.33025900795934,62.46756395908369,0.0,74.60755756552624
195236_26059219_0,4,4,3,2,873.973374866659,0.0,245.67304753425012,0.0,0.0,0.0
195236_25451937_0,3,3,2,5,887.480933842451,0.0,223.08450914911725,0.0,0.0,22.783407487435635
195237_25499212_0,3,3,2,5,930.9421144704895,0.0,80.3567991764003,87.34526969770572,0.0,172.0721385574104
195237_25451960_0,4,4,2,2,941.5580636150728,0.0,80.3567991764003,0.0,0.0,108.92813247554984
195239_25499150_0,3,3,2,5,1131.7854305478202,0.0,118.18648861818637,0.0,0.0,200.5063150070193
195239_25153100_0,4,4,3,2,1115.36950982174,0.0,68.44737506911746,54.282975442841526,0.0,159.09870235153767
195241_25499136_0,4,4,3,2,1450.7573125098638,0.0,0.0,195.89877046321186,22.28643666893541,159.9754199611759
195241_26058917_0,4,4,3,2,1487.0729086179251,0.0,0.0,239.4739535382275,7.8785451728241815,159.9754199611759
195241_4295013306_0,4,4,3,2,1492.8895923320592,0.0,0.0,219.13439684614985,22.286578662849678,139.78539824282038
195244_4295013309_0,4,4,3,2,1513.9133245730877,0.0,52.530398543670614,130.37003369635553,29.106840468820423,107.84033297849554
195244_2139361023_0,4,4,3,2,1560.82880539241,0.0,153.79691114127107,130.37003369635553,0.0,47.10925233033984
195246_1148982742_0,3,3,2,2,1643.226535968887,0.0,137.9158094593561,229.1285228027658,9.813508689547133,0.0
195246_3404990017_0,3,3,2,2,1742.7750437366974,0.0,142.39539434588335,382.8744815041953,0.0,10.376984104671868
195249_967133152_0,4,4,3,3,1731.7225079350849,85.34886952458487,0.0,168.5833528136782,99.1660176890249,60.41046599864103
195250_25306024_0,3,3,2,5,1456.5677882336063,149.51373801099447,0.0,73.92649768401809,0.0,73.71053060206057
195250_25337454_0,4,4,3,3,1456.5677882336063,243.7592678340898,0.0,137.803838751647,0.0,66.99312458602942
195251_24009841_0,4,4,2,4,1316.4765220334539,190.9018879179296,0.0,0.0,47.22214717244339,51.06679555969715
195251_25337457_0,4,4,3,3,1373.2565528423272,190.9018879179296,0.0,0.0,0.0,90.46922164277856
195252_25337467_0,4,4,3,3,1272.1031987916156,110.21132520855289,0.0,127.86382595084488,0.0,120.47800064453135
195252_25337465_0,2,2,1,5,1151.9421875354114,110.21132520855289,0.0,98.59442989696714,0.0,0.0
195256_1468747927_0,4,4,3,2,270.00169040723824,0.0,700.2680419912847,193.40801381268278,110.2130328514944,403.0483551168976
195256_8784931018_0,4,4,3,2,282.63646731027285,0.0,590.0550449802249,157.62311610613278,0.0,339.29507726798965
195256_25622515_0,4,4,3,2,268.81852434905375,0.0,700.2680419912847,166.16958651094242,110.2130328514944,385.6468359420894
195259_1036842157_0,4,4,3,5,2336.545175049511,0.0,298.2579659801359,113.5537719742064,0.0,550.0605778054328
195259_479185301_0,3,3,2,5,2288.355212362843,0.0,298.2579659801359,130.4690251118203,0.0,500.2870251482878
195259_10055724114_0,4,4,3,2,2351.9580257172734,0.0,0.0,130.97836583480625,0.0,531.4733544076571
