road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness,green,industrial,commercial
359578674_259509034_0,3,3,2,2,1164.1644768275169,0.0,929.780808345092,370.586018853313,0.0,3994.6612221966698,0.0435427672243042,0.0870855344486084,0.0,50.0,0.003284608011912,0.0001611245025739,1.4537341606127154e-05,0.8275882430666409,8.83703989815463,0.0,0.0
4090289858_4090296777_0,3,3,2,2,3196.1721164297537,0.0,2430.53281713962,801.7134436084615,930.2225845482144,3218.545623569852,0.0,0.0,0.0,50.0,2.5780642766908603e-06,0.0001061179394367,4.515771186504902e-06,0.8518805505396069,100.0,0.0,0.0
264138969_264139267_0,3,3,2,5,882.6239124603032,362.7891866505979,1510.581340352364,396.67159043153305,0.0,470.7720082157524,0.0,0.0,0.0718217444014255,23.89436611302471,0.0007830029567314,0.0001339340815287,8.00213285190023e-06,0.7669999564181519,5.69916133912521,0.0,0.0
21226036_21226825_0,3,3,2,5,2729.527373795535,0.0,129.55215282910066,180.04152784118975,0.0,3723.057307114577,0.0,0.0,0.0171606466439308,39.4494060456092,0.0004109350389731,0.0001806718697609,1.7297773250285268e-05,0.8487041760845684,8.706226880531215,0.0,0.0
260479516_262978003_0,3,3,2,5,3778.713961008629,0.0,663.709509156709,245.007703863435,0.0,2410.643001631631,0.1392119070429248,0.0897201713594633,0.0890296675976744,50.0,0.0163331861127859,0.0001643905777349,1.1709036913141502e-05,0.8406440352112724,0.0,0.0,0.0
9306801165_300877915_0,2,2,1,5,732.3912432089376,579.0758007343549,594.9540910481783,252.58994508259576,0.0,3529.24526756561,0.0,0.0,0.0,38.79435372257532,0.0040764520477662,0.000131272002281,5.211195329349395e-06,0.7739733955184172,0.3687380878611706,0.0,0.0
250328320_250328321_0,3,3,2,5,723.9335418289515,425.0519286245861,235.1566425942228,80.72929802686109,0.0,3035.0194298210245,0.0,0.0,0.0,19.411638556260645,0.0034912174457385,0.000141070175393,1.00791640469999e-05,0.8469652063508488,0.0,0.0,0.0
250328562_250328486_0,3,3,2,5,1406.429510542234,0.0,608.0839152665421,363.7484322661146,0.0,1616.7483045483286,0.0,0.0142928059788941,0.0142928059788941,20.07465818932936,2.915734652061783e-05,0.0001662891057388,1.1446085401140072e-05,0.8506056763817753,4.286648290074973,0.0,0.0
281439800_281439790_0,3,3,2,5,675.3852813866553,1061.916792406381,312.57146966917065,160.88727054466708,0.0,1361.92641592858,0.0090951375298031,0.0090951375298031,0.0,33.4109523527319,0.0070092243420044,0.0001094884124734,1.615459248112414e-06,0.6745034396531784,0.0,0.0,0.0
11025932898_21226728_0,3,3,2,4,2995.6388620436887,800.5362488377666,0.0,0.0,50.88667618550773,636.4478871814746,0.1392119070429248,0.0749295141046521,0.0,32.2317912408209,0.0038262817343949,0.0001905200522293,1.883014758163659e-05,0.8518243438150319,10.54653498544312,0.0,0.0
2776300550_27552217_0,3,3,2,5,1473.3957735023798,670.996346696927,782.4801829741447,469.1619183137366,0.0,2726.8292062410837,0.019933609182252,0.0498340229556301,0.0,45.65487352167332,0.0066416960591681,0.0001176341879018,1.0226894015541083e-05,0.786544698739007,26.976114354908404,0.0,0.0
2697801688_2697801691_0,2,2,1,5,3568.121673893523,353.60799847031905,770.9063555771874,185.51637876242535,0.0,4284.18610101259,0.0,0.0,0.0,19.88654819966142,0.0002908869154803,0.0001465667690091,2.6977463470290672e-05,0.8274949280037422,23.00511940106589,0.0,0.0
269349458_269349445_0,3,3,2,5,2163.164272552189,162.6992335255412,147.158922621468,147.22974548131623,0.0,2020.5414926164945,0.0333338721906571,0.0333338721906571,0.0666677443813143,19.177748109793875,0.0010690700129118,0.0001722879558693,1.995940248327928e-05,0.8271448112037941,1.890725809094942,0.0,0.0
269790651_2706803691_0,3,3,2,3,5529.672775347202,1065.6532597746543,0.0,17.40725766708889,303.85680599295864,3713.9439063232,0.0,0.0,0.0,50.0,2.974581771421031e-05,0.0001183244094483,7.853310945999086e-06,0.8326544170269009,64.92782665687011,0.0,0.0
13266396373_5270092035_0,3,3,2,4,3474.440534589739,1045.8138184960271,173.82799083986674,0.0,0.0,2510.749220898766,0.0,0.0446023688138925,0.0371686406782438,40.84033637602107,0.0128451071800799,0.0001912336917909,1.4516132882022885e-05,0.8528135485722687,31.682631250150784,0.0,0.0
245555961_2807263923_0,3,3,2,3,459.122249668265,585.0880747670938,0.0,0.0,0.0,1959.2170924966708,0.0399612617538118,0.0333010514615099,0.0266408411692079,41.53275417279721,0.0052924717244495,0.0001627204803245,2.010970600921609e-05,0.82978640075723,5.2891930542039125,0.0,0.0
260784696_257678253_0,3,3,2,3,3305.6616451899145,1438.628572293508,0.0,0.0,0.0,4695.354188706333,0.0109394935815894,0.0021878987163178,0.0,50.0,0.0019754417520143,0.0001354875661958,9.254868330409766e-06,0.8435348501570643,35.815217515295004,0.0,0.0
1003229765_271200573_0,3,3,2,5,3480.4364862573893,1738.8934459138347,191.35422839500228,31.74616177937905,0.0,4603.777431924594,0.0,0.0,0.0,50.0,0.0013794885675319,0.0001347486788888,1.191492998320142e-05,0.8463943639315346,9.087874127257258,0.0,0.0
91532534_78456350_0,3,3,2,5,3546.8428896986134,1699.2186440679577,304.67956205631185,0.0,0.0,1870.1311319539248,0.0,0.0,0.0136829669040785,14.71009396303097,4.997801779867554e-05,0.0001967952945118,8.552392569849321e-06,0.839765100748948,0.0,0.0,0.0
256037858_256205273_0,3,3,2,5,446.4027547029489,438.95841589788,91.07347215321737,117.12508486944596,0.0,1753.9000724755651,0.0,0.0,0.0,27.40882815275153,0.0001796378374535,0.0001666705236075,1.9978340766151364e-05,0.8294805959770692,18.036661707810683,0.0,0.0
330117074_21310652_0,3,3,2,5,4170.039470522981,697.808470171594,19.131853283873625,0.0,0.0,2998.95240996034,0.0,0.0897201713594633,0.0,37.504823523994496,0.0001539973068755,0.0001442447025537,2.867970049686846e-06,0.7798100166322863,2.6617638366739547,0.0,0.0
29137397_560867112_0,3,3,2,5,2641.016453704064,1458.2897442662934,54.29149992114571,54.31290039911016,0.0,2322.36642490202,0.0,0.0,0.0277360218735454,16.40479032268331,0.0628395601385193,0.0002037528100971,1.6673406636555714e-05,0.8512929383386533,0.0,0.0,0.0
2781141780_2781141777_0,3,3,2,5,3059.8621922827947,178.41532817989886,675.2267225995051,0.0,0.0,1506.0223404961246,0.1391422804436628,0.0897201713594633,0.0,38.46723321797944,7.100885736015914e-05,0.0001817067339785,2.4418813714644784e-05,0.8571395047485271,0.0,0.0,0.0
256033466_256033469_0,3,3,2,5,868.1669595199945,1003.0450836957954,141.71768064656462,219.80414136743428,0.0,1540.925569198099,0.0,0.0060180303743861,0.0180540911231583,16.82498952174997,0.0002625282084367,0.0001527756805449,7.028792576619484e-06,0.8066651230644382,0.0,11.479878123768945,0.0
96886739_2704118613_0,3,3,2,5,2538.2327461343025,214.11537138766252,0.0,26.57136230318039,0.0,1350.2712092355082,0.1316486832915368,0.0897201713594633,0.008228042705721,32.43111215074794,0.0001349840828349,0.0001774193453136,1.202380591079407e-05,0.8111217011175702,0.0,0.0,0.0
254604867_281439790_0,3,3,2,5,675.3852813866553,1030.042964932095,312.57146966917065,119.221001687874,0.0,1299.604365256136,0.0140531031561534,0.0,0.0,19.670353604106108,0.0001637911488832,0.0001077308674007,1.626683353296545e-06,0.663521022133061,0.0,0.0,0.0
9783566233_9783566232_0,3,3,2,2,1145.2265819041963,0.0,1010.3183992479392,203.87966072290155,0.0,1322.1421868426232,0.1392119070429248,0.0,0.0,50.0,0.0005372041436554,0.0001415197263938,1.8796172196078097e-05,0.815926941669541,23.6150612355732,0.0,0.0
1805292565_1804589971_0,3,3,2,4,1277.3059819691175,1903.6505173569808,672.4220129932526,0.0,0.0,1580.893540575501,0.0,0.0,0.0,48.93343494514485,0.0045514603907465,0.0001203794092413,4.2892224729853184e-06,0.7150252569028591,20.69441436213696,0.0,0.0
2212101013_597408497_0,3,3,2,5,2949.7058911714016,245.096085168228,0.0,385.9241712279622,0.0,2055.076875879241,0.0,0.0,0.1005636284658603,36.31057990114844,0.0003059910094491,0.0001757132713019,2.757130985775054e-05,0.851713112093791,2.482689995219021,0.0,0.0
29089557_10137333033_0,3,3,2,5,2956.3877671321525,493.7875155150826,197.60078596161108,142.21474599105358,0.0,1528.607327216496,0.0,0.0,0.0317948738697578,39.01932660431976,0.0011608154742367,0.0001863042691672,2.016222695846503e-05,0.8511165690981107,26.692702945853423,0.0,0.0
1838905872_12891852435_0,3,3,2,4,1255.5422059079049,1264.524464067639,1638.3394988894456,0.0,0.0,2357.797844983906,0.0,0.0,0.0,48.849182839898006,0.000152203870857,9.969823920794855e-05,5.628478455715553e-06,0.7860521415413961,25.167552831741137,0.0,0.0
1773980608_727769707_0,3,3,2,5,915.5099441138464,1937.319860536252,375.46503731283343,40.44461053669629,0.0,1993.6196482311973,0.1392119070429248,0.0,0.0,50.0,0.0009030791026621,0.0001230897964416,1.0803463584513198e-05,0.7516800610875838,41.802943694690185,0.0,0.0
253973139_253973551_0,3,3,2,5,774.3858588040317,410.61097922314747,92.36586561013092,369.8370600784893,0.0,110.29945534721011,0.0131081387861024,0.0,0.0087387591907349,35.38871206811751,0.0013518864663086,0.0001420310336246,2.724427033718288e-06,0.7685600242984053,2.5001414566431306,7.436356942450931,0.0
871600536_127722271_0,3,3,2,2,2858.7824027567517,0.0,24.95768862456077,617.5225226900885,71.49507466340853,2277.4564921831493,0.1392119070429248,0.0772685265898352,0.0515123510598901,44.06040094437586,0.0186568626992181,0.0001701833076102,1.892326844598441e-05,0.8552539961055267,3.788110789043987,0.0,0.0
289641338_1514313049_0,3,3,2,5,2022.85778248178,16.91546474026668,882.9403461249008,0.0,0.0,84.40256973077395,0.1392119070429248,0.0897201713594633,0.0,50.0,0.0052829581068197,0.000142430236698,8.450966385594044e-06,0.7665054742692369,15.00667169271068,0.0,0.0
1476565877_31367789_0,3,3,2,5,1174.7335825317296,1027.7356971665863,25.35336501063892,56.247198143144914,0.0,1536.5931716160214,0.0061720396057546,0.0,0.0185161188172638,18.35047813862581,0.0004351884588805,0.0001913486890456,1.5070093314364904e-05,0.8201626953222765,1.0332826546483254,5.401846991114632,0.0
1736732468_257897065_0,3,3,2,5,1831.406579638784,38.59526100328277,471.7497539403816,158.95230604737046,0.0,1908.143497900108,0.0247307564211552,0.0,0.0,24.873428034641567,0.0007219560760057,0.0001676121405982,1.1324969349271692e-05,0.8527910270888974,1.4681020100906368,0.0,0.0
2872661072_262384559_0,3,3,2,5,4506.694132449622,1685.6862308553302,269.59545230839285,414.9150330137866,0.0,4492.40817482877,0.0,0.0,0.0,45.23236179262021,0.0036566479072325,0.0001177866405488,1.2077245510761055e-05,0.8409952335583569,51.02654733854308,0.0,0.0
1030280370_1030280439_0,4,4,3,3,1212.5474774635247,1283.643722028086,0.0,340.965873550715,0.0,1810.364120258336,0.1392119070429248,0.0897201713594633,0.1025692477698489,50.0,0.0005033250163672,0.0001205221533398,1.1078713627761964e-05,0.7994454603318857,27.475474362343057,34.0691422545444,0.0
