road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness,green,industrial,commercial
10371529_743371634_0,65.0,65.0,55.0,2,1139.1685973601282,0.0,3243.971228416768,0.0,295.92352222467105,288.32893236079104,0.0259008624048323,0.0,0.0,50.0,0.00016408538448,9.570232211231344e-05,6.969206579478884e-06,0.8392914230110722,99.99999999999996,0.0,0.0
10371529_743371622_0,65.0,65.0,55.0,4,1106.773563545201,0.0,3243.971228416768,0.0,289.2669566216772,266.5470142374829,0.0066460077556308,0.0,0.0,50.0,0.0063588936169902,9.57212545263376e-05,6.561614809062097e-06,0.8390744931256409,100.0,0.0,0.0
10371530_267873043_0,65.0,65.0,55.0,2,2119.5817417639546,0.0,1317.6015027887347,79.17794215259805,14.866980306995206,1472.5117205079866,0.0018590129530134,0.0009295064765067,0.0018590129530134,38.839166718441234,0.0003275542753286,0.0001022179418473,7.732950813121102e-07,0.7368901691417066,93.89970427593556,0.0,0.0
13595397_271096577_0,65.0,65.0,55.0,3,0.0,436.04970130176287,0.0,194.5338345932373,13.506098498012998,2720.309808157156,0.1392119070429248,0.0477015260775151,0.0,50.0,0.004027875151857,0.0001386159386816,2.24622410588054e-05,0.8145769902954844,3.926710440711449,0.0,0.0
13595397_344814479_0,65.0,65.0,55.0,3,10.18263347915877,436.04970130176287,0.0,194.5338345932373,0.0,2717.720475869052,0.1392119070429248,0.0,0.0,50.0,0.0002230025599337,0.0001387275386036,2.1949614843704764e-05,0.8134337383452985,4.53688917700409,0.0,0.0
13595397_8383189623_0,65.0,65.0,55.0,3,10.18263347915877,416.18776434378935,0.0,183.7718697781532,13.506098498012998,2574.984505748759,0.0247485014964203,0.0,0.0,40.38144775727018,0.002290848300561,0.0001401450726676,1.537391710164247e-05,0.8101466040788644,1.7961431155166372,0.0,0.0
13598756_245474388_0,65.0,65.0,55.0,4,1242.9063422567372,980.2579530634114,0.0,0.0,0.0,2110.6919915048425,0.1392119070429248,0.0561731983987778,0.0561731983987778,50.0,0.0027882465713356,0.0001941736993062,1.5866824197472282e-05,0.828881725737538,19.36889909750855,0.0,0.0
13598756_243908533_0,65.0,65.0,55.0,5,1111.677327634852,947.5705597533574,35.63049572817761,0.0,0.0,2045.865543194437,0.0533764574917037,0.0076252082131005,0.015250416426201,32.306448060985204,0.0026365751267966,0.0001927530374251,1.5013916774650378e-05,0.8255523780495977,20.298136033896004,0.0,0.0
13598788_13919627_0,65.0,65.0,55.0,5,508.71044803815766,499.6141835657956,0.0,102.39863157412287,0.0,1813.004624719238,0.0181836513168513,0.0897201713594633,0.0181836513168513,34.90960668524343,0.0002587311681161,0.0001843841470376,1.8557463860228503e-05,0.8341875380231185,9.00384622001095,0.0,0.0
13598788_12452780553_0,65.0,65.0,55.0,5,464.7361032533508,455.692330280696,0.0,54.42397835185833,0.0,1854.73907923604,0.1060566373623504,0.0757547409731074,0.0,50.0,6.386313572367904e-05,0.0001843024756304,1.9264423162232465e-05,0.8358975596951566,9.275098382363735,0.0,0.0
