road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
10371529_743371634_0,3,3,2,2,1139.1685973601282,0.0,3243.971228416768,0.0,295.92352222467105,288.32893236079104
10371529_743371622_0,3,3,2,4,1106.7735635452007,0.0,3243.971228416768,0.0,289.2669566216772,266.5470142374829
10371530_267873043_0,3,3,2,2,2119.5817417639546,0.0,1317.6015027887347,79.17794215259805,14.866980306995206,1472.5117205079866
13595397_271096577_0,3,3,2,3,0.0,436.04970130176287,0.0,194.53383459323732,13.506098498012998,2720.309808157156
13595397_344814479_0,3,3,2,3,10.18263347915877,436.04970130176287,0.0,194.53383459323732,0.0,2717.720475869052
13595397_8383189623_0,3,3,2,3,10.18263347915877,416.18776434378935,0.0,183.77186977815313,13.506098498012998,2574.984505748759
13598756_245474388_0,3,3,2,4,1242.9063422567372,980.2579530634114,0.0,0.0,0.0,2110.6919915048425
13598756_243908533_0,3,3,2,5,1111.677327634852,947.5705597533574,35.63049572817761,0.0,0.0,2045.8655431944367
13598788_13919627_0,3,3,2,5,508.71044803815766,499.6141835657956,0.0,102.39863157412289,0.0,1813.004624719238
13598788_12452780553_0,3,3,2,5,464.7361032533508,455.692330280696,0.0,54.42397835185833,0.0,1854.7390792360397
13919619_28836311_0,3,3,2,5,655.4644679765862,538.0198018304657,245.00464614049324,219.9586561628777,0.0,2150.1036747195553
13919619_28836319_0,3,3,2,5,585.7093940894296,576.9343912410225,157.20517549128954,149.435604031224,0.0,2045.3576396610322
13919627_169693523_0,3,3,2,5,508.71044803815766,499.6141835657956,0.0,121.28806861049235,0.0,1813.004624719238
13919627_29089629_0,3,3,2,3,508.71044803815766,499.6141835657956,0.0,121.28806861049235,0.0,1689.4122370026435
13919638_90597716_0,3,3,2,5,184.41456769611148,175.38991536526217,110.85068691965678,457.35105256790445,0.0,1388.7967188752132
13919638_29750051_0,3,3,2,5,429.48579195376345,420.3005649323181,113.1191424826781,315.33724807319805,0.0,1446.5242281579058
13919638_2795860839_0,3,3,2,5,429.48579195376345,420.3359153421178,20.105142258763973,457.4019659943005,0.0,1355.6982598982413
13919640_615044973_0,3,3,2,5,422.135714028833,412.87857737244235,244.30329340208718,0.0,0.0,2131.121128706923
13919640_28836318_0,3,3,2,5,435.50529970548746,426.2491169876102,244.42291354745456,0.0,0.0,2136.4748452455747
13919640_582645232_0,3,3,2,4,435.50529970548746,426.2491169876102,63.78101315589704,0.0,0.0,1964.4822950606554
13919646_153561901_0,3,3,2,5,709.2561212280514,700.1126974132412,187.92357163825162,395.87414872539154,0.0,1223.5008354822535
13919646_2739072743_0,3,3,2,5,709.8317531550608,700.4255992409902,187.23225882984474,328.06567678542314,0.0,1236.9172982500304
13919646_29749837_0,3,3,2,5,709.8317531550608,700.4255992409902,0.0,391.95760019591,0.0,1236.9172982500304
13919649_53723978_0,3,3,2,5,709.4486807727203,700.1337767265952,0.0,366.85608308511223,0.0,1699.5219744018868
13919649_169693523_0,3,3,2,5,710.3734618500911,701.2590694847552,24.779522040942812,294.0594241445682,0.0,1723.511016641366
13919649_169694475_0,3,3,2,5,711.3802212673199,702.0958572488099,24.779522040942812,366.85608308511223,0.0,1723.511016641366
13919653_31333462_0,3,3,2,5,748.3433171732798,433.3034003749908,320.6867175246458,177.6409713926843,0.0,2244.608545114466
