road_id,signals,transport,pois
206378333_6315715548_0,0.0,0.0,0.0
208568922_208568921_0,0.0,0.0,0.0
208568926_208568922_1,0.0,0.0052960478894946246,0.0
208595138_208595144_0,0.0,0.0,0.0
208595144_2332249073_0,0.0,0.0,0.0
211305820_211305823_0,0.0,0.0,0.0
211305823_1564374009_0,0.0,0.0,0.0
211305823_211305824_0,0.0,0.0,0.0
211305824_211305825_0,0.0,0.0,0.0
211305825_1131453368_0,0.0,0.0,0.0
211310173_211311619_0,0.0,0.0,0.12432413925588029
211310173_1564374009_0,0.0,0.0,0.019859260122858633
211310729_1885951241_0,0.0,0.0,0.27656453542825304
211311619_211311623_0,0.0,0.0,0.06055182464857444
211311623_211313493_0,0.0,0.033387440932982446,0.0
211311623_1885951247_0,0.0,0.0,0.0
211313493_1885951247_0,0.0,0.033387440932982446,0.0
211313493_1094296689_0,0.0,0.008370171711024919,0.002790057237008306
211317741_243495396_0,0.005427822094567289,0.016283466283701864,0.005427822094567289
211317741_1187334109_0,0.008865921093560927,0.0077797848078694515,0.0038898924039347258
211317741_1094296689_0,0.008865921093560927,0.033387440932982446,0.008901644626762717
211318993_211318996_0,0.008865921093560927,0.033387440932982446,0.0
211318993_243494580_0,0.008865921093560927,0.02089803749090988,0.026122546863637353
211318996_211319000_0,0.008865921093560927,0.033387440932982446,0.0
211318996_1843795432_0,0.008865921093560927,0.029070082178424415,0.0
211319000_1130841547_0,0.008865921093560927,0.0,0.0
211319000_211320730_0,0.008865921093560927,0.0,0.0
211320730_409137876_0,0.008865921093560927,0.0,0.025218343201948462
211320730_211320731_0,0.008865921093560927,0.0,0.0
211320730_211319000_0,0.008865921093560927,0.0,0.0
211320731_1129273462_0,0.0,0.015018893512406638,0.0
211320731_211320730_0,0.008865921093560927,0.0,0.0
211320732_1129273462_0,0.008865921093560927,0.00950652193829548,0.01425978290744322
211320732_211321251_0,0.008865921093560927,0.0,0.09037396884236691
211321251_1763262440_0,0.008865921093560927,0.0,0.11770774211373669
211321253_211321896_0,0.008865921093560927,0.033387440932982446,0.1587719864536139
211321253_728705258_0,0.008865921093560927,0.013050891262502109,0.013050891262502109
211321256_211320732_0,0.008865921093560927,0.0,0.13431556448441034
211321256_211321251_0,0.008865921093560927,0.0,0.08686117559491899
211321896_10185494295_0,0.008865921093560927,0.008464690209548917,0.012697035314323375
211321896_211321900_0,0.008865921093560927,0.033387440932982446,0.08623536435669281
211321900_2187119246_0,0.008865921093560927,0.033387440932982446,0.2678794297936429
211321900_1109639608_0,0.008865921093560927,0.033387440932982446,0.157170548058426
214922958_214922960_0,0.0,0.0,0.0
214922960_214922962_0,0.0,0.0,0.0
214922960_214922958_0,0.0,0.0,0.0
214922962_214922960_0,0.0,0.0,0.0
214922962_214923388_0,0.0,0.0,0.0
214923388_214924707_0,0.0,0.0,0.0
214923391_214925654_0,0.0,0.028474398250755945,0.0
214923391_214924711_0,0.0,0.032950342982233524,0.0
214923395_214922962_0,0.0,0.0,0.0
214923395_214923388_0,0.0,0.0,0.0
214924707_5772382726_0,0.0,0.0,0.0
214924707_214924708_0,0.0,0.0,0.0
214924708_214923391_0,0.0,0.0,0.0
214924711_214924714_0,0.0,0.033387440932982446,0.0
214924714_214925862_0,0.0,0.025625080057397106,0.0
214924714_214924716_0,0.0,0.0,0.0
214924716_214923395_0,0.0,0.0,0.0
214925654_4549490595_0,0.0,0.0034084706861513396,0.0
214925654_214924711_0,0.0,0.02840932390127851,0.0
214925862_4353325945_0,0.0,0.0009976811544595927,0.0
214925862_214924716_0,0.0,0.028599229477123424,0.0
242925411_242925494_0,0.0,0.0,0.0
242925494_11387988431_0,0.0,0.0,0.0
242925494_242925495_0,0.0,0.033387440932982446,0.0
242925495_2221700186_0,0.0,0.033387440932982446,0.0
242925500_242925411_0,0.0,0.0,0.0
242926973_5772382696_0,0.0,0.0,0.0
243494580_4223738581_0,0.008865921093560927,0.033387440932982446,0.08472737068701895
243494580_211318993_0,0.008865921093560927,0.02089803749090988,0.026122546863637353
243494580_1187722456_0,0.008865921093560927,0.01726725523329796,0.04029026221102857
243494597_1672512429_0,0.0,0.0,0.0
243495392_243495422_0,0.0,0.0,0.0
