road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
206378333_6315715548_0,68.0,65.0,61.0,5,3839.187019936765,3424.5283201067105,908.1897565542896,308.5446492107451,0.0,739.5677687711527
208568922_208568921_0,70.0,67.0,61.0,1,0.0,1715.6164952369984,201.9623556689589,260.579227811025,3533.2394803479297,4788.496961560929
208568926_208568922_1,70.0,67.0,61.0,1,0.0,1942.730762408269,423.8078442016606,481.7761712914655,3567.8596008777745,4886.59082714849
208595138_208595144_0,70.0,67.0,61.0,1,0.0,1083.8308475447698,0.0,23.84554299451922,3277.375622339596,4349.1859190331015
208595144_2332249073_0,70.0,67.0,61.0,1,0.0,1616.5264090433332,128.87129289831412,181.05816097562095,3498.025601541741,4726.558683116156
211305820_211305823_0,64.0,64.0,54.0,4,4324.460415135879,3933.1081516787135,1345.3307417586832,0.0,24.64702002212132,507.6686066256421
211305823_1564374009_0,68.0,65.0,61.0,4,4327.284307076206,3933.697403627432,1341.3788460563185,0.0,31.251669152348097,498.7469901761637
211305823_211305824_0,68.0,65.0,61.0,4,4327.284307076206,3933.8022370210447,1345.3307417586832,0.0,29.093974894318528,497.7090221262852
211305824_211305825_0,64.0,64.0,54.0,4,4337.63604813631,3942.312125299628,1349.7932537939623,0.0,7.032176400302721,497.21430831150747
211305825_1131453368_0,68.0,65.0,61.0,4,4350.846617050507,3960.937453995232,1372.706560591351,0.0,0.0,507.22182249518426
211310173_211311619_0,68.0,65.0,61.0,4,4327.912795049511,3887.004463942989,1236.766878536407,0.0,21.992363252619917,372.3466065234432
211310173_1564374009_0,68.0,65.0,61.0,4,4329.715102273261,3895.951609021497,1249.925941678239,0.0,22.997793330173497,378.9989306613929
211310729_1885951241_0,68.0,65.0,61.0,4,4344.7658209594,3905.4293665993114,1255.170733619656,0.0,2.066757064680639,358.3146374243063
211311619_211311623_0,68.0,65.0,61.0,4,4325.607043092468,3879.024330759559,1218.2274784268427,0.0,23.909308949389946,351.1883631383377
211311623_211313493_0,68.0,65.0,61.0,4,4328.711412217047,3879.024330759559,1209.8414093971296,0.0,37.74951633323523,330.22826630016715
211311623_1885951247_0,68.0,65.0,61.0,4,4328.711412217047,3879.024330759559,1218.2274784268427,0.0,20.71287855582996,331.2872628989412
211313493_1885951247_0,68.0,65.0,61.0,4,4336.391551654536,3879.622476897808,1209.8414093971296,0.0,20.71287855582996,330.22826630016715
