road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
30389382_249502424_0,65.0,65.0,55.0,5,1098.130859091989,0.0,148.73372646264554,294.24536479621327,0.0,80.48949962909931
30389382_30389461_0,75.0,70.0,60.0,2,1098.130859091989,0.0,148.73372646264554,328.71171246590603,0.0,0.0
30389389_4398109455_0,75.0,70.0,60.0,3,733.1499516537011,191.89438513450335,0.0,21.763469644300585,0.0,454.4112702175072
30389391_30575132_0,75.0,75.0,65.0,2,764.2808855477625,0.0,0.0,403.2680571124823,89.42971010037846,407.5023926939129
30389400_3847861549_0,75.0,70.0,65.0,2,1318.9294274016777,0.0,66.39784262969212,75.09478046397203,28.661398821005548,154.12594420161312
30389400_30389426_0,75.0,70.0,60.0,2,1325.5685714833323,0.0,66.39784262969212,75.00547228422748,28.661398821005548,213.4865179386414
30389401_3725362792_0,70.0,70.0,60.0,3,745.4891795842581,124.09172779894176,0.0,255.23112919315648,63.73848060877709,407.3913526193127
30389406_263710328_0,70.0,70.0,60.0,4,1766.0019430086168,81.31229779151003,92.40404386740278,0.0,0.0,57.0536535649588
30389406_158680076_0,70.0,70.0,60.0,5,1762.1836585089873,81.31169991558346,82.96212038812207,0.0,0.0,72.30865865480412
30389407_30575306_0,75.0,75.0,65.0,2,730.308930245163,0.0,0.0,222.9914010541988,70.06417255115964,369.8725311600893
30389407_30575311_0,75.0,75.0,65.0,3,769.8230699920031,0.0,0.0,246.7768307181956,70.06417255115964,352.639913108696
30389409_263821495_0,65.0,60.0,55.0,5,1707.885998783053,429.9734779777368,359.69908815914573,0.0,0.0,55.4225462842653
30389409_264075698_0,70.0,70.0,60.0,4,1742.0277635558907,429.9734779777368,359.69908815914573,0.0,0.0,26.55047058511755
30389424_213757129_0,65.0,65.0,55.0,5,1280.902656854079,66.07901057160767,74.01205683997476,220.74966622891029,0.0,65.71922830009892
30389424_30389468_0,70.0,65.0,55.0,5,1281.0021200765343,0.0,34.60506298541446,159.12042053926328,0.0,65.71922830009892
30389426_3745747448_0,75.0,75.0,65.0,2,1323.4668958791692,0.0,93.09740794057588,71.28051944381158,80.92532388494465,219.08175102356208
30389431_4171954126_0,75.0,70.0,60.0,2,2252.280294245528,0.0,0.0,0.0,97.2344659345652,217.99953282825035
30389431_249316285_0,75.0,75.0,65.0,2,2213.8465625809704,0.0,0.0,28.56688980307125,0.0,149.10965815009422
30389433_249091504_0,70.0,70.0,60.0,5,909.230693590826,236.3071768054488,119.22918686885666,125.88279449437172,0.0,469.5649347067698
30389443_1801605565_0,75.0,70.0,60.0,2,2238.677252680906,0.0,43.22390957643851,0.0,63.25767937188419,232.9643820499794
30389454_1273378356_0,75.0,75.0,65.0,2,1409.3431204256833,0.0,0.0,0.0,18.358629422313875,293.9031672712458
30389459_30389494_0,70.0,70.0,60.0,5,783.1804678493928,61.23395299640803,0.0,349.51396128938126,0.0,229.88594715708965
30389459_30389469_0,70.0,70.0,60.0,5,936.8510877427908,62.33215468077206,62.380849613377016,347.55827213863205,0.0,229.88594715708965
30389460_30438384_0,70.0,70.0,60.0,3,1355.9280631637348,0.0,0.0,0.0,60.924149509359545,81.6496682175138
30389460_263345734_0,75.0,75.0,65.0,2,1355.9280631637348,0.0,0.0,161.899181866332,0.0,80.5456000034738
30389461_4496520979_0,70.0,70.0,60.0,2,1180.400332725733,0.0,81.6496682175138,243.7460395616669,54.40050674151694,0.0
30389464_265024868_0,80.0,75.0,70.0,2,1545.303110783601,0.0,121.59783714355032,99.3358625337869,0.0,198.60100063121217
30389464_942046362_0,80.0,75.0,70.0,2,1458.8694242578936,0.0,59.94341030616847,80.52843296079845,0.0,235.52221030004569
30389468_256937053_0,75.0,75.0,65.0,2,1347.032767159754,0.0,0.0,159.12042053926328,0.0,88.09372817341219
30389469_249091504_0,65.0,65.0,55.0,5,907.8347979186676,125.84335140196109,125.36891404463508,125.88279449437172,0.0,238.2178124525602
30389470_30389433_0,70.0,70.0,60.0,5,811.9023996027944,236.3071768054488,0.0,16.489405499476636,0.0,561.2192975866326
30389470_30575309_0,75.0,70.0,60.0,3,774.9536229128897,26.35352229844536,0.0,10.842888604514476,0.0,405.8957473354133
30389471_158680093_0,75.0,70.0,60.0,3,946.8497649137838,0.0,0.0,431.0168261219642,0.0,228.6028137836305
30389471_30389382_0,75.0,70.0,60.0,2,950.9817998139011,0.0,0.0,351.13802089049875,0.0,80.48949962909931
30389472_158680082_0,65.0,65.0,55.0,5,1089.7006276975376,0.0,150.14810229320085,377.6586599138191,0.0,79.03480213387456
30389472_30389459_0,70.0,70.0,60.0,5,940.010521232664,62.33215468077206,62.380849613377016,401.22539122447074,0.0,79.75823944357114
30389477_30389424_0,65.0,65.0,55.0,5,1217.6021487561768,66.07901057160767,74.01205683997476,225.17637907313144,0.0,63.39175802468363
30389489_30389454_0,75.0,70.0,60.0,2,1358.886295681223,0.0,14.341533784684456,0.0,31.92648272996605,293.95528306920494
30389489_5916635347_0,70.0,70.0,60.0,4,1358.886295681223,0.0,63.19019107251782,0.0,0.0,293.95528306920494
30389494_2594371700_0,70.0,70.0,60.0,3,767.3686210925653,61.34139203789044,0.0,292.6275152402948,0.0,387.33982556375145
30389495_30389472_0,65.0,65.0,55.0,5,1086.62283526996,63.17366728275397,163.0374044562217,419.4658059701495,0.0,79.75823944357114
30389498_942046362_0,80.0,75.0,65.0,2,1414.067890926803,0.0,5.285276043862407,19.44629303080569,9.910632526354952,281.23869689705054
30389498_1273378027_0,80.0,75.0,65.0,2,1412.0527591278446,0.0,5.285276043862407,19.44629303080569,0.0,278.26495033890274
30389501_1273377668_0,80.0,75.0,65.0,2,1880.578239190314,0.0,323.07949846929495,284.1556124623697,34.98751211949516,121.73070437999354
30389505_249426555_0,80.0,75.0,65.0,2,1692.4676597561422,0.0,122.84833756884328,0.0,10.40874703605066,142.87353147069197
30389505_249785000_0,80.0,75.0,65.0,2,1692.4676597561422,0.0,57.550460668569166,0.0,0.0,147.2015652630837
30389508_30389489_0,75.0,70.0,60.0,2,1341.2803005262906,0.0,67.8835316737448,0.0,62.12724231859857,278.8775610811684
30389514_7472041811_0,70.0,70.0,60.0,5,1265.3770361412176,0.0,28.79963664084523,161.6637376584409,0.0,0.0
30389514_158680079_0,75.0,75.0,65.0,2,1348.495447726645,0.0,0.0,161.6637376584409,0.0,82.14903556507704
30438348_259476135_0,75.0,70.0,60.0,4,394.8061315229927,385.1117959413488,0.0,0.0,104.84632869223891,402.0134242751554
30438348_30575353_0,75.0,70.0,60.0,3,395.4611017387811,379.7276384300804,0.0,0.0,93.8148615006005,157.87705677208592
30438359_30438405_0,75.0,70.0,60.0,1,0.0,0.0,761.023808792695,309.1533941783539,61.547573827991,578.2796352585402
30438361_263699248_0,75.0,75.0,65.0,2,962.8326252388196,0.0,3.998530898057264,334.8900029706156,80.4574888514597,125.53509767299816
30438361_30438537_0,75.0,75.0,65.0,2,962.8326252388196,0.0,3.998530898057264,337.26479108710976,70.09441800824294,125.7386667898344
30438367_1619563204_0,75.0,70.0,60.0,2,1500.9447587288282,0.0,111.90088971846832,0.0,17.24034959764141,362.5647447394785
30438367_1381399732_0,75.0,70.0,65.0,2,1728.297590138456,0.0,85.53430560257897,230.6956343107031,67.79935060148136,471.1497103695507
30438369_922790550_0,75.0,70.0,60.0,2,1962.9940144581988,0.0,81.31886839894025,186.3891695955196,0.0,200.9597876888496
30438369_1619563092_0,70.0,70.0,55.0,5,2106.1784074773154,0.0,226.72311004280823,186.3891695955196,0.0,200.9597876888496
30438370_30438388_0,75.0,70.0,60.0,1,0.0,10.139196594156216,629.5479431060339,60.25948236590945,56.97636951929872,223.5508026652638
30438377_942629434_0,80.0,75.0,65.0,3,714.3063091535868,108.36972008082772,0.0,421.3287401177692,0.0,161.7258911376183
30438377_2383568494_0,70.0,70.0,60.0,5,731.3110162800776,175.0901070965014,0.0,459.4840588972582,0.0,221.87197035186452
30438383_30438600_0,75.0,70.0,60.0,3,1567.9077882953006,393.1755286018876,0.0,170.14621645826995,54.51431956637092,550.9895005175898
30438384_158680078_0,75.0,75.0,65.0,4,1514.3041673021048,134.96248930390934,0.0,0.0,61.15750680339582,243.8696503043439
30438384_266326618_0,70.0,70.0,60.0,3,1517.112624002369,0.0,0.0,0.0,60.703594131459006,186.0872424221824
30438388_30438713_0,75.0,70.0,60.0,1,0.0,56.45107647006638,625.2627474642543,106.26787346691732,54.50549134440084,223.3104882837245
30438388_513423684_0,70.0,65.0,60.0,1,0.0,56.45107647006638,607.5699539893608,106.26787346691732,0.0,180.355449525768
