road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness,green,industrial,commercial
627831341_425994971_0,60.0,60.0,50.0,5,711.0481682486184,723.469714761167,523.1442229251786,0.0,0.0,87.99237491682689,0.0,0.0,0.0,50.0,0.0023280629361992,0.0001357941723813,2.3983120375736147e-05,0.7747071653972903,15.164566575622503,0.0,0.0
4282170672_4282170674_0,65.0,65.0,55.0,5,496.0501138920744,3235.745210172765,3198.274210433701,47.51184381929238,0.0,970.2178208833786,0.0,0.0,0.0,50.0,4.913476425906032e-07,1.6744001376453524e-05,2.112212082429613e-05,0.7537548198116367,0.0,90.40433756664328,0.0
983090742_7673218709_0,65.0,65.0,55.0,5,167.39815962839023,498.5409542128212,195.73237702125903,78.4070898829991,0.0,145.45777391671731,0.0,0.0,0.0996095832481106,28.543644752282862,0.0086901189208699,0.0001738341716137,2.0928907075290564e-05,0.8083661770688657,5.1399032465790775,0.0,0.0
5435518600_5424484577_0,60.0,55.0,45.0,5,216.338374474344,421.26238050070816,826.4955411847507,230.7552893516927,0.0,178.32427778014195,0.0,0.0,0.0,50.0,3.838292172707771e-05,0.0001580976164393,4.00171910512522e-05,0.8016196352915114,27.24247386960176,0.0,0.0
481375129_481392106_0,55.0,50.0,40.0,5,1566.9063757654062,279.82438130823493,2512.2584884370576,0.0,0.0,1689.9722970216,0.0,0.0,0.0,50.0,0.0018105871601438,0.000101564522162,1.3618604217950196e-05,0.757831035264934,0.0,0.0,77.8886805440615
428788866_641358953_0,50.0,50.0,40.0,6,465.3553099072069,184.1783337252044,21.068471432906914,789.113192340594,0.0,0.0,0.0,0.0,0.0,50.0,0.0001296579720389,0.0001224118688946,2.137290365886276e-05,0.8138026624075674,4.552620740767473,0.0,0.0
933525818_933525823_0,55.0,50.0,40.0,6,33.32295470042856,1792.4891432617726,396.99343345452894,704.2922700503027,0.0,0.0,0.0,0.0,0.0,33.21660720715689,0.0001815385025359,0.0001015971343902,3.031648046197477e-05,0.6252850323968961,0.0,0.0,0.0
768758574_768758538_0,65.0,65.0,55.0,5,2055.1143366287124,446.2062951825116,2745.005525316324,2553.4601062629886,0.0,2651.0354596727893,0.0,0.0,0.0,50.0,0.0001824344894136,2.1647526056434936e-05,5.411031557971212e-06,0.8239293955955687,0.0,99.99999999999996,0.0
436620862_436621395_0,65.0,65.0,55.0,4,366.7928660957229,508.6013682955096,629.7197111966136,0.0,0.0,108.27492180523234,0.0,0.0206928516432892,0.0,38.58720548688083,0.0137712894069118,0.0001407884233308,2.539520941700705e-05,0.8102188041159106,0.9075059569242294,0.0,0.0
425982218_425971748_0,60.0,60.0,50.0,5,337.19652380575565,485.58697055532974,569.9824316923316,0.0,0.0,83.39475895706383,0.0,0.0,0.0,11.278110773878662,0.0001269411086034,0.0001483170543413,2.2126816047335332e-05,0.7939538712874135,2.5758618159138966,0.0,0.0
1563528234_1563528217_0,65.0,60.0,55.0,5,20.66511398809989,228.76651521128497,167.0729941919529,313.3679170465847,0.0,437.3067178698916,0.0,0.0,0.0,33.89062676726336,0.0003021788001932,0.0001425976778449,7.884987843732254e-06,0.7906544099025741,0.5141852000821215,0.0,0.0
2308903389_2308903419_0,50.0,50.0,40.0,5,2062.907503173677,2903.287127146354,3525.06036426214,351.66445347653183,0.0,7028.791430863565,0.0,0.0,0.0,50.0,4.682254005863396e-06,6.994664332022993e-06,2.062538259759719e-06,0.551001633832281,0.0,0.0,0.0
641359056_641359066_0,60.0,55.0,50.0,5,823.4039147914382,706.8953300128663,404.5027734513612,45.50426672333576,0.0,0.0,0.0,0.0,0.0,50.0,0.000168214310581,0.0001339933546748,2.014943841285648e-05,0.7763397208014007,2.1875217494926327,0.0,0.0
611752089_611752069_0,55.0,55.0,45.0,5,360.8157402368506,487.09627017119226,790.4366972702882,110.7527308422282,0.0,263.15330046176854,0.0,0.0,0.0,50.0,0.0015930646684887,0.000155150733096,4.318128812705503e-05,0.7994383257027473,17.87415652639194,0.0,0.0
