road_id,lden_db
206378333_6315715548_0,69.0
208568922_208568921_0,71.0
208568926_208568922_1,71.0
208595138_208595144_0,71.0
208595144_2332249073_0,71.0
211305820_211305823_0,65.0
211305823_1564374009_0,69.0
211305823_211305824_0,69.0
211305824_211305825_0,65.0
211305825_1131453368_0,69.0
211310173_211311619_0,69.0
211310173_1564374009_0,69.0
211310729_1885951241_0,69.0
211311619_211311623_0,69.0
211311623_211313493_0,69.0
211311623_1885951247_0,69.0
211313493_1885951247_0,69.0
211313493_1094296689_0,69.0
211317741_243495396_0,68.0
211317741_1187334109_0,69.0
211317741_1094296689_0,69.0
211318993_211318996_0,69.0
211318993_243494580_0,69.0
211318996_211319000_0,69.0
211318996_1843795432_0,63.0
211319000_1130841547_0,69.0
211319000_211320730_0,69.0
211320730_409137876_0,63.0
211320730_211320731_0,69.0
211320730_211319000_0,69.0
211320731_1129273462_0,69.0
211320731_211320730_0,69.0
211320732_1129273462_0,69.0
211320732_211321251_0,69.0
211321251_1763262440_0,69.0
211321253_211321896_0,69.0
211321253_728705258_0,69.0
211321256_211320732_0,69.0
211321256_211321251_0,69.0
211321896_10185494295_0,69.0
211321896_211321900_0,69.0
211321900_2187119246_0,69.0
211321900_1109639608_0,69.0
214922958_214922960_0,71.0
214922960_214922962_0,68.0
214922960_214922958_0,71.0
214922962_214922960_0,68.0
214922962_214923388_0,71.0
214923388_214924707_0,71.0
214923391_214925654_0,71.0
214923391_214924711_0,71.0
214923395_214922962_0,71.0
214923395_214923388_0,71.0
214924707_5772382726_0,71.0
214924707_214924708_0,71.0
214924708_214923391_0,71.0
214924711_214924714_0,71.0
214924714_214925862_0,71.0
214924714_214924716_0,71.0
214924716_214923395_0,71.0
214925654_4549490595_0,75.0
214925654_214924711_0,71.0
214925862_4353325945_0,71.0
214925862_214924716_0,71.0
242925411_242925494_0,71.0
242925494_11387988431_0,71.0
242925494_242925495_0,71.0
242925495_2221700186_0,71.0
242925500_242925411_0,71.0
242926973_5772382696_0,71.0
243494580_4223738581_0,69.0
243494580_211318993_0,69.0
243494580_1187722456_0,69.0
243494597_1672512429_0,68.0
243495392_243495422_0,68.0
243495392_1994627752_0,68.0
243495396_243495392_0,68.0
243495396_211317741_0,68.0
243495422_243495396_0,68.0
243495422_245491719_0,68.0
245491677_245491689_0,71.0
245491682_243494597_0,69.0
245491682_245491677_0,68.0
245491688_245491689_0,71.0
245491688_4568983477_0,68.0
245491689_245491716_0,68.0
245491689_245491688_0,71.0
245491689_245491677_0,71.0
245491716_4568983477_0,68.0
245491716_245491689_0,68.0
245491716_12180995971_0,68.0
245491716_245491719_0,68.0
245491717_245491717_0,68.0
245491717_4568983480_0,68.0
245491719_1672512207_0,68.0
245491719_245491716_0,68.0
245491719_243495422_0,68.0
245491719_1187334109_0,68.0
245491904_1693128085_0,54.0
245491904_245491906_0,63.0
245491904_1843795431_0,63.0
245491904_409137871_0,59.0
245491906_1843795432_0,63.0
245491906_245491904_0,63.0
245491906_1843795433_0,59.0
245491934_1672512178_0,59.0
245491934_11382810690_0,59.0
245935461_1562259338_0,61.0
245935861_1562259365_0,61.0
245936231_245936541_0,46.0
245936231_245936405_0,61.0
245936350_1180802572_0,61.0
245936350_245936514_0,61.0
245936353_245936513_0,46.0
245936353_245936350_0,61.0
245936370_245936371_0,61.0
245936370_245936514_0,61.0
245936370_245936393_0,46.0
245936371_245936370_0,61.0
245936371_246181265_0,61.0
245936393_245936514_0,46.0
245936393_245936395_0,46.0
245936395_245936457_0,46.0
245936395_245936513_0,46.0
245936399_245936456_0,46.0
245936399_245936401_0,46.0
245936401_245936453_0,46.0
245936401_245936405_0,46.0
245936405_245936453_0,61.0
245936453_245936456_0,61.0
245936456_10102980234_0,61.0
245936457_245936399_0,46.0
245936513_245936353_0,46.0
245936513_245936457_0,46.0
245936514_245936370_0,61.0
245936514_245936350_0,61.0
245936532_10102978858_0,46.0
245936541_245936558_0,52.0
245936541_245936532_0,46.0
245936558_245935461_0,61.0
