road_id,noise_day,noise_evening,noise_night,road_length,road_category,dist_to_main,signals_50,transport_100,pois_noisy_100,pois_sensitive_100
13845167536_847716886_0,55,55,50,401.4836294947668,5,258.68112567382616,1,10,3,1
21638869_30343583_0,55,50,50,90.28954369756111,5,429.1904596137956,1,3,30,1
21638869_242318729_0,55,55,50,15.055893713334878,4,512.3337888569722,1,3,21,1
21638869_30343672_0,60,60,55,15.404960256267946,4,516.4230772961573,1,3,22,1
3055187877_431100338_0,60,60,55,46.14216010914838,5,214.0418518374012,1,2,1,2
3109574424_3109574426_0,55,50,45,75.75731645583858,6,38.70225154458078,1,3,16,1
21638867_30343414_0,65,60,55,91.03774505311254,5,382.08563702052817,1,5,23,2
21638878_242317164_0,40,40,0,14.63680137575669,5,420.7076441490855,1,3,22,1
21638877_30343573_0,50,50,45,59.18819196844728,5,341.17907339581234,1,2,29,2
21638877_1636238506_0,50,50,45,14.928692153163578,5,396.8195591219455,1,2,22,2
21638891_190971702_0,65,65,60,19.17237226058289,4,143.3254923301949,5,4,16,1
3109574422_2560087403_0,60,55,50,74.61069767383364,5,57.77887587115571,2,5,3,1
26057050_168319807_0,70,65,60,57.52720389383005,2,0.0,7,17,9,1
26057050_178518958_0,70,65,60,116.04263954334672,2,0.0,9,14,12,1
21639537_4471971376_0,55,50,50,51.82254353154021,3,0.0,3,2,1,1
13508611893_1947682000_0,60,55,50,233.20019319459,5,98.64277687329113,1,2,9,1
13859746847_13859746858_0,55,55,50,13.12781594826775,5,223.80514795084767,1,2,2,1
13845167536_253790691_0,60,55,50,20.05960443784206,5,418.2297616402984,1,5,1,1
21638891_533663031_0,70,70,65,163.49809195418092,4,0.0,19,8,29,1
13798851565_8465472214_0,50,50,45,280.1067366069329,5,173.07801363329403,1,7,1,1
21638921_2984928319_0,65,65,60,164.9514344076624,3,0.0,21,7,1,1
21638920_21638918_0,70,65,60,60.69940204567045,3,0.0,12,6,1,1
26057342_26057341_0,70,65,60,153.0494553241129,3,0.0,8,15,26,1
26057342_26057345_0,70,65,60,109.04971731672408,5,0.0,4,9,13,1
26057341_30242757_0,65,65,60,47.2587168538915,3,0.0,7,13,19,1
26057341_26057131_0,65,65,60,125.29099065606977,3,0.0,14,15,34,1
26057304_3218700096_0,70,65,60,150.71579083132033,3,0.0,8,13,39,2
26057131_1362899977_0,70,65,60,196.01135214054617,3,0.0,14,23,23,1
26057125_11466476297_0,65,65,60,144.05561621625267,5,0.0,13,18,29,1
26057125_26057304_0,65,65,60,209.55789025618992,3,0.0,7,20,49,1
26198844_2510589068_0,65,60,55,135.21822486289173,2,0.0,9,7,12,1
26198833_30246781_0,70,70,65,148.32264857602,5,133.2953935678512,9,7,13,1
26198831_30685338_0,65,65,60,267.30543327536856,2,0.0,15,11,21,3
26057389_3314271774_0,70,70,65,134.58462876366326,2,0.0,11,9,25,1
26057388_30238009_0,70,70,65,150.4892568046777,4,0.0,8,5,18,1
3109205926_3109205928_0,60,60,55,54.14665125722738,5,58.97922082572374,1,4,24,1
26057346_26057345_0,70,65,60,41.4868314783793,3,0.0,4,2,9,1
26057345_533662625_0,60,60,55,137.07413704820925,3,0.0,4,3,18,1
30227050_30227052_0,60,55,55,85.23481777869222,6,281.7685433850121,1,4,22,7
30227048_192071165_0,55,50,55,54.67851376485798,6,377.4709250964772,1,4,32,2
30227048_30227049_0,50,50,55,73.07655740847656,6,361.1754334534439,1,4,25,3
30227035_30227468_0,60,55,50,101.56211700075934,4,512.0603145482968,1,2,12,2
30227035_30227037_0,65,60,60,194.5442348765361,5,467.359216579682,1,2,27,3
30227034_30227032_0,55,50,50,120.4764334067713,6,256.61001111350083,1,3,19,5
30227027_30227025_0,50,50,55,123.7801228217746,5,307.7483918071913,1,2,24,2
30227025_30227032_0,50,50,55,62.205898928582144,4,323.231466335658,1,2,19,4
26198844_30243042_0,70,65,60,148.9566183781438,3,0.0,7,4,13,1
30227132_30227153_0,60,55,50,83.16983428486132,6,221.8294824534132,1,2,24,2
30227132_30227133_0,55,55,60,85.2919294867385,6,304.6737158780716,1,2,26,2
30227131_30227139_0,50,50,45,28.69072951282184,6,276.595164101492,1,2,8,1
30227131_30227132_0,50,50,45,68.91258197353841,6,276.595164101492,1,2,16,1
30227068_3743057429_0,55,55,50,75.77693477209027,4,234.0064169193075,1,5,18,8
30227068_30227050_0,60,60,55,68.50686735443196,5,270.63768152181774,1,2,21,7
30227050_30227049_0,60,55,55,61.407575873467984,6,327.68152159600805,1,3,25,6
30227139_30227131_0,50,50,45,28.69072951282184,6,276.595164101492,1,2,8,1
3096906055_30227450_0,55,55,50,141.42525597058088,6,62.503451315665686,1,5,24,1
30227135_30227136_0,55,55,50,52.8936540335443,5,213.1288432469467,1,3,14,1
30227134_30227135_0,60,60,55,38.68079355405858,6,196.135824593078,1,2,14,1
30227133_2264151290_0,55,55,60,54.40623286276884,6,313.8501427194006,1,2,29,3
13391145408_190986445_0,70,65,60,76.88711233897799,3,0.0,5,5,15,1
13324378812_402875797_0,55,50,45,1488.7953102312106,2,0.0,7,21,7,3
13752754617_11365497701_0,65,60,55,92.80150647420749,6,323.9542915177824,7,4,5,1
13734642240_4538123416_0,60,60,55,167.0311146619658,3,0.0,20,5,42,3
30227132_30227154_0,60,55,50,65.96456271857193,6,304.8362685058059,1,2,19,2
