road_id,signals_50,transport_100,pois_noisy_100,pois_sensitive_100
21638845_885308258_0,3,4,2,1
21638845_13175411896_0,14,8,18,4
21638865_30343650_0,1,2,20,1
21638867_1636238503_0,1,5,10,1
21638867_1403082237_0,1,5,11,1
21638867_30343414_0,1,5,23,2
21638868_30343649_0,1,3,15,1
21638868_30343654_0,1,3,16,1
21638869_30343672_0,1,3,22,1
21638869_242318729_0,1,3,21,1
21638869_30343583_0,1,3,30,1
21638874_3643971045_0,4,4,17,1
21638874_2952200687_0,6,4,22,1
21638877_1636238506_0,1,2,22,2
21638877_30343573_0,1,2,29,2
21638878_30343394_0,1,3,30,1
21638878_242317164_0,1,3,22,1
21638882_1636238518_0,1,4,27,1
21638882_30343282_0,1,3,19,1
21638889_242284800_0,3,6,11,1
21638889_190987748_0,5,8,15,1
21638891_533663031_0,19,8,29,1
21638891_190971702_0,5,4,16,1
21638917_190981834_0,10,6,2,1
21638917_190985498_0,36,14,38,1
21638918_8371290346_0,7,6,1,1
21638920_21638918_0,12,6,1,1
21638921_2984928319_0,21,7,1,1
21638921_21638920_0,11,6,1,1
21638922_21638921_0,10,6,1,1
21639537_4471971381_0,3,2,1,1
21639537_4471971376_0,3,2,1,1
21639537_4471971372_0,3,2,1,1
26057050_178518958_0,9,14,12,1
26057050_168319807_0,7,17,9,1
26057076_190958411_0,6,4,1,1
26057076_9425413590_0,7,4,1,1
26057079_2984928288_0,12,4,1,1
26057079_1401592250_0,7,4,1,1
26057116_1126640615_0,5,18,11,1
26057116_216350784_0,8,22,12,1
26057125_26057304_0,7,20,49,1
26057125_11466476297_0,13,18,29,1
26057131_30254228_0,15,10,20,1
26057131_1362899977_0,14,23,23,1
26057304_3218700096_0,8,13,39,2
26057304_8201874133_0,4,10,40,1
26057312_269369082_0,12,13,6,1
26057312_3229689808_0,13,13,6,1
26057341_26057131_0,14,15,34,1
26057341_30242757_0,7,13,19,1
26057342_26057345_0,4,9,13,1
26057342_26057341_0,8,15,26,1
26057345_533662625_0,4,3,18,1
26057346_26057345_0,4,2,9,1
26057347_26057346_0,12,14,29,2
26057347_26057346_1,7,12,20,2
26057388_26057389_0,10,5,20,1
26057388_30238009_0,8,5,18,1
26057389_559026424_0,5,4,17,1
26057389_3314271774_0,11,9,25,1
26198831_30685338_0,15,11,21,3
26198831_30246772_0,4,4,5,1
26198833_26198831_0,9,8,12,2
26198833_30246781_0,9,7,13,1
26198844_2510589068_0,9,7,12,1
26198844_30243042_0,7,4,13,1
30227025_30227032_0,1,2,19,4
30227027_30227025_0,1,2,24,2
30227032_30227052_0,1,4,20,5
30227034_30227032_0,1,3,19,5
30227035_30227037_0,1,2,27,3
30227035_30227468_0,1,2,12,2
30227048_30227049_0,1,4,25,3
30227048_192071165_0,1,4,32,2
30227050_13134439125_0,1,2,63,7
30227050_30227052_0,1,4,22,7
30227050_30227049_0,1,3,25,6
30227052_10266016765_0,1,4,15,7
30227068_30227050_0,1,2,21,7
30227068_3743057429_0,1,5,18,8
30227068_5306386384_0,1,3,28,4
30227131_30227132_0,1,2,16,1
30227131_30227139_0,1,2,8,1
30227131_30227159_0,1,2,7,1
30227132_30227133_0,1,2,26,2
30227132_30227153_0,1,2,24,2
30227132_30227154_0,1,2,19,2
30227133_2264151290_0,1,2,29,3
30227134_30227135_0,1,2,14,1
30227135_30227136_0,1,3,14,1
30227136_8246056358_0,2,3,14,1
30227136_30227137_0,1,4,14,1
30227137_30227231_0,1,4,12,1
30227139_30227160_0,1,2,12,1
30227139_30227131_0,1,2,8,1
30227139_30227136_0,1,3,12,1
30227153_30227132_0,1,2,24,2
30227153_30227158_0,1,2,15,2
30227154_30227132_0,1,2,19,2
30227154_2264151290_0,1,2,25,3
30227156_30227157_0,2,2,14,1
30227156_30227151_0,2,3,25,1
30227157_30227158_0,1,2,9,1
30227157_30227156_0,2,2,14,1
30227157_30227134_0,1,2,18,1
30227158_30227157_0,1,2,9,1
30227158_30227159_0,1,2,7,1
30227158_30227134_0,1,2,14,1
30227159_30227131_0,1,2,7,1
30227159_30227158_0,1,2,7,1
30227159_30227135_0,1,2,14,1
30227160_30227139_0,1,2,12,1
30227160_30227233_0,1,2,13,1
30227192_112409079_0,1,6,31,1
30227192_112409083_0,1,5,30,1
30227193_30227195_0,1,2,39,1
30227193_30227192_0,1,3,29,1
30227193_1374636541_0,3,3,35,1
30227195_30227196_0,1,2,36,3
30227195_30227157_0,1,2,39,1
30227196_30227133_0,1,2,34,3
30227196_30227153_0,1,2,25,3
30227198_30884331_0,1,2,24,4
30227228_2327729219_0,6,8,18,1
30227228_12351352586_0,3,4,11,1
30227229_30227450_0,2,8,25,1
30227229_30227137_0,1,4,15,1
30227231_30227232_0,1,3,14,1
30227232_30227160_0,1,2,11,1
30227233_1400544022_0,1,2,18,1
30227233_30227154_0,1,2,17,2
30227390_112398908_0,1,4,38,3
30227391_30227402_0,1,2,32,1
30227391_3587720087_0,1,3,31,2
30227391_30227390_0,1,3,27,1
30227450_2327729212_0,8,5,16,1
30227468_30884331_0,1,2,20,3
30227468_5306386378_0,1,3,16,1
30227487_431107481_0,1,4,65,1
30227487_30647222_0,1,2,39,1
30227489_2529520245_0,1,2,37,1
30227495_240936353_0,3,4,18,1
30227495_630622788_0,3,4,38,2
30236715_30236773_0,1,2,18,1
30236715_4834501650_0,13,4,41,4
30236716_30236715_0,1,2,16,2
30236718_30236716_0,1,2,17,1
30236718_30236761_0,1,2,16,1
30236720_30236716_0,1,2,17,1
30236720_30236761_0,1,2,7,1
30236748_1514106958_0,1,2,15,1
30236748_30236718_0,1,2,19,1
30236749_30236748_0,1,2,15,2
30236749_30236779_0,1,2,14,2
30236750_30236749_0,1,2,13,1
30236750_10967809658_0,1,2,6,1
30236751_30236750_0,1,2,8,1
30236751_30248264_0,1,2,15,1
30236752_30236751_0,1,3,8,1
30236752_30236753_0,1,2,8,1
30236752_30248272_0,4,2,8,1
30236753_4834501701_0,1,3,8,1
30236760_30236720_0,1,2,9,1
30236760_30236715_0,1,2,15,1
30236761_1514106960_0,1,4,8,1
30236761_30298891_0,1,2,8,1
30236773_30236748_0,1,2,21,2
30236773_30236779_0,1,2,20,1
30236779_2264456451_0,10,4,49,3
30236779_30248252_0,1,2,16,1
30236780_1514106958_0,1,2,6,2
30236780_30236749_0,1,2,9,1
30237081_2013654038_0,1,2,1,1
30237081_7021902544_0,3,2,1,1
30237104_251543584_0,9,2,5,1
30237104_3618456746_0,3,2,2,1
30237479_541061803_0,1,4,8,2
30237479_998567760_0,1,2,5,2
30237481_30237482_0,1,4,13,1
30237481_998567840_0,1,4,8,1
30237482_30237483_0,2,4,11,1
30237482_30294184_0,3,2,11,1
30237483_30237484_0,2,4,10,1
30237483_30251200_0,5,6,10,1
30237484_557230481_0,3,2,4,1
30237520_511123419_0,1,4,5,1
30237521_30237520_0,1,3,4,1
30237521_30294181_0,1,2,3,1
