road_id,noise_day,noise_evening,noise_night,road_length,road_category,dist_to_main
13845167536_847716886_0,55,55,50,401.48362949476683,5,258.68112567382616
21638869_30343583_0,55,50,50,90.28954369756111,5,429.1904596137956
21638869_242318729_0,55,55,50,15.055893713334878,4,512.3337888569722
21638869_30343672_0,60,60,55,15.404960256267946,4,516.4230772961573
3055187877_431100338_0,60,60,55,46.14216010914838,5,214.0418518374012
3109574424_3109574426_0,55,50,45,75.75731645583858,6,38.70225154458078
21638867_30343414_0,65,60,55,91.03774505311254,5,382.08563702052817
21638878_242317164_0,40,40,40,14.63680137575669,5,420.70764414908547
21638877_30343573_0,50,50,45,59.18819196844728,5,341.17907339581234
21638877_1636238506_0,50,50,45,14.928692153163578,5,396.8195591219455
21638891_190971702_0,65,65,60,19.172372260582886,4,143.3254923301949
3109574422_2560087403_0,60,55,50,74.61069767383364,5,57.77887587115571
26057050_168319807_0,70,65,60,57.52720389383005,2,0.0
26057050_178518958_0,70,65,60,116.04263954334672,2,0.0
21639537_4471971376_0,55,50,50,51.82254353154021,3,0.0
13508611893_1947682000_0,60,55,50,233.20019319459,5,98.64277687329111
13859746847_13859746858_0,55,55,50,13.12781594826775,5,223.80514795084767
13845167536_253790691_0,60,55,50,20.05960443784206,5,418.22976164029836
21638891_533663031_0,70,70,65,163.49809195418092,4,0.0
13798851565_8465472214_0,50,50,45,280.1067366069329,5,173.07801363329403
21638921_2984928319_0,65,65,60,164.9514344076624,3,0.0
21638920_21638918_0,70,65,60,60.69940204567045,3,0.0
26057342_26057341_0,70,65,60,153.0494553241129,3,0.0
26057342_26057345_0,70,65,60,109.04971731672407,5,0.0
26057341_30242757_0,65,65,60,47.2587168538915,3,0.0
26057341_26057131_0,65,65,60,125.29099065606975,3,0.0
26057304_3218700096_0,70,65,60,150.71579083132033,3,0.0
26057131_1362899977_0,70,65,60,196.01135214054617,3,0.0
26057125_11466476297_0,65,65,60,144.05561621625267,5,0.0
26057125_26057304_0,65,65,60,209.55789025618992,3,0.0
26198844_2510589068_0,65,60,55,135.21822486289173,2,0.0
26198833_30246781_0,70,70,65,148.32264857602,5,133.2953935678512
26198831_30685338_0,65,65,60,267.30543327536856,2,0.0
26057389_3314271774_0,70,70,65,134.58462876366326,2,0.0
26057388_30238009_0,70,70,65,150.4892568046777,4,0.0
3109205926_3109205928_0,60,60,55,54.14665125722738,5,58.97922082572374
26057346_26057345_0,70,65,60,41.4868314783793,3,0.0
26057345_533662625_0,60,60,55,137.07413704820925,3,0.0
30227050_30227052_0,60,55,55,85.23481777869222,6,281.76854338501215
30227048_192071165_0,55,50,55,54.67851376485798,6,377.4709250964772
30227048_30227049_0,50,50,55,73.07655740847656,6,361.1754334534439
30227035_30227468_0,60,55,50,101.56211700075934,4,512.0603145482968
30227035_30227037_0,65,60,60,194.5442348765361,5,467.359216579682
30227034_30227032_0,55,50,50,120.4764334067713,6,256.61001111350083
30227027_30227025_0,50,50,55,123.78012282177461,5,307.74839180719135
30227025_30227032_0,50,50,55,62.205898928582144,4,323.231466335658
26198844_30243042_0,70,65,60,148.9566183781438,3,0.0
30227132_30227153_0,60,55,50,83.16983428486132,6,221.82948245341322
30227132_30227133_0,55,55,60,85.2919294867385,6,304.6737158780716
30227131_30227139_0,50,50,45,28.69072951282184,6,276.595164101492
30227131_30227132_0,50,50,45,68.91258197353841,6,276.595164101492
30227068_3743057429_0,55,55,50,75.77693477209027,4,234.0064169193075
30227068_30227050_0,60,60,55,68.50686735443196,5,270.63768152181774
30227050_30227049_0,60,55,55,61.407575873467984,6,327.68152159600805
30227139_30227131_0,50,50,45,28.69072951282184,6,276.595164101492
3096906055_30227450_0,55,55,50,141.42525597058088,6,62.503451315665686
30227135_30227136_0,55,55,50,52.8936540335443,5,213.1288432469467
30227134_30227135_0,60,60,55,38.68079355405858,6,196.135824593078
30227133_2264151290_0,55,55,60,54.40623286276884,6,313.8501427194006
13391145408_190986445_0,70,65,60,76.88711233897799,3,0.0
13324378812_402875797_0,55,50,45,1488.7953102312106,2,0.0
13752754617_11365497701_0,65,60,55,92.80150647420747,6,323.9542915177824
13734642240_4538123416_0,60,60,55,167.0311146619658,3,0.0
30227132_30227154_0,60,55,50,65.96456271857193,6,304.8362685058059
3085906940_1575396667_0,55,55,50,149.73883325707672,6,305.61893319450866
30227157_30227134_0,55,50,45,72.20574485279323,6,158.6881566185793
30227157_30227156_0,55,50,45,44.63901095235003,6,115.54789522829357
30227156_30227151_0,55,50,45,40.601302627282585,6,108.53378867163838
30227156_30227157_0,55,50,45,44.63901095235003,6,115.54789522829357
30227154_30227132_0,60,60,55,65.96456271857193,6,304.8362685058059
30227153_30227158_0,55,55,45,49.804869659122396,6,203.56398870771042
30227153_30227132_0,60,55,50,83.16983428486132,6,221.82948245341322
