road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
21638868_30343649_0,2,2,1,4,1462.9321147036892,2131.0928651378035,492.90487846397116,0.0,0.0,0.0
21638865_30343650_0,1,1,0,6,1420.2278963115266,2300.048236592293,675.7212856605581,192.97497402294613,0.0,0.0
13859746868_13859746870_0,3,2,2,5,232.68790164610004,502.1247095607067,1111.3417162128212,188.9710390128823,0.0,385.612797986199
21638917_190981834_0,4,4,3,3,588.4649950159936,1609.3860748998716,0.0,58.492256883810626,162.7148268087049,48.55822532777917
21638891_190971702_0,3,3,3,4,1432.0292991737085,1409.1214507064003,149.24208144914562,0.0,151.35112373999596,184.45449151522135
21638891_533663031_0,4,4,3,4,1270.5514685768014,1409.1214507064003,0.0,0.0,157.12048354055025,157.12048354055025
21638889_190987748_0,3,3,2,4,1428.1346013013099,1499.8486475359464,0.0,0.0,140.85297131724533,199.25875762734788
21638882_1636238518_0,2,2,2,5,1456.3955582172662,1841.8030926986244,203.29482517675387,58.34764479370283,0.0,0.0
21638878_242317164_0,1,1,0,5,1533.5474493588497,2058.1622037867605,420.70764414908547,90.7703026712391,0.0,30.03385460359317
21638877_30343573_0,2,2,1,5,1462.9123554787034,1978.4439155514901,341.17907339581234,91.14793001719336,0.0,45.18567643238529
21638869_30343583_0,2,2,2,5,1535.074736583015,2068.310616287399,429.1904596137956,0.0,0.0,59.84199846010972
21638869_242318729_0,2,2,2,4,1520.6244572919102,2149.23188354908,512.3337888569722,0.0,0.0,45.007268728226855
13752754617_8119424254_0,3,3,2,4,933.7317623316757,321.15556160003325,885.1658839258208,0.0,6.302911905907924,0.0
13752754617_11365497701_0,3,3,2,6,875.7235110213104,323.9542915177824,895.6459723195435,0.0,9.518774471051875,0.0
13750214001_269382534_0,3,3,2,5,1963.7271367950293,262.4496353677352,188.9037626446509,147.08386744348275,0.0,132.37413989624102
13859746870_13859746860_0,2,2,2,5,232.68790164610004,509.6284519459683,1110.052348799323,188.35517944154037,0.0,385.612797986199
13859746854_13859746849_0,2,2,2,5,254.43074627943588,494.8855556063815,1127.6613897443717,207.4601735849721,0.0,395.7525222052779
13859746849_627782660_0,2,2,2,5,271.7476245216286,464.0744396421003,1149.3542058265189,192.0343372082439,0.0,362.78724604081276
13859746847_13859746858_0,2,2,2,5,249.60242801060477,497.4756209663641,1128.7753678508075,207.82228764319882,0.0,402.27051457927445
13845167536_253790691_0,2,2,2,5,1894.9878863439253,614.3538970639484,967.7464600259476,0.0,0.0,49.1095618866568
13845167536_847716886_0,2,2,2,5,1900.317287678682,426.4392102997412,661.5873751936828,10.597441035565724,0.0,41.36565453239333
26057341_26057131_0,3,3,3,3,1965.960100476287,289.53148554786196,0.0,209.12589411013158,0.0,196.00756576215045
26057304_3218700096_0,4,3,3,3,1852.1262673455742,63.405507689395805,0.0,80.13375797969934,41.56433245046527,150.991824027369
26057131_1362899977_0,4,4,3,3,1909.0063360971426,211.37272900640932,0.0,13.123944657183591,0.0,0.0
26057131_30254228_0,4,4,3,3,1924.941449616825,289.53148554786196,0.0,209.12589411013158,0.0,188.43734581213567
26057125_11466476297_0,3,3,3,5,1877.7687011930557,22.044122757489045,0.0,136.10075451011653,0.0,142.94541725534984
26057125_26057304_0,3,3,3,3,1854.0214068024434,108.74011600684493,0.0,138.8874941979191,0.0,137.14149621719915
13737340254_13737340255_0,3,3,2,6,899.479563163916,1012.1926344915079,564.4500881767658,72.39536337603792,62.378022306743965,0.0
13508611893_1947682000_0,3,2,2,5,2034.539964709094,98.64277687329111,500.78599810562935,166.5815978775464,0.0,237.2499491655454
13508611893_7038308651_0,3,3,3,5,2071.925400336385,98.41804150746108,724.5722761279256,174.83544974959807,0.0,238.35158930094943
13479788908_364991353_0,4,4,3,3,2306.8195103838984,0.0,0.0,88.93954216951578,30.93966592615467,116.45976423258627
26198831_30685338_0,3,3,3,2,1837.814691935113,0.0,0.0,133.95428546241342,0.0,18.24538543715471
26057389_3314271774_0,4,4,3,2,1855.2335329552693,0.0,0.0,78.52254772226455,19.06860410273756,67.69413331517453
2920082947_600466281_0,1,1,1,5,212.56626974343126,982.5004926801033,138.2767302193831,0.0,0.0,57.04518466340196
26057388_30238009_0,4,4,3,4,1839.008511373634,0.0,132.4430092348142,0.0,0.0,67.77461407058881
26057346_26057345_0,4,3,3,3,1969.8661261619548,483.2063265669617,0.0,266.96393735032643,0.0,86.36124147632384
26057345_533662625_0,3,3,2,3,2000.6048284485457,484.97172620317343,0.0,130.84192398322162,0.0,86.73623095215932
26057342_26057341_0,4,3,3,3,2012.8031997542348,320.78336368233494,0.0,271.65052748216084,0.0,195.68225989686633
26057342_26057345_0,3,3,3,5,2000.6048284485457,376.89342444650123,0.0,265.20188205114664,0.0,86.73623095215932
26057341_30242757_0,3,3,3,3,2012.8031997542348,275.3952196542369,0.0,334.35568721430366,0.0,217.75886540100834
