road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
13859746870_13859746860_0,55,55,50,5,213.09323283401642,509.6284519459683,1110.052348799323,188.35517944154037,0.0,385.612797986199
13798851565_8465472214_0,50,50,45,5,173.07801363329403,1621.681034105206,2110.5304342112686,351.77737780191296,0.0,117.66932396836387
4538123419_13734642240_0,65,65,60,3,904.1185210777049,947.1548171594927,0.0,167.02662878118747,0.0,19.81022209787965
13845167536_847716886_0,50,50,45,5,1877.6035263924873,414.64839514709956,661.5873751936828,10.597441035565724,0.0,41.36565453239333
13845167536_253790691_0,55,55,50,5,1872.1775061730216,607.1442408987978,967.7464600259476,0.0,0.0,49.1095618866568
13859746847_13859746858_0,55,55,50,5,230.46113593721063,497.4756209663641,1128.7753678508075,207.82228764319882,0.0,402.27051457927445
13859746849_627782660_0,55,55,50,5,252.50166439727892,464.0744396421003,1149.3542058265189,192.0343372082439,0.0,362.78724604081276
13859746849_13859746858_0,55,55,50,5,230.46113593721063,494.8855556063815,1130.439274877078,207.82228764319882,0.0,395.7525222052779
4538123419_4834501656_0,65,65,60,5,896.5320992711737,963.9387647688275,0.0,190.7666432159332,0.0,19.822265365290235
13859746854_13859746849_0,55,55,50,5,234.55628530049404,494.8855556063815,1127.6613897443717,207.4601735849721,0.0,395.7525222052779
21638865_30343650_0,45,45,35,6,769.3985503401659,2300.048236592293,675.7212856605581,192.97497402294613,0.0,0.0
21638867_1636238503_0,55,55,50,4,606.4627567391863,2086.739199910319,465.1567935951809,0.0,0.0,90.49415575247697
21638867_1403082237_0,65,60,55,4,601.0753963526765,2094.1885480986143,469.1678496883196,0.0,0.0,75.0471849485997
21638867_30343414_0,50,50,50,5,522.7680565003128,2014.3469788191958,382.08563702052817,0.0,0.0,90.49415575247697
4538123437_1009334217_0,60,60,60,3,596.3754203040982,1221.1831902232934,0.0,0.0,0.0,141.99495983852324
4538123446_4834501676_0,60,60,55,3,1479.7794886123281,413.3789302872353,0.0,0.0,0.0,145.1608827573738
21638869_242318729_0,55,55,50,4,569.9373591522866,2149.23188354908,512.3337888569722,0.0,0.0,45.007268728226855
21638874_3643971045_0,60,60,55,4,402.4322773849366,1805.7935114016184,170.60225656291198,0.0,42.67835717313068,0.0
4538123596_4538123437_0,65,60,55,3,450.27328917560305,1237.2167986230263,0.0,0.0,0.0,107.39728793726933
21638920_21638918_0,70,65,60,3,515.7971363372395,1649.8592135004237,0.0,33.99310265320962,202.06349483476532,92.71691634274389
21638921_2984928319_0,65,65,60,3,368.8891527998419,1625.307667449368,0.0,11.067991510003965,109.54441009801624,91.15324494776965
4538123610_2984948749_0,65,65,60,5,418.88508226454354,1445.2129349466948,0.0,194.21484791693896,0.0,106.85528663224872
4538123610_4538123596_0,65,65,60,3,425.2582522680683,1405.860394259272,0.0,188.20826934615275,0.0,103.92889424097469
21639537_4471971376_0,55,50,50,3,1646.86360047843,4616.803922619224,0.0,983.876646779857,55.602921836485194,1968.8467988073044
26057050_178518958_0,70,65,60,2,2158.2254969960936,0.0,81.60798974037625,10.012430699543245,0.0,130.2633700290866
26057050_168319807_0,70,70,65,2,2110.469871753441,0.0,40.129104281201215,0.0,102.1188615241896,130.2633700290866
