street_id,noise_day,noise_evening,noise_night,road_length,road_category,distance_to_road
0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),48.66109456426394,residential,0.0
1,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A),87.20269276016559,living_street,0.006296358477579369
2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),79.93456184616348,residential,0.0
3,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A),77.36771064543494,living_street,0.0
4,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),107.67964858873744,residential,0.0
5,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),91.75975789993737,residential,0.0
6,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),86.86928428808099,residential,0.0
7,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),57.15852858788088,residential,0.0
8,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),147.70034302562112,residential,0.0
9,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),61.57641865231825,residential,0.0
10,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),153.2506325827349,residential,0.0
11,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),72.52021889927474,living_street,0.0
12,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),94.09029667255506,residential,0.0
13,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),95.54827816215008,living_street,0.0
14,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),54.73233300059147,residential,0.0
15,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),110.48779886945276,living_street,0.0
16,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),27.861082253156816,residential,3.0202871924444503
17,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),168.10846750333565,residential,0.0
18,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A),21.12946011252169,residential,27.030267629091433
19,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),132.73473866162203,residential,0.0
20,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),133.3349627459439,living_street,0.0
21,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),731.3666751129622,tertiary,0.0
22,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),97.51347021838576,living_street,0.0
23,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),105.87193849799876,living_street,0.0
24,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),64.83445900017642,living_street,0.0
25,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),45.05832734558625,residential,0.0
