road_id,noise_actual,pred_lr,resid_lr,pred_xgb,resid_xgb,pred_rf,resid_rf,outlier_lr,outlier_xgb,outlier_rf,consensus
13859746870_13859746860_0,55,58.32,-3.32,54.87,0.13,56.55,-1.55,0,0,0,0
13798851565_8465472214_0,50,48.7,1.3,51.23,-1.23,50.2,-0.2,0,0,0,0
4538123419_13734642240_0,65,64.95,0.05,63.47,1.53,63.9,1.1,0,0,0,0
13845167536_847716886_0,50,57.67,-7.67,59.68,-9.68,58.65,-8.65,0,1,1,2
13845167536_253790691_0,55,57.53,-2.53,58.21,-3.21,57.3,-2.3,0,0,0,0
13859746847_13859746858_0,55,58.72,-3.72,55.11,-0.11,55.4,-0.4,0,0,0,0
13859746849_627782660_0,55,57.55,-2.55,55.58,-0.58,55.1,-0.1,0,0,0,0
13859746849_13859746858_0,55,57.91,-2.91,55.88,-0.88,55.25,-0.25,0,0,0,0
4538123419_4834501656_0,65,61.6,3.4,65.5,-0.5,64.25,0.75,0,0,0,0
13859746854_13859746849_0,55,57.86,-2.86,55.25,-0.25,55.25,-0.25,0,0,0,0
21638865_30343650_0,45,52.62,-7.62,46.99,-1.99,46.65,-1.65,0,0,0,0
21638867_1636238503_0,55,58.31,-3.31,56.32,-1.32,58.1,-3.1,0,0,0,0
21638867_1403082237_0,65,58.04,6.96,64.24,0.76,64.1,0.9,0,0,0,0
21638867_30343414_0,50,55.21,-5.21,49.33,0.67,50.75,-0.75,0,0,0,0
4538123437_1009334217_0,60,67.35,-7.35,65.74,-5.74,65.25,-5.25,0,0,0,0
4538123446_4834501676_0,60,65.03,-5.03,63.21,-3.21,61.4,-1.4,0,0,0,0
21638869_242318729_0,55,58.6,-3.6,56.57,-1.57,55.65,-0.65,0,0,0,0
21638874_3643971045_0,60,64.31,-4.31,62.78,-2.78,62.6,-2.6,0,0,0,0
4538123596_4538123437_0,65,63.36,1.64,63.93,1.07,64.1,0.9,0,0,0,0
21638920_21638918_0,70,67.52,2.48,66.78,3.22,67.95,2.05,0,0,0,0
21638921_2984928319_0,65,65.99,-0.99,66.16,-1.16,66.25,-1.25,0,0,0,0
4538123610_2984948749_0,65,60.68,4.32,62.69,2.31,64.55,0.45,0,0,0,0
4538123610_4538123596_0,65,62.56,2.44,62.13,2.87,63.7,1.3,0,0,0,0
21639537_4471971376_0,55,57.83,-2.83,55.91,-0.91,55.75,-0.75,0,0,0,0
26057050_178518958_0,70,68.53,1.47,69.08,0.92,68.8,1.2,0,0,0,0
26057050_168319807_0,70,70.39,-0.39,67.35,2.65,68.95,1.05,0,0,0,0
4541533775_30307948_0,65,59.31,5.69,62.31,2.69,63.2,1.8,0,0,0,0
4541533775_938093311_0,65,62.95,2.05,66.18,-1.18,64.0,1.0,0,0,0,0
26057125_26057304_0,70,66.31,3.69,66.7,3.3,69.0,1.0,0,0,0,0
26057125_11466476297_0,65,64.24,0.76,65.06,-0.06,65.4,-0.4,0,0,0,0
26057131_30254228_0,70,69.07,0.93,67.65,2.35,68.95,1.05,0,0,0,0
26057131_1362899977_0,70,67.68,2.32,65.98,4.02,66.55,3.45,0,0,0,0
26057304_3218700096_0,70,67.08,2.92,67.02,2.98,69.35,0.65,0,0,0,0
4549690551_2473393700_0,55,58.77,-3.77,59.47,-4.47,60.15,-5.15,0,0,0,0
4552362841_11887554793_0,55,58.41,-3.41,58.32,-3.32,57.68,-2.67,0,0,0,0
4554543618_2983305215_0,65,64.46,0.54,62.56,2.44,61.5,3.5,0,0,0,0
26057341_26057131_0,65,68.04,-3.04,65.22,-0.22,65.5,-0.5,0,0,0,0
26057341_30242757_0,65,68.92,-3.92,66.22,-1.22,66.0,-1.0,0,0,0,0
26057342_26057345_0,65,61.06,3.94,64.56,0.44,64.6,0.4,0,0,0,0
26057342_26057341_0,70,66.72,3.28,65.86,4.14,65.95,4.05,0,0,0,0
26057345_533662625_0,60,63.8,-3.8,62.35,-2.35,61.5,-1.5,0,0,0,0
26057346_26057345_0,70,64.22,5.78,67.09,2.91,64.45,5.55,0,0,0,0
4554543618_2706292292_0,65,59.9,5.1,63.23,1.77,64.15,0.85,0,0,0,0
26057388_30238009_0,70,63.7,6.3,66.89,3.11,65.9,4.1,0,0,0,0
26057389_3314271774_0,65,68.99,-3.99,66.55,-1.55,66.1,-1.1,0,0,0,0
26198831_30685338_0,65,67.51,-2.51,67.95,-2.95,65.7,-0.7,0,0,0,0
4554626934_3743057429_0,60,62.24,-2.24,60.31,-0.31,60.25,-0.25,0,0,0,0
26198833_26198831_0,65,67.94,-2.94,66.44,-1.44,65.65,-0.65,0,0,0,0
26198833_30246781_0,70,61.39,8.61,67.86,2.14,68.3,1.7,0,0,0,0
26198844_2510589068_0,65,68.03,-3.03,66.19,-1.19,65.4,-0.4,0,0,0,0
26198844_30243042_0,70,64.54,5.46,68.02,1.98,65.95,4.05,0,0,0,0
30227025_30227032_0,55,59.95,-4.95,56.54,-1.54,57.2,-2.2,0,0,0,0
30227027_30227025_0,50,57.55,-7.55,52.04,-2.04,52.45,-2.45,0,0,0,0
30227034_30227032_0,55,56.3,-1.3,55.47,-0.47,56.35,-1.35,0,0,0,0
30227035_30227037_0,60,57.7,2.3,59.4,0.6,58.85,1.15,0,0,0,0
30227035_30227468_0,60,59.89,0.11,60.79,-0.79,62.1,-2.1,0,0,0,0
30227048_30227049_0,60,56.22,3.78,58.66,1.34,58.25,1.75,0,0,0,0
30227048_192071165_0,55,57.29,-2.29,58.48,-3.48,55.35,-0.35,0,0,0,0
30227050_30227052_0,60,56.18,3.82,58.3,1.7,59.3,0.7,0,0,0,0
30227050_30227049_0,60,55.89,4.11,56.22,3.78,57.4,2.6,0,0,0,0
4554626934_30248345_0,65,63.53,1.47,64.11,0.89,63.5,1.5,0,0,0,0
30227068_30227050_0,65,57.62,7.38,59.72,5.28,59.1,5.9,0,0,0,0
30227068_3743057429_0,55,60.0,-5.0,58.81,-3.81,56.55,-1.55,0,0,0,0
30227068_5306386384_0,60,60.28,-0.28,59.94,0.06,59.35,0.65,0,0,0,0
30227131_30227132_0,50,56.48,-6.48,54.13,-4.13,51.7,-1.7,0,0,0,0
30227131_30227139_0,50,56.23,-6.23,51.25,-1.25,50.65,-0.65,0,0,0,0
4558516077_2128041192_0,45,51.24,-6.24,45.66,-0.66,45.6,-0.6,0,0,0,0
30227132_30227133_0,60,56.75,3.25,59.9,0.1,58.0,2.0,0,0,0,0
30227132_30227153_0,50,56.71,-6.71,55.54,-5.54,52.6,-2.6,0,0,0,0
30227132_30227154_0,60,56.95,3.05,60.23,-0.23,59.3,0.7,0,0,0,0
30227133_2264151290_0,55,57.87,-2.87,60.74,-5.74,57.35,-2.35,0,0,0,0
30227134_30227135_0,60,56.8,3.2,56.69,3.31,56.35,3.65,0,0,0,0
30227135_30227136_0,45,58.24,-13.24,52.83,-7.83,50.15,-5.15,0,0,0,0
30227136_8246056358_0,60,58.89,1.11,61.16,-1.16,59.78,0.22,0,0,0,0
4558516077_2128039885_0,45,52.43,-7.43,45.74,-0.74,46.4,-1.4,0,0,0,0
4558542629_4558542630_0,65,64.58,0.42,63.6,1.4,64.7,0.3,0,0,0,0
30227139_30227131_0,50,56.23,-6.23,51.25,-1.25,50.65,-0.65,0,0,0,0
30227139_30227136_0,60,56.24,3.76,57.85,2.15,59.1,0.9,0,0,0,0
30227153_30227132_0,50,56.71,-6.71,55.54,-5.54,52.6,-2.6,0,0,0,0
30227153_30227158_0,55,57.08,-2.08,56.01,-1.01,55.8,-0.8,0,0,0,0
30227154_30227132_0,60,56.95,3.05,60.23,-0.23,59.3,0.7,0,0,0,0
30227156_30227157_0,50,59.01,-9.01,52.24,-2.24,51.05,-1.05,0,0,0,0
30227156_30227151_0,55,58.96,-3.96,51.45,3.55,54.8,0.2,0,0,0,0
4558542629_4558542631_0,65,63.93,1.07,67.08,-2.08,62.7,2.3,0,0,0,0
30227157_30227156_0,50,59.01,-9.01,52.24,-2.24,51.05,-1.05,0,0,0,0
30227157_30227134_0,60,57.31,2.69,57.1,2.9,54.45,5.55,0,0,0,0
4560303034_5275865099_0,60,63.53,-3.53,60.48,-0.48,60.0,0.0,0,0,0,0
