road_id,noise_actual,pred_lr,resid_lr,pred_xgb,resid_xgb,pred_rf,resid_rf,outlier_lr,outlier_xgb,outlier_rf,consensus
13859746870_13859746860_0,55,56.98,-1.98,54.18,0.82,55.47,-0.47,0,0,0,0
13798851565_8465472214_0,50,47.27,2.73,50.83,-0.83,50.35,-0.35,0,0,0,0
4538123419_13734642240_0,65,63.23,1.77,63.25,1.75,63.54,1.46,0,0,0,0
13845167536_847716886_0,50,55.99,-5.99,59.49,-9.49,57.25,-7.25,0,1,1,2
13845167536_253790691_0,55,55.92,-0.92,57.55,-2.55,56.65,-1.65,0,0,0,0
13859746847_13859746858_0,55,57.38,-2.38,54.93,0.07,55.02,-0.02,0,0,0,0
13859746849_627782660_0,55,56.16,-1.16,54.19,0.81,55.02,-0.02,0,0,0,0
13859746849_13859746858_0,55,56.57,-1.57,54.52,0.48,55.07,-0.07,0,0,0,0
4538123419_4834501656_0,65,60.02,4.98,62.49,2.51,62.8,2.2,0,0,0,0
13859746854_13859746849_0,55,56.5,-1.5,54.66,0.34,55.07,-0.07,0,0,0,0
21638865_30343650_0,45,51.11,-6.11,47.0,-2.0,46.1,-1.1,0,0,0,0
21638867_1636238503_0,55,56.62,-1.62,58.12,-3.12,56.6,-1.6,0,0,0,0
21638867_1403082237_0,60,56.32,3.68,58.41,1.59,59.5,0.5,0,0,0,0
21638867_30343414_0,50,53.51,-3.51,51.99,-1.99,50.45,-0.45,0,0,0,0
4538123437_1009334217_0,60,65.55,-5.55,62.85,-2.85,62.85,-2.85,0,0,0,0
4538123446_4834501676_0,60,63.24,-3.24,62.38,-2.38,60.25,-0.25,0,0,0,0
21638869_242318729_0,55,57.0,-2.0,55.83,-0.83,55.5,-0.5,0,0,0,0
21638874_3643971045_0,60,62.49,-2.49,59.04,0.96,61.95,-1.95,0,0,0,0
4538123596_4538123437_0,60,61.55,-1.55,60.22,-0.22,60.9,-0.9,0,0,0,0
21638920_21638918_0,65,65.55,-0.55,62.62,2.38,64.25,0.75,0,0,0,0
21638921_2984928319_0,65,64.08,0.92,65.09,-0.09,64.7,0.3,0,0,0,0
4538123610_2984948749_0,65,58.92,6.08,63.58,1.42,64.4,0.6,0,0,0,0
4538123610_4538123596_0,65,60.7,4.3,62.22,2.78,63.55,1.45,0,0,0,0
21639537_4471971376_0,50,55.32,-5.32,52.15,-2.15,51.55,-1.55,0,0,0,0
26057050_178518958_0,65,66.57,-1.57,65.09,-0.09,65.45,-0.45,0,0,0,0
26057050_168319807_0,70,68.44,1.56,64.86,5.14,67.75,2.25,0,0,0,0
4541533775_30307948_0,65,57.4,7.6,60.14,4.86,62.25,2.75,0,0,0,0
4541533775_938093311_0,65,60.86,4.14,65.85,-0.85,63.25,1.75,0,0,0,0
26057125_26057304_0,65,64.48,0.52,65.64,-0.64,64.7,0.3,0,0,0,0
26057125_11466476297_0,65,62.46,2.54,64.95,0.05,64.85,0.15,0,0,0,0
26057131_30254228_0,70,67.11,2.89,66.75,3.25,68.4,1.6,0,0,0,0
26057131_1362899977_0,70,65.74,4.26,65.54,4.46,65.05,4.95,0,0,0,0
26057304_3218700096_0,65,65.26,-0.26,65.76,-0.76,65.55,-0.55,0,0,0,0
4549690551_2473393700_0,55,57.06,-2.06,58.82,-3.82,59.99,-4.99,0,0,0,0
4552362841_11887554793_0,50,56.51,-6.51,53.38,-3.38,52.4,-2.4,0,0,0,0
4554543618_2983305215_0,65,62.7,2.3,61.53,3.47,60.75,4.25,0,0,0,0
26057341_26057131_0,65,66.16,-1.16,64.79,0.21,65.65,-0.65,0,0,0,0
26057341_30242757_0,65,67.05,-2.05,65.84,-0.84,65.45,-0.45,0,0,0,0
26057342_26057345_0,65,59.3,5.7,63.66,1.34,64.65,0.35,0,0,0,0
26057342_26057341_0,65,64.87,0.13,66.19,-1.19,64.6,0.4,0,0,0,0
26057345_533662625_0,60,61.98,-1.98,61.53,-1.53,60.95,-0.95,0,0,0,0
26057346_26057345_0,65,62.34,2.66,63.25,1.75,63.1,1.9,0,0,0,0
4554543618_2706292292_0,65,58.3,6.7,62.34,2.66,63.75,1.25,0,0,0,0
26057388_30238009_0,70,61.88,8.12,67.74,2.26,65.15,4.85,0,0,0,0
26057389_3314271774_0,65,67.13,-2.13,67.54,-2.54,65.25,-0.25,0,0,0,0
26198831_30685338_0,65,65.65,-0.65,65.5,-0.5,64.65,0.35,0,0,0,0
4554626934_3743057429_0,60,60.65,-0.65,58.96,1.04,59.1,0.9,0,0,0,0
26198833_26198831_0,65,66.09,-1.09,67.0,-2.0,64.95,0.05,0,0,0,0
26198833_30246781_0,70,59.61,10.39,67.53,2.47,68.25,1.75,0,0,0,0
26198844_2510589068_0,60,66.17,-6.17,63.74,-3.74,61.35,-1.35,0,0,0,0
26198844_30243042_0,70,62.67,7.33,64.9,5.1,62.4,7.6,0,0,1,1
30227025_30227032_0,50,58.18,-8.18,55.05,-5.05,53.1,-3.1,0,0,0,0
30227027_30227025_0,55,55.8,-0.8,56.51,-1.51,54.5,0.5,0,0,0,0
30227034_30227032_0,50,54.63,-4.63,51.45,-1.45,52.5,-2.5,0,0,0,0
30227035_30227037_0,60,56.0,4.0,57.29,2.71,58.45,1.55,0,0,0,0
30227035_30227468_0,55,58.12,-3.12,57.51,-2.51,58.15,-3.15,0,0,0,0
30227048_30227049_0,60,54.64,5.36,58.07,1.93,58.1,1.9,0,0,0,0
30227048_192071165_0,50,55.72,-5.72,53.21,-3.21,50.7,-0.7,0,0,0,0
30227050_30227052_0,55,54.51,0.49,56.07,-1.07,55.95,-0.95,0,0,0,0
30227050_30227049_0,55,54.24,0.76,56.64,-1.64,56.15,-1.15,0,0,0,0
4554626934_30248345_0,60,62.06,-2.06,60.73,-0.73,59.75,0.25,0,0,0,0
30227068_30227050_0,65,55.87,9.13,56.78,8.22,56.2,8.8,0,1,1,2
30227068_3743057429_0,55,58.26,-3.26,57.58,-2.58,56.05,-1.05,0,0,0,0
30227068_5306386384_0,60,58.61,1.39,61.04,-1.04,59.0,1.0,0,0,0,0
30227131_30227132_0,50,54.81,-4.81,51.05,-1.05,50.7,-0.7,0,0,0,0
30227131_30227139_0,50,54.56,-4.56,51.86,-1.86,50.5,-0.5,0,0,0,0
4558516077_2128041192_0,45,49.76,-4.76,45.68,-0.68,45.35,-0.35,0,0,0,0
30227132_30227133_0,60,55.13,4.87,58.95,1.05,57.7,2.3,0,0,0,0
30227132_30227153_0,50,55.06,-5.06,53.22,-3.22,52.8,-2.8,0,0,0,0
30227132_30227154_0,55,55.25,-0.25,56.53,-1.53,55.4,-0.4,0,0,0,0
30227133_2264151290_0,50,56.36,-6.36,55.93,-5.93,56.65,-6.65,0,0,1,1
30227134_30227135_0,60,55.14,4.86,58.26,1.74,56.7,3.3,0,0,0,0
30227135_30227136_0,45,56.54,-11.54,53.17,-8.17,49.6,-4.6,0,1,0,1
30227136_8246056358_0,55,57.15,-2.15,59.86,-4.86,55.55,-0.55,0,0,0,0
4558516077_2128039885_0,45,51.0,-6.0,45.4,-0.4,46.15,-1.15,0,0,0,0
4558542629_4558542630_0,60,62.72,-2.72,59.55,0.45,60.05,-0.05,0,0,0,0
30227139_30227131_0,50,54.56,-4.56,51.86,-1.86,50.5,-0.5,0,0,0,0
30227139_30227136_0,60,54.56,5.44,57.16,2.84,57.6,2.4,0,0,0,0
30227153_30227132_0,50,55.06,-5.06,53.22,-3.22,52.8,-2.8,0,0,0,0
30227153_30227158_0,55,55.43,-0.43,54.49,0.51,55.85,-0.85,0,0,0,0
30227154_30227132_0,55,55.25,-0.25,56.53,-1.53,55.4,-0.4,0,0,0,0
30227156_30227157_0,50,57.33,-7.33,51.71,-1.71,50.9,-0.9,0,0,0,0
30227156_30227151_0,50,57.27,-7.27,47.56,2.44,51.5,-1.5,0,0,0,0
4558542629_4558542631_0,60,62.01,-2.01,59.66,0.34,61.2,-1.2,0,0,0,0
30227157_30227156_0,50,57.33,-7.33,51.71,-1.71,50.9,-0.9,0,0,0,0
30227157_30227134_0,60,55.66,4.34,54.38,5.62,53.15,6.85,0,0,1,1
4560303034_5275865099_0,60,61.27,-1.27,61.26,-1.26,59.95,0.05,0,0,0,0
30227158_30227159_0,60,55.34,4.66,57.28,2.72,59.2,0.8,0,0,0,0
30227158_30227134_0,60,55.38,4.62,56.73,3.27,56.5,3.5,0,0,0,0
4560303034_974261552_0,60,59.18,0.82,59.62,0.38,59.9,0.1,0,0,0,0
30227159_30227158_0,60,55.34,4.66,57.28,2.72,59.2,0.8,0,0,0,0
30227159_30227135_0,60,54.76,5.24,57.23,2.77,57.9,2.1,0,0,0,0
4569473793_1484829198_0,55,56.56,-1.56,55.45,-0.45,56.5,-1.5,0,0,0,0
4575453078_2081027411_0,50,54.09,-4.09,52.46,-2.46,52.25,-2.25,0,0,0,0
30227192_112409079_0,60,56.14,3.86,58.78,1.22,58.85,1.15,0,0,0,0
30227192_112409083_0,60,59.22,0.78,55.89,4.11,60.45,-0.45,0,0,0,0
30227193_30227195_0,55,56.67,-1.67,55.23,-0.23,56.75,-1.75,0,0,0,0
4578927239_1310620176_0,45,51.85,-6.85,44.54,0.46,45.4,-0.4,0,0,0,0
30227195_30227196_0,55,56.61,-1.61,55.65,-0.65,55.35,-0.35,0,0,0,0
30227195_30227157_0,55,56.17,-1.17,54.95,0.05,53.2,1.8,0,0,0,0
4584724811_6385903303_0,50,55.06,-5.06,53.61,-3.61,52.35,-2.35,0,0,0,0
