road_id,noise_actual,pred_lr,resid_lr,pred_xgb,resid_xgb,pred_rf,resid_rf,outlier_lr,outlier_xgb,outlier_rf,consensus
13859746870_13859746860_0,50,52.45,-2.45,52.49,-2.49,49.9,0.1,0,0,0,0
13798851565_8465472214_0,45,42.41,2.59,46.11,-1.11,45.4,-0.4,0,0,0,0
4538123419_13734642240_0,60,58.88,1.12,58.8,1.2,59.05,0.95,0,0,0,0
13845167536_847716886_0,45,51.12,-6.12,54.39,-9.39,51.4,-6.4,0,1,0,1
13845167536_253790691_0,50,51.19,-1.19,52.05,-2.05,52.0,-2.0,0,0,0,0
13859746847_13859746858_0,50,53.0,-3.0,49.69,0.31,50.0,0.0,0,0,0,0
13859746849_627782660_0,50,51.32,-1.32,49.67,0.33,50.05,-0.05,0,0,0,0
13859746849_13859746858_0,50,52.01,-2.01,48.48,1.52,50.0,0.0,0,0,0,0
4538123419_4834501656_0,60,56.01,3.99,60.85,-0.85,58.9,1.1,0,0,0,0
13859746854_13859746849_0,50,51.8,-1.8,49.49,0.51,50.05,-0.05,0,0,0,0
21638865_30343650_0,35,47.55,-12.55,36.74,-1.74,35.3,-0.3,0,0,0,0
21638867_1636238503_0,50,52.38,-2.38,52.69,-2.69,51.05,-1.05,0,0,0,0
21638867_1403082237_0,55,51.9,3.1,52.75,2.25,54.15,0.85,0,0,0,0
21638867_30343414_0,50,48.82,1.18,49.53,0.47,48.55,1.45,0,0,0,0
4538123437_1009334217_0,60,61.16,-1.16,59.7,0.3,59.45,0.55,0,0,0,0
4538123446_4834501676_0,55,58.25,-3.25,56.47,-1.47,55.6,-0.6,0,0,0,0
21638869_242318729_0,50,53.15,-3.15,50.57,-0.57,50.55,-0.55,0,0,0,0
21638874_3643971045_0,55,57.99,-2.99,53.49,1.51,57.25,-2.25,0,0,0,0
4538123596_4538123437_0,55,56.48,-1.48,55.57,-0.57,55.6,-0.6,0,0,0,0
21638920_21638918_0,60,60.6,-0.6,57.66,2.34,59.25,0.75,0,0,0,0
21638921_2984928319_0,60,59.07,0.93,59.46,0.54,59.5,0.5,0,0,0,0
4538123610_2984948749_0,60,54.03,5.97,58.34,1.66,59.25,0.75,0,0,0,0
4538123610_4538123596_0,60,55.56,4.44,58.66,1.34,59.0,1.0,0,0,0,0
21639537_4471971376_0,50,52.25,-2.25,50.97,-0.97,50.8,-0.8,0,0,0,0
26057050_178518958_0,60,61.07,-1.07,59.5,0.5,60.5,-0.5,0,0,0,0
26057050_168319807_0,65,63.13,1.87,61.11,3.89,62.9,2.1,0,0,0,0
4541533775_30307948_0,60,52.2,7.8,55.59,4.41,57.25,2.75,0,0,0,0
4541533775_938093311_0,60,55.6,4.4,59.84,0.16,58.55,1.45,0,0,0,0
26057125_26057304_0,60,59.49,0.51,59.08,0.92,59.95,0.05,0,0,0,0
26057125_11466476297_0,60,57.63,2.37,59.39,0.61,59.7,0.3,0,0,0,0
26057131_30254228_0,65,62.12,2.88,60.23,4.77,63.2,1.8,0,0,0,0
26057131_1362899977_0,65,60.54,4.46,59.06,5.94,59.6,5.4,0,0,0,0
26057304_3218700096_0,60,60.36,-0.36,61.16,-1.16,60.9,-0.9,0,0,0,0
4549690551_2473393700_0,50,52.36,-2.36,53.76,-3.76,53.92,-3.92,0,0,0,0
4552362841_11887554793_0,45,51.58,-6.58,49.1,-4.1,47.6,-2.6,0,0,0,0
4554543618_2983305215_0,60,57.53,2.47,54.87,5.13,55.7,4.3,0,0,0,0
26057341_26057131_0,60,61.11,-1.11,60.77,-0.77,60.25,-0.25,0,0,0,0
26057341_30242757_0,60,62.28,-2.28,60.0,0.0,60.35,-0.35,0,0,0,0
26057342_26057345_0,60,54.27,5.73,58.57,1.43,59.3,0.7,0,0,0,0
26057342_26057341_0,60,59.83,0.17,60.01,-0.01,59.9,0.1,0,0,0,0
26057345_533662625_0,55,56.92,-1.92,55.94,-0.94,56.25,-1.25,0,0,0,0
