city,model,variant,accuracy,macro_f1,within_1,signed_err
Viladecans,Logistic Regression,raw-18,0.5579665220086795,0.3847055178928751,0.9553626782393057,0.16367017978921264
Viladecans,XGBoost,raw-18,0.5244885306881587,0.30473914047170175,0.9516429014259145,-0.041537507749535026
Viladecans,Random Forest,raw-18,0.46869187848729077,0.2898754260059566,0.930564166150031,0.18722876627402354
Viladecans,Logistic Regression,SI-10,0.4897706137631742,0.2631741593930266,0.9931804091754495,0.23558586484810912
Viladecans,XGBoost,SI-10,0.4680719156850589,0.259959868255105,0.9696218226906386,0.2833230006199628
Viladecans,Random Forest,SI-10,0.46931184128952264,0.2807147291283981,0.9783013019218847,0.23868567885926845
Viladecans,Logistic Regression,SI-18,0.5350278983261004,0.2594235216564643,0.9969001859888407,0.1661500309981401
Viladecans,XGBoost,SI-18,0.49597024178549287,0.2626525601770851,0.9900805951642901,0.17296962182269063
Viladecans,Random Forest,SI-18,0.4897706137631742,0.27702603862995046,0.9944203347799132,0.1587104773713577
Milan,Logistic Regression,raw-18,0.6495668651867894,0.18566172297904,0.9846146904890813,0.15547735065872587
Milan,XGBoost,raw-18,0.6114419779823137,0.18108513701107767,0.9782079047103411,-0.30946580039704025
Milan,Random Forest,raw-18,0.6897671900378993,0.2040235270396816,0.9923750225591048,-0.25767009565060456
Milan,Logistic Regression,SI-10,0.7533838657282079,0.21060900627945975,0.9898484028153763,-0.20388918967695363
Milan,XGBoost,SI-10,0.6839469409853817,0.19740261650287222,0.9829453167298322,-0.2049269085002707
Milan,Random Forest,SI-10,0.7344793358599531,0.21062136097943318,0.9843890994405342,-0.1944143656379715
Milan,Logistic Regression,SI-18,0.7733261144197798,0.22435407133840773,0.9912470673163689,-0.16941887745894244
Milan,XGBoost,SI-18,0.6928352282981411,0.2011821258832395,0.9853365818444324,-0.21683811586356252
Milan,Random Forest,SI-18,0.7370059556036817,0.21310187992381394,0.9898484028153763,-0.22216206460927632
Berlin,Logistic Regression,raw-18,0.2651572859359571,0.1421577662753155,0.7668359430102977,0.870263788968825
Berlin,XGBoost,raw-18,0.2822683030046551,0.18959269437332882,0.8080547326844407,0.7834109183241642
Berlin,Random Forest,raw-18,0.3009310198899704,0.22933500933038903,0.8780646071378192,0.6782903089293272
Berlin,Logistic Regression,SI-10,0.22228805191141204,0.1777473932302305,0.681294964028777,1.0325574834250246
Berlin,XGBoost,SI-10,0.22337424178304416,0.16833103924392157,0.7005078290308929,1.0128932148398928
Berlin,Random Forest,SI-10,0.22209056284384257,0.16410600365995215,0.7012272534913246,1.0165044435040202
Berlin,Logistic Regression,SI-18,0.252814219212865,0.18905178833381447,0.7528283255748343,0.9165044435040203
Berlin,XGBoost,SI-18,0.2514176893779094,0.18877086695749434,0.7644237551135562,0.9100860488080124
Berlin,Random Forest,SI-18,0.25742699957680915,0.18176649210914914,0.7774157144872338,0.8843983636620115
Lyon,Logistic Regression,raw-18,0.5337337616985612,0.25664398565232815,0.9789076686688085,-0.05922614890347814
Lyon,XGBoost,raw-18,0.5122223774270149,0.3502135783436117,0.9839363039530661,-0.26400335242352285
Lyon,Random Forest,raw-18,0.5327559715044,0.2787350135730077,0.9863109372817432,-0.22042184662662384
Lyon,Logistic Regression,SI-10,0.5062159519485961,0.23590284381591514,0.9789076686688085,-0.2084089956697863
Lyon,XGBoost,SI-10,0.47199329515295435,0.23810217210201684,0.9499930157843274,-0.27629557200726357
Lyon,Random Forest,SI-10,0.49029194021511385,0.2326430944179779,0.9687107137868417,-0.23411090934488057
Lyon,Logistic Regression,SI-18,0.5472831401033664,0.2791634686213552,0.9896633608045816,-0.23788238580807375
Lyon,XGBoost,SI-18,0.5090096382176281,0.25713068635117664,0.9814219863109372,-0.27084788378265123
Lyon,Random Forest,SI-18,0.5236764911300461,0.3093307958513254,0.9891046235507752,-0.2538063975415561
Zaragoza,Logistic Regression,raw-18,0.20513698630136987,0.12067544841333382,0.7863013698630137,-0.9665068493150685
Zaragoza,XGBoost,raw-18,0.30554794520547945,0.1837164234358135,0.9255479452054794,-0.5853424657534246
Zaragoza,Random Forest,raw-18,0.30732876712328766,0.17654256795767675,0.9242465753424658,-0.6266438356164383
Zaragoza,Logistic Regression,SI-10,0.41904109589041094,0.24185878254445875,0.9721917808219178,-0.43952054794520545
Zaragoza,XGBoost,SI-10,0.4469178082191781,0.2546978277520007,0.964041095890411,-0.34465753424657536
Zaragoza,Random Forest,SI-10,0.41534246575342465,0.23493995032110065,0.9659589041095891,-0.3969178082191781
Zaragoza,Logistic Regression,SI-18,0.41883561643835615,0.23765017675618352,0.9800684931506849,-0.44273972602739725
Zaragoza,XGBoost,SI-18,0.3882191780821918,0.21992309855050185,0.9644520547945206,-0.4513013698630137
Zaragoza,Random Forest,SI-18,0.3634931506849315,0.1951533771482763,0.9676027397260274,-0.4915753424657534
