city,model,variant,r2,mae,rmse,signed_err
Viladecans,Linear Regression,raw-18,0.05754093792099835,4.67054871085737,6.5347934904621585,1.1250045540314122
Viladecans,Linear Regression,SI-10,0.4924318371241305,3.7275774831175394,4.795653616143317,-0.2231500853085559
Viladecans,XGBoost,raw-18,-1.8129442735108432,8.739086975315233,11.289668365533313,-6.976859018807077
Viladecans,XGBoost,SI-10,0.33832541771355973,4.288815225789212,5.475488187223044,0.11580142158938725
Viladecans,Random Forest,raw-18,-0.5213678727689324,6.081787559413101,8.302669314892809,-3.6267596610870014
Viladecans,Random Forest,SI-10,0.29016629596749544,4.397991320520768,5.671251781025696,-0.7978609807221091
Milan,Linear Regression,raw-18,-3.123328060285319,4.821453619109579,6.035876505279841,1.6674346768858865
Milan,Linear Regression,SI-10,-2.599438894208008,4.4975874338540285,5.639411729817536,-3.4527935661764864
Milan,XGBoost,raw-18,-3.3124773483640757,4.939879459759062,6.172766004724773,-4.046802823497509
Milan,XGBoost,SI-10,-3.4672085011936575,4.799553925370163,6.282529148970426,-3.4782870460817303
Milan,Random Forest,raw-18,-3.8341321290287604,5.407269574857556,6.53545244718634,-5.00503186205
Milan,Random Forest,SI-10,-3.128923408102213,4.55667889423862,6.039970452970345,-3.706096144219283
Berlin,Linear Regression,raw-18,-0.3681250613649887,8.420260111969522,10.040902752123053,6.412326133445162
Berlin,Linear Regression,SI-10,-0.49400048264742247,8.923694583008587,10.492651065341354,7.445955885217592
Berlin,XGBoost,raw-18,0.16611387750156104,6.473879667500084,7.839046396310586,2.912934738640843
Berlin,XGBoost,SI-10,-0.5899263886392947,9.163083300383022,10.824263861838899,7.566674226343607
Berlin,Random Forest,raw-18,0.11120043934186241,6.8948892664659045,8.093041684729418,3.5237733457788862
Berlin,Random Forest,SI-10,-0.467777570406795,8.854493637963438,10.400159147299792,7.32120402308578
Lyon,Linear Regression,raw-18,-0.009042365264521957,5.032684530716732,6.364287446509827,-3.8632211022366167
Lyon,Linear Regression,SI-10,-0.5506768737108372,6.445705424320495,7.8896137340793,-5.200031014308248
Lyon,XGBoost,raw-18,-0.8765943582427829,7.143510859777582,8.679211854310617,-6.283807292799158
Lyon,XGBoost,SI-10,-0.7428023999410625,6.674778427953143,8.364098927469838,-5.350807865066624
Lyon,Random Forest,raw-18,-0.5604099781587768,6.495290083974224,7.914335297688701,-5.806887778129281
Lyon,Random Forest,SI-10,-0.7191865679297018,6.635833224368373,8.307236810348037,-5.698696914481126
Zaragoza,Linear Regression,raw-18,-1.508825713621329,10.613006299444832,12.15345448685902,-9.454573906142082
Zaragoza,Linear Regression,SI-10,0.1220246900930898,6.0687541220436385,7.1896151584579355,-4.444883800209637
Zaragoza,XGBoost,raw-18,-0.5548367674263217,8.403776828034283,9.567685557913597,-7.082954051135338
Zaragoza,XGBoost,SI-10,0.032504332349774345,6.266048200424404,7.547254713646557,-3.8699964382223886
Zaragoza,Random Forest,raw-18,-0.5574825708558695,8.526102177103716,9.575822571360442,-7.293422235812133
Zaragoza,Random Forest,SI-10,0.016724027188354862,6.471333231409002,7.608555384614301,-4.359655997227659
